,easting,northing,timestamp,node_id
0,724321.6679559294,4632075.024204837,2013-04-16 16:05:15,-1
1,724346.4533484844,4632059.147242911,2013-04-16 16:05:23,-1
2,724356.9433416501,4632052.1870201025,2013-04-16 16:05:30,-1
3,724359.6275219587,4632050.165709436,2013-04-16 16:05:37,-1
4,724404.7704114756,4632016.171046779,2013-04-16 16:05:56,-1
5,724413.2617921762,4632009.776648336,2013-04-16 16:06:03,-1
6,724413.3000934647,4632009.747805713,2013-04-16 16:06:11,-1
7,724429.5168254401,4631997.535864058,2013-04-16 16:06:20,-1
8,724465.3129382234,4631961.969558265,2013-04-16 16:06:28,-1
9,724498.7584656246,4631920.242018358,2013-04-16 16:06:35,-1
10,724530.3811829082,4631882.926012552,2013-04-16 16:06:43,-1
11,724539.7263689227,4631876.258334426,0,46
12,724548.2257944072,4631856.288333241,2013-04-16 16:06:52,-1
13,724557.1212040934,4631843.166195092,2013-04-16 16:06:59,-1
14,724571.9310904877,4631827.291944216,2013-04-16 16:07:07,-1
15,724589.6663560773,4631808.318195115,2013-04-16 16:07:15,-1
16,724639.3094671699,4631755.69543401,2013-04-16 16:07:24,-1
17,724680.3784185135,4631725.508940361,2013-04-16 16:07:32,-1
18,724713.4351246748,4631716.86553653,2013-04-16 16:07:39,-1
19,724724.3757691057,4631719.684537819,0,47
20,724746.5775507683,4631710.400624715,2013-04-16 16:07:47,-1
21,724762.4683188825,4631711.391753084,2013-04-16 16:07:50,-1
22,724775.8145418767,4631720.187929438,2013-04-16 16:07:56,-1
23,724816.4211656775,4631740.526238759,2013-04-16 16:08:02,-1
24,724859.303413388,4631733.979166577,2013-04-16 16:08:11,-1
25,724907.8946665816,4631709.277623201,2013-04-16 16:08:19,-1
26,724942.4263738954,4631723.710283807,2013-04-16 16:08:27,-1
27,724952.6580898638,4631773.676337129,2013-04-16 16:08:36,-1
28,724952.9899988398,4631809.481132157,2013-04-16 16:08:41,-1
29,724938.8145109939,4631867.322000258,2013-04-16 16:08:51,-1
30,724723.0236194121,4632012.76721983,2013-04-16 16:09:40,-1
31,724700.2574775628,4631996.175065716,2013-04-16 16:09:47,-1
32,724688.3537329421,4631985.711333323,2013-04-16 16:09:54,-1
33,724658.7622777103,4631959.699596804,0,59
34,724657.6473082518,4631958.718537036,0,58
35,724650.5087041771,4631952.437302049,0,57
36,724622.0067541562,4632139.270799711,0,82
37,724683.0086236515,4632119.2327191,2013-04-16 16:10:20,-1
38,724683.0086236515,4632119.2327191,2013-04-16 16:10:28,-1
39,724683.0086236515,4632119.2327191,2013-04-16 16:10:35,-1
40,724683.0086236515,4632119.2327191,2013-04-16 16:10:43,-1
41,724683.0086236515,4632119.2327191,2013-04-16 16:10:48,-1
42,724698.234536916,4632116.116649989,0,69
43,724761.2525663394,4632116.869504927,0,70
44,724768.4108582076,4632118.629928223,2013-04-16 16:11:00,-1
45,724802.6687652953,4632132.354448442,2013-04-16 16:11:05,-1
46,724893.4910232503,4632160.599164747,2013-04-16 16:11:15,-1
47,724979.2005927246,4632178.660551541,2013-04-16 16:11:24,-1
48,725012.7842573298,4632185.402446102,2013-04-16 16:11:32,-1
49,725010.7050974463,4632185.00666197,2013-04-16 16:11:39,-1
50,725023.0986820091,4632187.365876453,2013-04-16 16:11:45,-1
51,725026.6095814509,4632188.034203261,0,87
52,725030.5220191218,4632188.79537878,0,88
53,725104.1675551303,4632201.67446827,2013-04-16 16:11:56,-1
54,725156.6299162476,4632219.588370002,2013-04-16 16:12:04,-1
55,725164.5685634573,4632222.757550627,2013-04-16 16:12:12,-1
56,725164.7990262257,4632222.849553473,0,91
57,725166.645604616,4632227.576128727,0,92
58,725196.0250819996,4632239.951938545,0,94
59,725197.7642673103,4632240.793561533,2013-04-16 16:12:19,-1
60,725232.9071498275,4632269.4948185645,2013-04-16 16:12:24,-1
61,725268.3667732482,4632400.7316340925,2013-04-16 16:12:36,-1
62,725363.8624964193,4632481.006285051,2013-04-16 16:12:44,-1
63,725433.7440777738,4632551.163009943,2013-04-16 16:12:52,-1
64,725465.8074068483,4632670.73294262,0,125
65,725595.1891667517,4632860.111522691,0,139
66,725639.0896965271,4632901.466782136,2013-04-16 16:13:25,-1
67,725690.4358435863,4632989.9561405955,2013-04-16 16:13:32,-1
68,725696.3555678588,4633011.993338419,2013-04-16 16:13:41,-1
69,725700.3044742028,4633033.121089863,2013-04-16 16:13:46,-1
70,725700.7304960741,4633035.400425816,0,148
71,725800.4171676191,4632999.678557594,2013-04-16 16:13:57,-1
72,725915.9022607907,4632960.678538372,2013-04-16 16:14:04,-1
73,725915.9022607907,4632960.678538372,2013-04-16 16:14:13,-1
74,725915.9022607907,4632960.678538372,2013-04-16 16:14:21,-1
75,725915.9022607907,4632960.678538372,2013-04-16 16:14:29,-1
76,725915.9022607907,4632960.678538372,2013-04-16 16:14:37,-1
77,725915.9022607907,4632960.678538372,2013-04-16 16:14:45,-1
78,725916.0414234586,4632960.632804431,0,145
79,725961.3840906247,4632945.218032422,0,144
80,725980.4640193923,4632938.769307057,2013-04-16 16:14:53,-1
81,726072.210755158,4632907.548587102,2013-04-16 16:15:01,-1
82,726169.188016112,4632872.843706684,0,140
83,726175.8489037585,4632869.942699501,2013-04-16 16:15:09,-1
84,726273.9162169696,4632795.352421007,2013-04-16 16:15:18,-1
85,726287.580718046,4632786.788826514,0,135
86,726289.599219651,4632785.639860209,0,134
87,726352.1037685974,4632722.928172182,2013-04-16 16:15:26,-1
88,726416.8048648833,4632633.397949614,2013-04-16 16:15:34,-1
89,726446.4651989108,4632588.313339565,0,122
90,726469.0777262985,4632550.218111013,2013-04-16 16:15:41,-1
91,726469.0777262985,4632550.218111013,2013-04-16 16:15:50,-1
92,726469.0777262985,4632550.218111013,2013-04-16 16:15:58,-1
93,726469.0777262985,4632550.218111013,2013-04-16 16:16:06,-1
94,726469.0777262985,4632550.218111013,2013-04-16 16:16:14,-1
95,726469.0777262985,4632550.218111013,2013-04-16 16:16:21,-1
96,726469.0777262985,4632550.218111013,2013-04-16 16:16:24,-1
97,726469.0777262985,4632550.218111013,2013-04-16 16:16:30,-1
98,726475.6063899212,4632539.998494856,0,121
99,726476.7471558265,4632538.38077754,0,120
100,726554.5477199643,4632446.83130451,2013-04-16 16:16:38,-1
101,726616.1858242722,4632366.556302983,2013-04-16 16:16:46,-1
102,726691.7774208646,4632273.540024822,2013-04-16 16:16:54,-1
103,726784.1059393978,4632213.01730279,2013-04-16 16:17:02,-1
104,726886.4290237188,4632177.32340626,2013-04-16 16:17:10,-1
105,726993.1916334977,4632147.190939659,2013-04-16 16:17:18,-1
106,727099.3430544719,4632105.069395792,2013-04-16 16:17:26,-1
107,727175.021763601,4632047.261396762,2013-04-16 16:17:34,-1
108,727175.021763601,4632047.261396762,2013-04-16 16:17:42,-1
109,727175.021763601,4632047.261396762,2013-04-16 16:17:50,-1
110,727175.021763601,4632047.261396762,2013-04-16 16:17:52,-1
111,727175.021763601,4632047.261396762,2013-04-16 16:17:57,-1
112,727189.6187861804,4632034.731895082,0,64
113,727072.3091892573,4631952.454535657,2013-04-16 16:18:06,-1
114,727007.0173679751,4631890.2464824,2013-04-16 16:18:14,-1
115,726942.5518265516,4631822.7938673105,0,41
116,726918.6626970115,4631797.684927933,2013-04-16 16:18:22,-1
117,726881.3984082432,4631759.174057527,2013-04-16 16:18:28,-1
118,726881.3984082432,4631759.174057527,2013-04-16 16:18:38,-1
119,726881.3984082432,4631759.174057527,2013-04-16 16:18:47,-1
120,726881.3984082432,4631759.174057527,2013-04-16 16:18:55,-1
121,726846.6154333781,4631724.930683792,0,35
122,726826.2756694909,4631705.499430152,0,30
123,726707.3176168012,4631615.725032956,2013-04-16 16:19:03,-1
124,726694.1401167562,4631606.346264391,2013-04-16 16:19:11,-1
125,726685.8531262036,4631599.444357999,2013-04-16 16:19:19,-1
126,726685.8531262036,4631599.444357999,2013-04-16 16:19:27,-1
127,726685.8531262036,4631599.444357999,2013-04-16 16:19:35,-1
