,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,114.0,96.45001746555758,0,1,2013-03-26 11:30:01,2013-03-26 11:30:08,13.778573923651082,7.0
1,114.0,35.98580691379882,1,3,2013-03-26 11:30:08,2013-03-26 11:30:16,6.851225263054193,8.0
2,103.0,18.823995190634726,1,3,2013-03-26 11:30:08,2013-03-26 11:30:16,6.851225263054193,8.0
3,103.0,0.6506493287029548,3,5,2013-03-26 11:30:16,2013-03-26 11:30:24,0.86315384245299664,8.0
4,101.0,6.254581410921018,3,5,2013-03-26 11:30:16,2013-03-26 11:30:24,0.86315384245299664,8.0
5,101.0,5.95581344376255,5,6,2013-03-26 11:30:24,2013-03-26 11:30:32,0.74447668047031879,8.0
6,101.0,72.21008790090706,6,7,2013-03-26 11:30:32,2013-03-26 11:30:41,8.0233431001007833,9.0
7,101.0,35.79727051035253,7,10,2013-03-26 11:30:41,2013-03-26 11:30:49,13.989136199672201,8.0
8,88.0,45.02078124498265,7,10,2013-03-26 11:30:41,2013-03-26 11:30:49,13.989136199672201,8.0
9,86.0,31.095037842042434,7,10,2013-03-26 11:30:41,2013-03-26 11:30:49,13.989136199672201,8.0
10,86.0,126.716455989557,10,12,2013-03-26 11:30:49,2013-03-26 11:30:57,18.36812541023054,8.0
11,62.0,20.22854729228732,10,12,2013-03-26 11:30:49,2013-03-26 11:30:57,18.36812541023054,8.0
12,62.0,0.0,12,13,2013-03-26 11:30:57,2013-03-26 11:31:06,0,9.0
13,62.0,0.0,13,14,2013-03-26 11:31:06,2013-03-26 11:31:13,0,7.0
14,62.0,0.0,14,15,2013-03-26 11:31:13,2013-03-26 11:31:21,0,8.0
15,62.0,0.0,15,16,2013-03-26 11:31:21,2013-03-26 11:31:29,0,8.0
16,62.0,0.0,16,17,2013-03-26 11:31:29,2013-03-26 11:31:37,0,8.0
17,62.0,0.0,17,18,2013-03-26 11:31:37,2013-03-26 11:31:46,0,9.0
18,62.0,0.0,18,19,2013-03-26 11:31:46,2013-03-26 11:31:54,0,8.0
19,62.0,43.57649819382168,19,21,2013-03-26 11:31:54,2013-03-26 11:32:02,10.786213951026998,8.0
20,56.0,42.713213414394296,19,21,2013-03-26 11:31:54,2013-03-26 11:32:02,10.786213951026998,8.0
21,56.0,9.235759796196989,21,22,2013-03-26 11:32:02,2013-03-26 11:32:10,1.1544699745246236,8.0
22,56.0,35.69686284411135,22,24,2013-03-26 11:32:10,2013-03-26 11:32:19,9.0436034949384734,9.0
23,48.0,45.6955686103349,22,24,2013-03-26 11:32:10,2013-03-26 11:32:19,9.0436034949384734,9.0
24,48.0,53.73715064635,24,25,2013-03-26 11:32:19,2013-03-26 11:32:25,8.9561917743916677,6.0
25,48.0,19.29444500275117,25,27,2013-03-26 11:32:25,2013-03-26 11:32:34,10.659942920345552,9.0
26,52.0,76.6450412803588,25,27,2013-03-26 11:32:25,2013-03-26 11:32:34,10.659942920345552,9.0
27,52.0,55.946712664619284,27,28,2013-03-26 11:32:34,2013-03-26 11:32:42,6.9933390830774105,8.0
28,52.0,13.171640456162748,28,29,2013-03-26 11:32:42,2013-03-26 11:32:50,1.6464550570203436,8.0
29,52.0,0.0,29,32,2013-03-26 11:32:50,2013-03-26 11:32:59,0,9.0
30,51.0,71.84029904808705,29,32,2013-03-26 11:32:50,2013-03-26 11:32:59,9.5701576962650066,9.0
31,45.0,14.29112021829801,29,32,2013-03-26 11:32:50,2013-03-26 11:32:59,9.5701576962650066,9.0
32,45.0,0.0,32,33,2013-03-26 11:32:59,2013-03-26 11:33:06,0,7.0
33,45.0,0.0,33,34,2013-03-26 11:33:06,2013-03-26 11:33:14,0,8.0
34,45.0,0.0,34,35,2013-03-26 11:33:14,2013-03-26 11:33:22,0,8.0
35,45.0,0.0,35,36,2013-03-26 11:33:22,2013-03-26 11:33:31,0,9.0
36,45.0,33.647123084163326,36,38,2013-03-26 11:33:31,2013-03-26 11:33:39,11.24378158028607,8.0
37,42.0,56.303129558125235,36,38,2013-03-26 11:33:31,2013-03-26 11:33:39,11.24378158028607,8.0
38,42.0,22.106324956423293,38,39,2013-03-26 11:33:39,2013-03-26 11:33:47,2.7632906195529117,8.0
39,42.0,6.711156595538577,39,41,2013-03-26 11:33:47,2013-03-26 11:33:56,3.0188142940525111,9.0
40,38.0,20.458172050934024,39,41,2013-03-26 11:33:47,2013-03-26 11:33:56,3.0188142940525111,9.0
41,38.0,50.17618109624932,41,42,2013-03-26 11:33:56,2013-03-26 11:34:03,7.1680258708927607,7.0
