,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,130.0,0.0,0,1,2013-03-27 20:44:05,2013-03-27 20:44:13,0,8.0
1,130.0,0.0,1,2,2013-03-27 20:44:13,2013-03-27 20:44:21,0,8.0
2,130.0,0.0,2,3,2013-03-27 20:44:21,2013-03-27 20:44:29,0,8.0
3,130.0,0.0,3,4,2013-03-27 20:44:29,2013-03-27 20:44:38,0,9.0
4,130.0,5.6386524434846015,4,7,2013-03-27 20:44:38,2013-03-27 20:44:45,17.450048878015235,7.0
5,126.0,23.55383863899959,4,7,2013-03-27 20:44:38,2013-03-27 20:44:45,17.450048878015235,7.0
6,125.0,92.95785106362246,4,7,2013-03-27 20:44:38,2013-03-27 20:44:45,17.450048878015235,7.0
7,125.0,18.643864744069198,7,9,2013-03-27 20:44:45,2013-03-27 20:44:53,12.465407149731291,8.0
8,114.0,81.07939245378114,7,9,2013-03-27 20:44:45,2013-03-27 20:44:53,12.465407149731291,8.0
9,114.0,67.75133559357133,9,12,2013-03-27 20:44:53,2013-03-27 20:45:01,13.249528139261354,8.0
10,103.0,19.47464451933768,9,12,2013-03-27 20:44:53,2013-03-27 20:45:01,13.249528139261354,8.0
11,101.0,18.77024500118182,9,12,2013-03-27 20:44:53,2013-03-27 20:45:01,13.249528139261354,8.0
12,101.0,0.0,12,13,2013-03-27 20:45:01,2013-03-27 20:45:09,0,8.0
13,101.0,0.0,13,14,2013-03-27 20:45:09,2013-03-27 20:45:18,0,9.0
14,101.0,0.0,14,15,2013-03-27 20:45:18,2013-03-27 20:45:25,0,7.0
15,101.0,0.0,15,16,2013-03-27 20:45:25,2013-03-27 20:45:33,0,8.0
16,101.0,0.0,16,17,2013-03-27 20:45:33,2013-03-27 20:45:41,0,8.0
17,101.0,0.0,17,18,2013-03-27 20:45:41,2013-03-27 20:45:49,0,8.0
18,101.0,101.44750826476135,18,21,2013-03-27 20:45:49,2013-03-27 20:45:58,18.588370959203168,9.0
19,88.0,45.02078124498265,18,21,2013-03-27 20:45:49,2013-03-27 20:45:58,18.588370959203168,9.0
20,86.0,20.827049123084493,18,21,2013-03-27 20:45:49,2013-03-27 20:45:58,18.588370959203168,9.0
21,86.0,88.8170085787253,21,22,2013-03-27 20:45:58,2013-03-27 20:46:05,12.688144082675041,7.0
22,86.0,48.167436129789635,22,24,2013-03-27 20:46:05,2013-03-27 20:46:13,10.440617169778232,8.0
23,62.0,35.35750122843621,22,24,2013-03-27 20:46:05,2013-03-27 20:46:13,10.440617169778232,8.0
24,62.0,0.0,24,25,2013-03-27 20:46:13,2013-03-27 20:46:21,0,8.0
25,62.0,0.0,25,26,2013-03-27 20:46:21,2013-03-27 20:46:30,0,9.0
26,62.0,0.0,26,27,2013-03-27 20:46:30,2013-03-27 20:46:37,0,7.0
27,62.0,0.0,27,28,2013-03-27 20:46:37,2013-03-27 20:46:45,0,8.0
28,62.0,28.447544257672785,28,30,2013-03-27 20:46:45,2013-03-27 20:46:53,10.692699873634579,8.0
29,56.0,57.094054731403844,28,30,2013-03-27 20:46:45,2013-03-27 20:46:53,10.692699873634579,8.0
30,56.0,0.0,30,31,2013-03-27 20:46:53,2013-03-27 20:47:02,0,9.0
31,56.0,0.0,31,32,2013-03-27 20:47:02,2013-03-27 20:47:09,0,7.0
32,56.0,0.0,32,33,2013-03-27 20:47:09,2013-03-27 20:47:17,0,8.0
33,56.0,0.0,33,34,2013-03-27 20:47:17,2013-03-27 20:47:25,0,8.0
34,56.0,30.5517813232988,34,36,2013-03-27 20:47:25,2013-03-27 20:47:32,19.563965344672177,7.0
35,48.0,106.39597608940643,34,36,2013-03-27 20:47:25,2013-03-27 20:47:32,19.563965344672177,7.0
36,48.0,12.331188170029636,36,38,2013-03-27 20:47:32,2013-03-27 20:47:41,11.07496864033828,9.0
37,52.0,87.34352959301489,36,38,2013-03-27 20:47:32,2013-03-27 20:47:41,11.07496864033828,9.0
38,52.0,51.146921400596845,38,39,2013-03-27 20:47:41,2013-03-27 20:47:49,6.3933651750746057,8.0
39,52.0,7.272943407529082,39,40,2013-03-27 20:47:49,2013-03-27 20:47:55,1.2121572345881804,6.0
40,52.0,0.0,40,43,2013-03-27 20:47:55,2013-03-27 20:48:06,0,11.0
41,51.0,71.84029904808705,40,43,2013-03-27 20:47:55,2013-03-27 20:48:06,9.7212264882453798,11.0
42,45.0,35.093192322612126,40,43,2013-03-27 20:47:55,2013-03-27 20:48:06,9.7212264882453798,11.0
43,45.0,0.0,43,44,2013-03-27 20:48:06,2013-03-27 20:48:13,0,7.0
44,45.0,0.0,44,45,2013-03-27 20:48:13,2013-03-27 20:48:21,0,8.0
45,45.0,0.0,45,46,2013-03-27 20:48:21,2013-03-27 20:48:30,0,9.0
46,45.0,0.0,46,47,2013-03-27 20:48:30,2013-03-27 20:48:37,0,7.0
47,45.0,0.0,47,48,2013-03-27 20:48:37,2013-03-27 20:48:45,0,8.0
48,45.0,0.0,48,49,2013-03-27 20:48:45,2013-03-27 20:48:53,0,8.0
49,45.0,0.0,49,50,2013-03-27 20:48:53,2013-03-27 20:49:02,0,9.0
50,45.0,12.845050979849207,50,53,2013-03-27 20:49:02,2013-03-27 20:49:10,19.530745482708667,8.0
51,42.0,85.12061111008711,50,53,2013-03-27 20:49:02,2013-03-27 20:49:10,19.530745482708667,8.0
52,38.0,58.280301771733036,50,53,2013-03-27 20:49:02,2013-03-27 20:49:10,19.530745482708667,8.0
53,38.0,26.45255441263761,53,56,2013-03-27 20:49:10,2013-03-27 20:49:18,4.4413639315399411,8.0
54,32.0,5.1988395985706015,53,56,2013-03-27 20:49:10,2013-03-27 20:49:18,4.4413639315399411,8.0
55,31.0,3.87951744111132,53,56,2013-03-27 20:49:10,2013-03-27 20:49:18,4.4413639315399411,8.0
56,31.0,83.94435502339965,56,57,2013-03-27 20:49:18,2013-03-27 20:49:26,10.493044377924956,8.0
57,31.0,0.0,57,58,2013-03-27 20:49:26,2013-03-27 20:49:35,0,9.0
58,31.0,0.0,58,59,2013-03-27 20:49:35,2013-03-27 20:49:42,0,7.0
59,31.0,0.0,59,60,2013-03-27 20:49:42,2013-03-27 20:49:50,0,8.0
60,31.0,0.0,60,61,2013-03-27 20:49:50,2013-03-27 20:49:55,0,5.0
61,31.0,0.0,61,62,2013-03-27 20:49:55,2013-03-27 20:50:07,0,12.0
62,31.0,0.0,62,63,2013-03-27 20:50:07,2013-03-27 20:50:15,0,8.0
63,31.0,0.0,63,64,2013-03-27 20:50:15,2013-03-27 20:50:22,0,7.0
64,31.0,41.371811191981365,64,67,2013-03-27 20:50:22,2013-03-27 20:50:30,16.46350936134013,8.0
65,26.0,50.999812235480974,64,67,2013-03-27 20:50:22,2013-03-27 20:50:30,16.46350936134013,8.0
66,29.0,39.33645146325871,64,67,2013-03-27 20:50:22,2013-03-27 20:50:30,16.46350936134013,8.0
67,29.0,13.95735903253508,67,70,2013-03-27 20:50:30,2013-03-27 20:50:39,12.614263177027359,9.0
68,35.0,38.66906066267094,67,70,2013-03-27 20:50:30,2013-03-27 20:50:39,12.614263177027359,9.0
69,40.0,60.90194889804022,67,70,2013-03-27 20:50:30,2013-03-27 20:50:39,12.614263177027359,9.0
70,40.0,0.0,70,71,2013-03-27 20:50:39,2013-03-27 20:50:46,0,7.0
71,40.0,0.0,71,72,2013-03-27 20:50:46,2013-03-27 20:50:54,0,8.0
72,40.0,0.0,72,73,2013-03-27 20:50:54,2013-03-27 20:51:03,0,9.0
73,40.0,0.0,73,74,2013-03-27 20:51:03,2013-03-27 20:51:10,0,7.0
74,40.0,0.0,74,75,2013-03-27 20:51:10,2013-03-27 20:51:18,0,8.0
75,40.0,0.0,75,76,2013-03-27 20:51:18,2013-03-27 20:51:27,0,9.0
76,40.0,0.0,76,77,2013-03-27 20:51:27,2013-03-27 20:51:34,0,7.0
77,40.0,0.0,77,78,2013-03-27 20:51:34,2013-03-27 20:51:42,0,8.0
78,40.0,19.959254400855933,78,79,2013-03-27 20:51:42,2013-03-27 20:51:51,2.217694933428437,9.0
79,40.0,0.4688254342739242,79,81,2013-03-27 20:51:51,2013-03-27 20:51:59,10.851686841627055,8.0
80,47.0,86.34466929874252,79,81,2013-03-27 20:51:51,2013-03-27 20:51:59,10.851686841627055,8.0
81,47.0,22.178632649334773,81,82,2013-03-27 20:51:59,2013-03-27 20:52:06,3.1683760927621103,7.0
82,47.0,6.6579469872430375,82,85,2013-03-27 20:52:06,2013-03-27 20:52:14,5.0000293137516945,8.0
83,50.0,21.159120614380072,82,85,2013-03-27 20:52:06,2013-03-27 20:52:14,5.0000293137516945,8.0
84,53.0,12.183166908390445,82,85,2013-03-27 20:52:06,2013-03-27 20:52:14,5.0000293137516945,8.0
85,53.0,0.0,85,86,2013-03-27 20:52:14,2013-03-27 20:52:23,0,9.0
86,53.0,0.0,86,87,2013-03-27 20:52:23,2013-03-27 20:52:31,0,8.0
87,53.0,0.0,87,88,2013-03-27 20:52:31,2013-03-27 20:52:38,0,7.0
88,53.0,0.0,88,89,2013-03-27 20:52:38,2013-03-27 20:52:46,0,8.0
89,53.0,0.0,89,90,2013-03-27 20:52:46,2013-03-27 20:52:55,0,9.0
90,53.0,0.0,90,91,2013-03-27 20:52:55,2013-03-27 20:53:03,0,8.0
91,53.0,0.0,91,92,2013-03-27 20:53:03,2013-03-27 20:53:11,0,8.0
92,53.0,0.0,92,93,2013-03-27 20:53:11,2013-03-27 20:53:18,0,7.0
93,53.0,0.0,93,94,2013-03-27 20:53:18,2013-03-27 20:53:26,0,8.0
94,53.0,0.0,94,95,2013-03-27 20:53:26,2013-03-27 20:53:35,0,9.0
95,53.0,0.0,95,96,2013-03-27 20:53:35,2013-03-27 20:53:43,0,8.0
96,53.0,0.0,96,97,2013-03-27 20:53:43,2013-03-27 20:53:51,0,8.0
97,53.0,4.637699166350812,97,101,2013-03-27 20:53:51,2013-03-27 20:53:58,8.1581806666410834,7.0
98,54.0,4.571992314594792,97,101,2013-03-27 20:53:51,2013-03-27 20:53:58,8.1581806666410834,7.0
99,55.0,40.70688476382127,97,101,2013-03-27 20:53:51,2013-03-27 20:53:58,8.1581806666410834,7.0
100,60.0,7.190688421720711,97,101,2013-03-27 20:53:51,2013-03-27 20:53:58,8.1581806666410834,7.0
101,60.0,46.231199750502526,101,103,2013-03-27 20:53:58,2013-03-27 20:54:06,9.7513114556626377,8.0
102,65.0,31.779291894798583,101,103,2013-03-27 20:53:58,2013-03-27 20:54:06,9.7513114556626377,8.0
103,65.0,62.052150564270754,103,104,2013-03-27 20:54:06,2013-03-27 20:54:15,6.894683396030084,9.0
104,65.0,13.602169522886555,104,106,2013-03-27 20:54:15,2013-03-27 20:54:23,1.7002711903608194,8.0
105,81.0,0.0,104,106,2013-03-27 20:54:15,2013-03-27 20:54:23,0,8.0
