,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,125.0,11.906431586466224,0,1,2013-03-27 10:57:50,2013-03-27 10:57:52,5.9532157932331122,2.0
1,125.0,44.86652827121515,1,2,2013-03-27 10:57:52,2013-03-27 10:57:57,8.9733056542430312,5.0
2,125.0,41.27814977911709,2,4,2013-03-27 10:57:57,2013-03-27 10:58:06,11.542398740866606,9.0
3,114.0,62.603438888682355,2,4,2013-03-27 10:57:57,2013-03-27 10:58:06,11.542398740866606,9.0
4,114.0,86.22728915867012,4,6,2013-03-27 10:58:06,2013-03-27 10:58:14,12.538010867219587,8.0
5,103.0,14.076797779086574,4,6,2013-03-27 10:58:06,2013-03-27 10:58:14,12.538010867219587,8.0
6,103.0,5.397846740251106,6,8,2013-03-27 10:58:14,2013-03-27 10:58:21,11.966179643738743,7.0
7,101.0,78.36541076592009,6,8,2013-03-27 10:58:14,2013-03-27 10:58:21,11.966179643738743,7.0
8,101.0,41.85234250002307,8,11,2013-03-27 10:58:21,2013-03-27 10:58:29,12.609648474160227,8.0
9,88.0,45.02078124498265,8,11,2013-03-27 10:58:21,2013-03-27 10:58:29,12.609648474160227,8.0
10,86.0,14.00406404827609,8,11,2013-03-27 10:58:21,2013-03-27 10:58:29,12.609648474160227,8.0
11,86.0,101.76460568113295,11,12,2013-03-27 10:58:29,2013-03-27 10:58:37,12.720575710141619,8.0
12,86.0,42.042824102190366,12,14,2013-03-27 10:58:37,2013-03-27 10:58:46,11.711242915972349,9.0
13,62.0,63.35836214156078,12,14,2013-03-27 10:58:37,2013-03-27 10:58:46,11.711242915972349,9.0
14,62.0,0.4466833445482192,14,16,2013-03-27 10:58:46,2013-03-27 10:58:54,8.4503497129028524,8.0
15,56.0,67.1561143586746,14,16,2013-03-27 10:58:46,2013-03-27 10:58:54,8.4503497129028524,8.0
16,56.0,20.489721696028045,16,18,2013-03-27 10:58:54,2013-03-27 10:58:57,6.8299072320093481,3.0
17,49.0,0.0,16,18,2013-03-27 10:58:54,2013-03-27 10:58:57,0,3.0
18,49.0,0.0,18,20,2013-03-27 10:58:57,2013-03-27 10:59:01,0,4.0
19,48.0,24.827687267371033,18,20,2013-03-27 10:58:57,2013-03-27 10:59:01,6.2069218168427582,4.0
20,48.0,58.20432482772807,20,21,2013-03-27 10:59:01,2013-03-27 10:59:09,7.2755406034660091,8.0
21,48.0,35.69515216433697,21,23,2013-03-27 10:59:09,2013-03-27 10:59:18,9.1147456388329466,9.0
22,52.0,46.33755858515954,21,23,2013-03-27 10:59:09,2013-03-27 10:59:18,9.1147456388329466,9.0
23,52.0,72.94921443975143,23,24,2013-03-27 10:59:18,2013-03-27 10:59:26,9.1186518049689287,8.0
24,52.0,26.476621376229854,24,25,2013-03-27 10:59:26,2013-03-27 10:59:34,3.3095776720287318,8.0
25,52.0,0.0,25,27,2013-03-27 10:59:34,2013-03-27 10:59:41,0,7.0
26,51.0,48.66594087242095,25,27,2013-03-27 10:59:34,2013-03-27 10:59:41,6.9522772674887063,7.0
27,51.0,23.174358175666104,27,30,2013-03-27 10:59:41,2013-03-27 10:59:50,8.8729038352404448,9.0
28,45.0,47.93824330246133,27,30,2013-03-27 10:59:41,2013-03-27 10:59:50,8.8729038352404448,9.0
29,42.0,8.743533039036576,27,30,2013-03-27 10:59:41,2013-03-27 10:59:50,8.8729038352404448,9.0
30,42.0,76.37707807105053,30,32,2013-03-27 10:59:50,2013-03-27 10:59:58,9.6680169616483873,8.0
31,38.0,0.967057622136565,30,32,2013-03-27 10:59:50,2013-03-27 10:59:58,9.6680169616483873,8.0
32,38.0,77.1729896771975,32,33,2013-03-27 10:59:58,2013-03-27 11:00:06,9.6466237096496883,8.0
33,38.0,6.592808885036577,33,36,2013-03-27 11:00:06,2013-03-27 11:00:13,9.910024469226121,7.0
34,32.0,5.1988395985706015,33,36,2013-03-27 11:00:06,2013-03-27 11:00:13,9.910024469226121,7.0
35,31.0,57.578522800975676,33,36,2013-03-27 11:00:06,2013-03-27 11:00:13,9.910024469226121,7.0
36,31.0,54.78834610675882,36,37,2013-03-27 11:00:13,2013-03-27 11:00:21,6.8485432633448529,8.0
37,31.0,12.56761333792187,37,38,2013-03-27 11:00:21,2013-03-27 11:00:29,1.5709516672402337,8.0
38,31.0,4.261201410835972,38,41,2013-03-27 11:00:29,2013-03-27 11:00:37,7.0801492136822555,8.0
39,26.0,50.999812235480974,38,41,2013-03-27 11:00:29,2013-03-27 11:00:37,7.0801492136822555,8.0
