,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,157.0,65.60353481909152,0,1,2013-03-26 23:05:33,2013-03-26 23:05:41,8.2004418523864402,8.0
1,157.0,0.0,1,2,2013-03-26 23:05:41,2013-03-26 23:05:49,0,8.0
2,157.0,0.0,2,3,2013-03-26 23:05:49,2013-03-26 23:05:58,0,9.0
3,157.0,0.0,3,4,2013-03-26 23:05:58,2013-03-26 23:06:06,0,8.0
4,157.0,0.0,4,5,2013-03-26 23:06:06,2013-03-26 23:06:14,0,8.0
5,157.0,32.34123559800773,5,7,2013-03-26 23:06:14,2013-03-26 23:06:23,7.1700848707177602,9.0
6,162.0,32.18952823845211,5,7,2013-03-26 23:06:14,2013-03-26 23:06:23,7.1700848707177602,9.0
7,162.0,52.386139630016785,7,8,2013-03-26 23:06:23,2013-03-26 23:06:30,7.4837342328595406,7.0
8,162.0,40.713984301621096,8,9,2013-03-26 23:06:30,2013-03-26 23:06:38,5.089248037702637,8.0
9,162.0,4.083812837539818,9,11,2013-03-26 23:06:38,2013-03-26 23:06:46,4.7604503994638128,8.0
10,161.0,33.999790358170685,9,11,2013-03-26 23:06:38,2013-03-26 23:06:46,4.7604503994638128,8.0
11,161.0,87.47864169954428,11,12,2013-03-26 23:06:46,2013-03-26 23:06:55,9.719849077727142,9.0
12,161.0,91.38830672984741,12,13,2013-03-26 23:06:55,2013-03-26 23:07:03,11.423538341230927,8.0
13,161.0,118.0950188932396,13,14,2013-03-26 23:07:03,2013-03-26 23:07:12,13.12166876591551,9.0
14,161.0,33.714194699369344,14,16,2013-03-26 23:07:12,2013-03-26 23:07:20,12.818004086369969,8.0
15,140.0,68.82983799159041,14,16,2013-03-26 23:07:12,2013-03-26 23:07:20,12.818004086369969,8.0
16,140.0,74.87947170602176,16,17,2013-03-26 23:07:20,2013-03-26 23:07:26,12.479911951003627,6.0
17,140.0,116.7917118535614,17,18,2013-03-26 23:07:26,2013-03-26 23:07:35,12.976856872617933,9.0
18,140.0,93.33255248676036,18,19,2013-03-26 23:07:35,2013-03-26 23:07:43,11.666569060845045,8.0
19,140.0,55.39877428076746,19,20,2013-03-26 23:07:43,2013-03-26 23:07:50,7.9141106115382085,7.0
20,140.0,18.420559545997023,20,21,2013-03-26 23:07:50,2013-03-26 23:07:57,2.6315085065710031,7.0
21,140.0,23.578259358304702,21,23,2013-03-26 23:07:57,2013-03-26 23:08:07,8.2590109261262903,10.0
22,117.0,59.01184990295821,21,23,2013-03-26 23:07:57,2013-03-26 23:08:07,8.2590109261262903,10.0
23,117.0,45.64725573996403,23,24,2013-03-26 23:08:07,2013-03-26 23:08:15,5.7059069674955039,8.0
24,117.0,16.770745285913506,24,26,2013-03-26 23:08:15,2013-03-26 23:08:24,6.6514809716372518,9.0
25,115.0,43.09258345882176,24,26,2013-03-26 23:08:15,2013-03-26 23:08:24,6.6514809716372518,9.0
26,115.0,33.80380821953986,26,27,2013-03-26 23:08:24,2013-03-26 23:08:31,4.8291154599342656,7.0
27,115.0,40.787601540411636,27,28,2013-03-26 23:08:31,2013-03-26 23:08:39,5.0984501925514545,8.0
28,115.0,66.79934837306766,28,29,2013-03-26 23:08:39,2013-03-26 23:08:47,8.3499185466334573,8.0
29,115.0,71.26989192546432,29,30,2013-03-26 23:08:47,2013-03-26 23:08:56,7.9188768806071472,9.0
30,115.0,60.302601449590355,30,31,2013-03-26 23:08:56,2013-03-26 23:09:03,8.6146573499414796,7.0
31,115.0,27.63586898482697,31,32,2013-03-26 23:09:03,2013-03-26 23:09:12,3.070652109425219,9.0
32,115.0,34.49933754563119,32,33,2013-03-26 23:09:12,2013-03-26 23:09:20,4.312417193203899,8.0
33,115.0,6.1924573510075875,33,35,2013-03-26 23:09:20,2013-03-26 23:09:28,0.77405716887594844,8.0
34,82.0,0.0,33,35,2013-03-26 23:09:20,2013-03-26 23:09:28,0,8.0
35,82.0,6.636910214549704,35,39,2013-03-26 23:09:28,2013-03-26 23:09:36,3.6003311816591506,8.0
36,78.0,1.4407450000218316,35,39,2013-03-26 23:09:28,2013-03-26 23:09:36,3.6003311816591506,8.0
37,76.0,1.5311290621449667,35,39,2013-03-26 23:09:28,2013-03-26 23:09:36,3.6003311816591506,8.0
38,74.0,19.193865176556702,35,39,2013-03-26 23:09:28,2013-03-26 23:09:36,3.6003311816591506,8.0
39,74.0,4.687625394006357,39,41,2013-03-26 23:09:36,2013-03-26 23:09:44,8.7167363211652429,8.0
40,70.0,65.04626517531558,39,41,2013-03-26 23:09:36,2013-03-26 23:09:44,8.7167363211652429,8.0
41,70.0,41.45210463111435,41,43,2013-03-26 23:09:44,2013-03-26 23:09:53,4.60578940345715,9.0
42,91.0,0.0,41,43,2013-03-26 23:09:44,2013-03-26 23:09:53,0,9.0
43,91.0,0.0,43,45,2013-03-26 23:09:53,2013-03-26 23:10:00,0,7.0
44,71.0,16.100846795787465,43,45,2013-03-26 23:09:53,2013-03-26 23:10:00,2.3001209708267809,7.0
45,71.0,0.0,45,47,2013-03-26 23:10:00,2013-03-26 23:10:08,0,8.0
46,68.0,60.60757293009629,45,47,2013-03-26 23:10:00,2013-03-26 23:10:08,7.5759466162620361,8.0
47,68.0,142.25494004711175,47,48,2013-03-26 23:10:08,2013-03-26 23:10:17,15.806104449679083,9.0
48,68.0,9.834761622218217,48,49,2013-03-26 23:10:17,2013-03-26 23:10:21,2.4586904055545542,4.0
49,68.0,50.33697168029865,49,50,2013-03-26 23:10:21,2013-03-26 23:10:30,5.5929968533665173,9.0
50,68.0,8.509003936412995,50,53,2013-03-26 23:10:30,2013-03-26 23:10:38,3.0762313415250575,8.0
51,71.0,16.100846795787465,50,53,2013-03-26 23:10:30,2013-03-26 23:10:38,3.0762313415250575,8.0
52,70.0,0.0,50,53,2013-03-26 23:10:30,2013-03-26 23:10:38,0,8.0
53,70.0,0.0,53,55,2013-03-26 23:10:38,2013-03-26 23:10:49,0,11.0
54,91.0,82.22768216605564,53,55,2013-03-26 23:10:38,2013-03-26 23:10:49,7.4752438332777862,11.0
55,91.0,84.44706389099233,55,56,2013-03-26 23:10:49,2013-03-26 23:10:57,10.555882986374041,8.0
56,91.0,54.11242249087664,56,57,2013-03-26 23:10:57,2013-03-26 23:11:04,7.7303460701252344,7.0
57,91.0,24.398084366619486,57,58,2013-03-26 23:11:04,2013-03-26 23:11:11,3.4854406238027837,7.0
58,91.0,9.04528319998522,58,60,2013-03-26 23:11:11,2013-03-26 23:11:21,7.6887123200028995,10.0
59,92.0,67.84184000004377,58,60,2013-03-26 23:11:11,2013-03-26 23:11:21,7.6887123200028995,10.0
60,92.0,46.52357247207016,60,61,2013-03-26 23:11:21,2013-03-26 23:11:27,7.7539287453450259,6.0
61,92.0,22.09824109614461,61,63,2013-03-26 23:11:27,2013-03-26 23:11:37,6.9619946524081158,10.0
62,73.0,47.521705427936546,61,63,2013-03-26 23:11:27,2013-03-26 23:11:37,6.9619946524081158,10.0
63,73.0,0.0,63,64,2013-03-26 23:11:37,2013-03-26 23:11:43,0,6.0
64,73.0,0.0,64,65,2013-03-26 23:11:43,2013-03-26 23:11:54,0,11.0
65,73.0,0.0,65,66,2013-03-26 23:11:54,2013-03-26 23:12:01,0,7.0
66,73.0,0.0,66,67,2013-03-26 23:12:01,2013-03-26 23:12:09,0,8.0
67,73.0,0.0,67,68,2013-03-26 23:12:09,2013-03-26 23:12:18,0,9.0
68,73.0,2.2604641158137206,68,70,2013-03-26 23:12:18,2013-03-26 23:12:26,3.5751087227816902,8.0
69,80.0,26.3404056664398,68,70,2013-03-26 23:12:18,2013-03-26 23:12:26,3.5751087227816902,8.0
70,80.0,8.66848548485992,70,72,2013-03-26 23:12:26,2013-03-26 23:12:29,26.541929992567812,3.0
71,81.0,70.95730449284352,70,72,2013-03-26 23:12:26,2013-03-26 23:12:29,26.541929992567812,3.0
72,81.0,27.381563705634946,72,73,2013-03-26 23:12:29,2013-03-26 23:12:34,5.4763127411269892,5.0
73,81.0,4.674531462716031,73,74,2013-03-26 23:12:34,2013-03-26 23:12:41,0.66779020895943297,7.0
74,81.0,10.711288700196016,74,76,2013-03-26 23:12:41,2013-03-26 23:12:49,6.608429575125867,8.0
75,65.0,42.15614790081092,74,76,2013-03-26 23:12:41,2013-03-26 23:12:49,6.608429575125867,8.0
76,65.0,65.27746408114497,76,78,2013-03-26 23:12:49,2013-03-26 23:12:58,9.2256616437285395,9.0
77,60.0,17.75349071241189,76,78,2013-03-26 23:12:49,2013-03-26 23:12:58,9.2256616437285395,9.0
78,60.0,35.668397459811345,78,80,2013-03-26 23:12:58,2013-03-26 23:13:06,8.5735640460082507,8.0
79,55.0,32.92011490825467,78,80,2013-03-26 23:12:58,2013-03-26 23:13:06,8.5735640460082507,8.0
80,55.0,0.0,80,81,2013-03-26 23:13:06,2013-03-26 23:13:13,0,7.0
81,55.0,0.0,81,82,2013-03-26 23:13:13,2013-03-26 23:13:21,0,8.0
82,55.0,0.0,82,83,2013-03-26 23:13:21,2013-03-26 23:13:29,0,8.0
83,55.0,0.0,83,84,2013-03-26 23:13:29,2013-03-26 23:13:38,0,9.0
84,55.0,0.0,84,85,2013-03-26 23:13:38,2013-03-26 23:13:45,0,7.0
85,55.0,0.0,85,86,2013-03-26 23:13:45,2013-03-26 23:13:53,0,8.0
86,55.0,7.786769855566595,86,91,2013-03-26 23:13:53,2013-03-26 23:14:02,12.737086422979488,9.0
87,54.0,4.571992314594792,86,91,2013-03-26 23:13:53,2013-03-26 23:14:02,12.737086422979488,9.0
88,53.0,16.820866074741257,86,91,2013-03-26 23:13:53,2013-03-26 23:14:02,12.737086422979488,9.0
89,50.0,21.159120614380072,86,91,2013-03-26 23:13:53,2013-03-26 23:14:02,12.737086422979488,9.0
90,47.0,64.29502894753267,86,91,2013-03-26 23:13:53,2013-03-26 23:14:02,12.737086422979488,9.0
91,47.0,34.64844262876864,91,92,2013-03-26 23:14:02,2013-03-26 23:14:10,4.3310553285960802,8.0
92,47.0,16.237777359019006,92,94,2013-03-26 23:14:10,2013-03-26 23:14:17,4.9052727815042161,7.0
93,40.0,18.099132111510507,92,94,2013-03-26 23:14:10,2013-03-26 23:14:17,4.9052727815042161,7.0
94,40.0,41.403320471951396,94,95,2013-03-26 23:14:17,2013-03-26 23:14:25,5.1754150589939245,8.0
95,40.0,0.0,95,96,2013-03-26 23:14:25,2013-03-26 23:14:34,0,9.0
96,40.0,0.0,96,97,2013-03-26 23:14:34,2013-03-26 23:14:41,0,7.0
97,40.0,0.0,97,98,2013-03-26 23:14:41,2013-03-26 23:14:47,0,6.0
98,40.0,21.82757614970817,98,100,2013-03-26 23:14:47,2013-03-26 23:14:58,4.683555311204775,11.0
99,35.0,29.691532273544354,98,100,2013-03-26 23:14:47,2013-03-26 23:14:58,4.683555311204775,11.0
100,35.0,8.977528389126583,100,102,2013-03-26 23:14:58,2013-03-26 23:15:06,5.5453841541725497,8.0
101,29.0,35.385544844253815,100,102,2013-03-26 23:14:58,2013-03-26 23:15:06,5.5453841541725497,8.0
102,29.0,17.908265651539978,102,104,2013-03-26 23:15:06,2013-03-26 23:15:14,3.3352539230375662,8.0
103,26.0,8.773765732760552,102,104,2013-03-26 23:15:06,2013-03-26 23:15:14,3.3352539230375662,8.0
104,26.0,29.638769320704803,104,105,2013-03-26 23:15:14,2013-03-26 23:15:23,3.2931965911894228,9.0
105,26.0,11.837020438319746,105,106,2013-03-26 23:15:23,2013-03-26 23:15:27,2.9592551095799364,4.0
106,26.0,0.7502567436958792,106,108,2013-03-26 23:15:27,2013-03-26 23:15:38,6.0417671844097836,11.0
107,31.0,65.70918228481173,106,108,2013-03-26 23:15:27,2013-03-26 23:15:38,6.0417671844097836,11.0
108,31.0,0.0,108,109,2013-03-26 23:15:38,2013-03-26 23:15:46,0,8.0
109,31.0,0.0,109,110,2013-03-26 23:15:46,2013-03-26 23:15:55,0,9.0
110,31.0,0.0,110,111,2013-03-26 23:15:55,2013-03-26 23:16:03,0,8.0
111,31.0,0.0,111,112,2013-03-26 23:16:03,2013-03-26 23:16:11,0,8.0
112,31.0,56.09313660861247,112,113,2013-03-26 23:16:11,2013-03-26 23:16:18,8.0133052298017819,7.0
113,31.0,7.393364763068148,113,116,2013-03-26 23:16:18,2013-03-26 23:16:27,7.117129485966883,9.0
114,32.0,5.1988395985706015,113,116,2013-03-26 23:16:18,2013-03-26 23:16:27,7.117129485966883,9.0
115,38.0,51.461961012063206,113,116,2013-03-26 23:16:18,2013-03-26 23:16:27,7.117129485966883,9.0
116,38.0,33.270895172307426,116,118,2013-03-26 23:16:27,2013-03-26 23:16:35,8.1680914462549659,8.0
117,42.0,32.07383639773231,116,118,2013-03-26 23:16:27,2013-03-26 23:16:35,8.1680914462549659,8.0
118,42.0,47.92389473411599,118,119,2013-03-26 23:16:35,2013-03-26 23:16:42,6.846270676302284,7.0
119,42.0,5.122879978238814,119,121,2013-03-26 23:16:42,2013-03-26 23:16:47,8.8138478162659712,5.0
120,45.0,38.94635910309104,119,121,2013-03-26 23:16:42,2013-03-26 23:16:47,8.8138478162659712,5.0
121,45.0,0.0,121,122,2013-03-26 23:16:47,2013-03-26 23:16:59,0,12.0
122,45.0,0.0,122,123,2013-03-26 23:16:59,2013-03-26 23:17:07,0,8.0
123,45.0,0.0,123,124,2013-03-26 23:17:07,2013-03-26 23:17:14,0,7.0
124,45.0,0.0,124,125,2013-03-26 23:17:14,2013-03-26 23:17:23,0,9.0
125,45.0,8.991884199370304,125,127,2013-03-26 23:17:23,2013-03-26 23:17:31,6.5244774465128987,8.0
126,51.0,43.203935372732886,125,127,2013-03-26 23:17:23,2013-03-26 23:17:31,6.5244774465128987,8.0
