,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,47.0,11.681506901545855,0,2,2013-04-17 16:20:30,2013-04-17 16:20:37,10.209664906777695,7.0
1,40.0,59.78614744589801,0,2,2013-04-17 16:20:30,2013-04-17 16:20:37,10.209664906777695,7.0
2,40.0,0.0,2,3,2013-04-17 16:20:37,2013-04-17 16:20:46,0,9.0
3,40.0,0.0,3,4,2013-04-17 16:20:46,2013-04-17 16:20:54,0,8.0
4,40.0,0.0,4,5,2013-04-17 16:20:54,2013-04-17 16:21:01,0,7.0
5,40.0,0.0,5,6,2013-04-17 16:21:01,2013-04-17 16:21:09,0,8.0
6,40.0,21.54388128727207,6,9,2013-04-17 16:21:09,2013-04-17 16:21:18,11.354852363132956,9.0
7,35.0,38.66906066267094,6,9,2013-04-17 16:21:09,2013-04-17 16:21:18,11.354852363132956,9.0
8,29.0,41.9807293182536,6,9,2013-04-17 16:21:09,2013-04-17 16:21:18,11.354852363132956,9.0
9,29.0,11.313081177540205,9,11,2013-04-17 16:21:18,2013-04-17 16:21:26,5.5224995892513267,8.0
10,26.0,32.86691553647041,9,11,2013-04-17 16:21:18,2013-04-17 16:21:26,5.5224995892513267,8.0
11,26.0,18.13289669901056,11,13,2013-04-17 16:21:26,2013-04-17 16:21:32,12.311743509941181,6.0
12,31.0,55.73756436063653,11,13,2013-04-17 16:21:26,2013-04-17 16:21:32,12.311743509941181,6.0
13,31.0,0.0,13,14,2013-04-17 16:21:32,2013-04-17 16:21:43,0,11.0
14,31.0,0.0,14,15,2013-04-17 16:21:43,2013-04-17 16:21:51,0,8.0
15,31.0,0.0,15,16,2013-04-17 16:21:51,2013-04-17 16:21:58,0,7.0
16,31.0,0.0,16,17,2013-04-17 16:21:58,2013-04-17 16:22:06,0,8.0
17,31.0,0.0,17,18,2013-04-17 16:22:06,2013-04-17 16:22:15,0,9.0
18,31.0,72.8219378602472,18,19,2013-04-17 16:22:15,2013-04-17 16:22:22,10.403133980035316,7.0
19,31.0,0.63618143560862,19,22,2013-04-17 16:22:22,2013-04-17 16:22:31,9.2037812738321776,9.0
20,32.0,5.1988395985706015,19,22,2013-04-17 16:22:22,2013-04-17 16:22:31,9.2037812738321776,9.0
21,38.0,76.99901043031038,19,22,2013-04-17 16:22:22,2013-04-17 16:22:31,9.2037812738321776,9.0
