,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,49.0,22.62442528316731,0,2,2013-04-17 11:20:36,2013-04-17 11:20:43,4.162634662332791,7.0
1,56.0,6.514017353162229,0,2,2013-04-17 11:20:36,2013-04-17 11:20:43,4.162634662332791,7.0
2,56.0,0.0,2,3,2013-04-17 11:20:43,2013-04-17 11:20:52,0,9.0
3,56.0,0.0,3,4,2013-04-17 11:20:52,2013-04-17 11:20:58,0,6.0
4,56.0,0.0,4,5,2013-04-17 11:20:58,2013-04-17 11:21:01,0,3.0
5,56.0,6.514017353162229,5,7,2013-04-17 11:21:01,2013-04-17 11:21:09,9.8813307289010854,8.0
6,48.0,72.53662847804645,5,7,2013-04-17 11:21:01,2013-04-17 11:21:09,9.8813307289010854,8.0
7,48.0,46.190535781389634,7,9,2013-04-17 11:21:09,2013-04-17 11:21:16,9.3806385379654635,7.0
8,52.0,19.47393398436861,7,9,2013-04-17 11:21:09,2013-04-17 11:21:16,9.3806385379654635,7.0
9,52.0,73.78572350099245,9,10,2013-04-17 11:21:16,2013-04-17 11:21:25,8.1984137223324947,9.0
10,52.0,52.50373691577978,10,12,2013-04-17 11:21:25,2013-04-17 11:21:33,6.5629671144724728,8.0
11,51.0,0.0,10,12,2013-04-17 11:21:25,2013-04-17 11:21:33,0,8.0
12,51.0,15.654765762684768,12,13,2013-04-17 11:21:33,2013-04-17 11:21:40,2.2363951089549667,7.0
13,51.0,56.156142725672034,13,14,2013-04-17 11:21:40,2013-04-17 11:21:49,6.2395714139635592,9.0
14,51.0,0.029390559730240188,14,16,2013-04-17 11:21:49,2013-04-17 11:21:58,2.7139482346628703,9.0
15,45.0,24.39614355223559,14,16,2013-04-17 11:21:49,2013-04-17 11:21:58,2.7139482346628703,9.0
16,45.0,3.9027239032614314,16,17,2013-04-17 11:21:58,2013-04-17 11:22:03,0.78054478065228627,5.0
17,45.0,19.63937584696431,17,19,2013-04-17 11:22:03,2013-04-17 11:22:14,7.4607232950125084,11.0
18,42.0,62.42858039817328,17,19,2013-04-17 11:22:03,2013-04-17 11:22:14,7.4607232950125084,11.0
19,42.0,22.692030711913823,19,21,2013-04-17 11:22:14,2013-04-17 11:22:22,9.4207113235317621,8.0
20,38.0,52.673659876340274,19,21,2013-04-17 11:22:14,2013-04-17 11:22:22,9.4207113235317621,8.0
21,38.0,32.05919630803037,21,24,2013-04-17 11:22:22,2013-04-17 11:22:30,7.9884116384285679,8.0
22,32.0,5.1988395985706015,21,24,2013-04-17 11:22:22,2013-04-17 11:22:30,7.9884116384285679,8.0
23,31.0,26.64925720082757,21,24,2013-04-17 11:22:22,2013-04-17 11:22:30,7.9884116384285679,8.0
24,31.0,37.44039568819729,24,25,2013-04-17 11:22:30,2013-04-17 11:22:38,4.6800494610246615,8.0
25,31.0,29.7340314504818,25,26,2013-04-17 11:22:38,2013-04-17 11:22:45,4.247718778640257,7.0
