,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,55.0,0.0,0,1,2013-04-18 16:00:20,2013-04-18 16:00:29,0,9.0
1,55.0,0.0,1,2,2013-04-18 16:00:29,2013-04-18 16:00:36,0,7.0
2,55.0,18.81126590875288,2,3,2013-04-18 16:00:36,2013-04-18 16:00:45,2.0901406565280976,9.0
3,55.0,2.6244921308354616,3,7,2013-04-18 16:00:45,2013-04-18 16:00:52,5.4762854665072593,7.0
4,54.0,4.571992314594792,3,7,2013-04-18 16:00:45,2013-04-18 16:00:52,5.4762854665072593,7.0
5,53.0,16.820866074741257,3,7,2013-04-18 16:00:45,2013-04-18 16:00:52,5.4762854665072593,7.0
6,50.0,14.316647745379305,3,7,2013-04-18 16:00:45,2013-04-18 16:00:52,5.4762854665072593,7.0
7,50.0,6.84247286900077,7,9,2013-04-18 16:00:52,2013-04-18 16:01:01,7.802540945631514,9.0
8,47.0,63.38039564168285,7,9,2013-04-18 16:00:52,2013-04-18 16:01:01,7.802540945631514,9.0
9,47.0,33.77881789158579,9,10,2013-04-18 16:01:01,2013-04-18 16:01:08,4.8255454130836837,7.0
10,47.0,11.218188799897234,10,11,2013-04-18 16:01:08,2013-04-18 16:01:16,1.4022735999871543,8.0
11,47.0,6.8038466021544615,11,13,2013-04-18 16:01:16,2013-04-18 16:01:25,9.047314295725311,9.0
12,40.0,74.62198205937334,11,13,2013-04-18 16:01:16,2013-04-18 16:01:25,9.047314295725311,9.0
13,40.0,0.0,13,14,2013-04-18 16:01:25,2013-04-18 16:01:33,0,8.0
14,40.0,0.0,14,15,2013-04-18 16:01:33,2013-04-18 16:01:40,0,7.0
15,40.0,0.0,15,16,2013-04-18 16:01:40,2013-04-18 16:01:49,0,9.0
16,40.0,0.0,16,17,2013-04-18 16:01:49,2013-04-18 16:01:56,0,7.0
17,40.0,0.0,17,18,2013-04-18 16:01:56,2013-04-18 16:02:05,0,9.0
18,40.0,0.0,18,19,2013-04-18 16:02:05,2013-04-18 16:02:13,0,8.0
19,40.0,0.0,19,20,2013-04-18 16:02:13,2013-04-18 16:02:21,0,8.0
20,40.0,6.708046673796723,20,23,2013-04-18 16:02:21,2013-04-18 16:02:29,10.305677830265557,8.0
21,35.0,38.66906066267094,20,23,2013-04-18 16:02:21,2013-04-18 16:02:29,10.305677830265557,8.0
22,29.0,37.068315305656796,20,23,2013-04-18 16:02:21,2013-04-18 16:02:29,10.305677830265557,8.0
23,29.0,16.225495190137,23,25,2013-04-18 16:02:29,2013-04-18 16:02:36,6.9599310173782367,7.0
24,26.0,32.49402193151066,23,25,2013-04-18 16:02:29,2013-04-18 16:02:36,6.9599310173782367,7.0
25,26.0,18.505790303970322,25,26,2013-04-18 16:02:36,2013-04-18 16:02:45,2.056198922663369,9.0
26,26.0,0.0,26,28,2013-04-18 16:02:45,2013-04-18 16:02:53,0,8.0
27,31.0,46.98344549630682,26,28,2013-04-18 16:02:45,2013-04-18 16:02:53,5.8729306870383526,8.0
28,31.0,16.614706899031574,28,29,2013-04-18 16:02:53,2013-04-18 16:03:00,2.3735295570045105,7.0
29,31.0,0.0,29,30,2013-04-18 16:03:00,2013-04-18 16:03:09,0,9.0
30,31.0,12.718086921132365,30,31,2013-04-18 16:03:09,2013-04-18 16:03:16,1.8168695601617664,7.0
31,31.0,34.73147443314491,31,32,2013-04-18 16:03:16,2013-04-18 16:04:20,0.54267928801788923,64.0
