,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,40,0.0,0,1,2013-03-26 16:01:48,2013-03-26 16:01:56,0,8.0
1,40,0.0,1,2,2013-03-26 16:01:56,2013-03-26 16:02:04,0,8.0
2,40,0.0,2,3,2013-03-26 16:02:04,2013-03-26 16:02:12,0,8.0
3,40,0.0,3,4,2013-03-26 16:02:12,2013-03-26 16:02:19,0,7.0
4,40,0.0,4,5,2013-03-26 16:02:19,2013-03-26 16:02:28,0,9.0
5,40,12.353557412173116,5,8,2013-03-26 16:02:28,2013-03-26 16:02:36,10.173458659449283,8.0
6,35,38.66906066267094,5,8,2013-03-26 16:02:28,2013-03-26 16:02:36,10.173458659449283,8.0
7,29,30.365051200750212,5,8,2013-03-26 16:02:28,2013-03-26 16:02:36,10.173458659449283,8.0
8,29,22.92875929504357,8,10,2013-03-26 16:02:36,2013-03-26 16:02:44,7.475437102477037,8.0
9,26,36.874737524772726,8,10,2013-03-26 16:02:36,2013-03-26 16:02:44,7.475437102477037,8.0
10,26,9.366997328356973,10,11,2013-03-26 16:02:44,2013-03-26 16:02:52,1.1708746660446216,8.0
11,26,4.758077382351283,11,13,2013-03-26 16:02:52,2013-03-26 16:03:00,9.1340807034543339,8.0
12,31,68.31456824528338,11,13,2013-03-26 16:02:52,2013-03-26 16:03:00,9.1340807034543339,8.0
13,31,0.0,13,14,2013-03-26 16:03:00,2013-03-26 16:03:08,0,8.0
14,31,0.0,14,15,2013-03-26 16:03:08,2013-03-26 16:03:16,0,8.0
15,31,0.0,15,16,2013-03-26 16:03:16,2013-03-26 16:03:24,0,8.0
16,31,0.0,16,17,2013-03-26 16:03:24,2013-03-26 16:03:32,0,8.0
17,31,0.0,17,18,2013-03-26 16:03:32,2013-03-26 16:03:40,0,8.0
18,31,0.0,18,19,2013-03-26 16:03:40,2013-03-26 16:03:48,0,8.0
19,31,60.881115411208974,19,22,2013-03-26 16:03:48,2013-03-26 16:03:57,15.896131939034669,9.0
20,32,5.1988395985706015,19,22,2013-03-26 16:03:48,2013-03-26 16:03:57,15.896131939034669,9.0
21,38,76.98523244153245,19,22,2013-03-26 16:03:48,2013-03-26 16:03:57,15.896131939034669,9.0
22,38,7.7476237428382015,22,25,2013-03-26 16:03:57,2013-03-26 16:04:05,16.104277242513174,8.0
23,42,85.12061111008711,22,25,2013-03-26 16:03:57,2013-03-26 16:04:05,16.104277242513174,8.0
24,45,35.96598308718007,22,25,2013-03-26 16:03:57,2013-03-26 16:04:05,16.104277242513174,8.0
25,45,0.0,25,26,2013-03-26 16:04:05,2013-03-26 16:04:13,0,8.0
26,45,0.0,26,27,2013-03-26 16:04:13,2013-03-26 16:04:21,0,8.0
27,45,0.0,27,28,2013-03-26 16:04:21,2013-03-26 16:04:29,0,8.0
28,45,0.0,28,29,2013-03-26 16:04:29,2013-03-26 16:04:37,0,8.0
29,45,0.0,29,30,2013-03-26 16:04:37,2013-03-26 16:04:45,0,8.0
30,45,0.0,30,31,2013-03-26 16:04:45,2013-03-26 16:04:53,0,8.0
31,45,0.0,31,32,2013-03-26 16:04:53,2013-03-26 16:05:01,0,8.0
32,45,0.0,32,33,2013-03-26 16:05:01,2013-03-26 16:05:09,0,8.0
33,45,0.0,33,34,2013-03-26 16:05:09,2013-03-26 16:05:17,0,8.0
34,45,0.0,34,35,2013-03-26 16:05:17,2013-03-26 16:05:25,0,8.0
35,45,0.0,35,36,2013-03-26 16:05:25,2013-03-26 16:05:33,0,8.0
36,45,11.97226021528126,36,38,2013-03-26 16:05:33,2013-03-26 16:05:41,8.3790615136900257,8.0
37,51,55.06023189423894,36,38,2013-03-26 16:05:33,2013-03-26 16:05:41,8.3790615136900257,8.0
38,51,15.096945048819055,38,39,2013-03-26 16:05:41,2013-03-26 16:05:44,5.0323150162730181,3.0
39,51,1.6831221050290566,39,41,2013-03-26 16:05:44,2013-03-26 16:05:49,8.3019899848221979,5.0
40,52,39.826827819081934,39,41,2013-03-26 16:05:44,2013-03-26 16:05:49,8.3019899848221979,5.0
41,52,68.62859626599376,41,42,2013-03-26 16:05:49,2013-03-26 16:05:57,8.5785745332492205,8.0
42,52,3.5002550703069626,42,43,2013-03-26 16:05:57,2013-03-26 16:06:05,0.43753188378837032,8.0
