,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,122,15.775727052881164,0,2,2013-04-18 20:25:24,2013-04-18 20:25:32,4.0075719594157331,8.0
1,121,16.2848486224447,0,2,2013-04-18 20:25:24,2013-04-18 20:25:32,4.0075719594157331,8.0
2,121,34.42480397620769,2,4,2013-04-18 20:25:32,2013-04-18 20:25:39,9.2980582989912168,7.0
3,124,30.661604116730818,2,4,2013-04-18 20:25:32,2013-04-18 20:25:39,9.2980582989912168,7.0
4,124,33.422640876544364,4,5,2013-04-18 20:25:39,2013-04-18 20:25:48,3.7136267640604848,9.0
5,124,0.0,5,6,2013-04-18 20:25:48,2013-04-18 20:25:56,0,8.0
6,124,0.0,6,7,2013-04-18 20:25:56,2013-04-18 20:26:04,0,8.0
7,124,0.0,7,8,2013-04-18 20:26:04,2013-04-18 20:26:12,0,8.0
8,124,0.0,8,9,2013-04-18 20:26:12,2013-04-18 20:26:19,0,7.0
9,124,16.817875250737547,9,11,2013-04-18 20:26:19,2013-04-18 20:26:28,9.3661701866645686,9.0
10,125,67.47765642924358,9,11,2013-04-18 20:26:19,2013-04-18 20:26:28,9.3661701866645686,9.0
11,125,12.045123563328021,11,12,2013-04-18 20:26:28,2013-04-18 20:26:32,3.0112808908320052,4.0
12,125,32.078935815120076,12,14,2013-04-18 20:26:32,2013-04-18 20:26:44,4.7678824680629788,12.0
13,114,25.13565380163567,12,14,2013-04-18 20:26:32,2013-04-18 20:26:44,4.7678824680629788,12.0
14,114,62.33820090085136,14,15,2013-04-18 20:26:44,2013-04-18 20:26:51,8.9054572715501941,7.0
15,114,61.35687334486546,15,18,2013-04-18 20:26:51,2013-04-18 20:27:00,9.8076575145283957,9.0
16,103,19.47464451933768,15,18,2013-04-18 20:26:51,2013-04-18 20:27:00,9.8076575145283957,9.0
17,101,7.437399766552431,15,18,2013-04-18 20:26:51,2013-04-18 20:27:00,9.8076575145283957,9.0
18,101,0.0,18,19,2013-04-18 20:27:00,2013-04-18 20:27:08,0,8.0
19,101,0.0,19,20,2013-04-18 20:27:08,2013-04-18 20:27:16,0,8.0
20,101,0.0,20,21,2013-04-18 20:27:16,2013-04-18 20:27:24,0,8.0
21,101,112.78035349939074,21,23,2013-04-18 20:27:24,2013-04-18 20:27:31,16.178176536781603,7.0
22,88,0.4668822580804744,21,23,2013-04-18 20:27:24,2013-04-18 20:27:31,16.178176536781603,7.0
23,88,44.55389898690217,23,25,2013-04-18 20:27:31,2013-04-18 20:27:40,9.8200932762371203,9.0
24,86,43.82694049923191,23,25,2013-04-18 20:27:31,2013-04-18 20:27:40,9.8200932762371203,9.0
25,86,0.0,25,26,2013-04-18 20:27:40,2013-04-18 20:27:48,0,8.0
26,86,0.0,26,27,2013-04-18 20:27:48,2013-04-18 20:27:55,0,7.0
27,86,0.0,27,28,2013-04-18 20:27:55,2013-04-18 20:28:04,0,9.0
28,86,0.0,28,29,2013-04-18 20:28:04,2013-04-18 20:28:12,0,8.0
29,86,0.0,29,30,2013-04-18 20:28:12,2013-04-18 20:28:20,0,8.0
30,86,0.0,30,31,2013-04-18 20:28:20,2013-04-18 20:28:25,0,5.0
31,86,0.0,31,32,2013-04-18 20:28:25,2013-04-18 20:28:36,0,11.0
32,86,0.0,32,33,2013-04-18 20:28:36,2013-04-18 20:28:43,0,7.0
33,86,0.0,33,34,2013-04-18 20:28:43,2013-04-18 20:28:52,0,9.0
34,86,113.98455333236751,34,36,2013-04-18 20:28:52,2013-04-18 20:29:00,17.463471349114663,8.0
35,62,25.723217460549783,34,36,2013-04-18 20:28:52,2013-04-18 20:29:00,17.463471349114663,8.0
36,62,38.066402308767685,36,37,2013-04-18 20:29:00,2013-04-18 20:29:07,5.4380574726810975,7.0
37,62,0.0154257167915234,37,39,2013-04-18 20:29:07,2013-04-18 20:29:16,5.466932481400538,9.0
38,56,49.18696661581332,37,39,2013-04-18 20:29:07,2013-04-18 20:29:16,5.466932481400538,9.0
39,56,12.016811205743366,39,40,2013-04-18 20:29:16,2013-04-18 20:29:24,1.5021014007179208,8.0
40,56,26.44205823314596,40,42,2013-04-18 20:29:24,2013-04-18 20:29:32,8.479787161013645,8.0
41,48,41.3962390549632,40,42,2013-04-18 20:29:24,2013-04-18 20:29:32,8.479787161013645,8.0
42,48,62.78673233456682,42,43,2013-04-18 20:29:32,2013-04-18 20:29:38,10.46445538909447,6.0
43,48,14.54419286990607,43,45,2013-04-18 20:29:38,2013-04-18 20:29:48,11.654776218768006,10.0
44,52,102.003569317774,43,45,2013-04-18 20:29:38,2013-04-18 20:29:48,11.654776218768006,10.0
45,52,41.236635345822364,45,46,2013-04-18 20:29:48,2013-04-18 20:29:56,5.1545794182277955,8.0
46,52,2.523189737544442,46,47,2013-04-18 20:29:56,2013-04-18 20:30:01,0.50463794750888835,5.0
47,52,0.0,47,50,2013-04-18 20:30:01,2013-04-18 20:30:12,0,11.0
48,51,71.84029904808705,47,50,2013-04-18 20:30:01,2013-04-18 20:30:12,7.2309517179158753,11.0
49,45,7.700169848987585,47,50,2013-04-18 20:30:01,2013-04-18 20:30:12,7.2309517179158753,11.0
50,45,40.238073453473746,50,52,2013-04-18 20:30:12,2013-04-18 20:30:20,9.5603515729774955,8.0
51,42,36.244739130346225,50,52,2013-04-18 20:30:12,2013-04-18 20:30:20,9.5603515729774955,8.0
52,42,48.875871979740886,52,54,2013-04-18 20:30:20,2013-04-18 20:30:28,10.902551411990999,8.0
53,38,38.34453931618711,52,54,2013-04-18 20:30:20,2013-04-18 20:30:28,10.902551411990999,8.0
54,38,46.38831686818354,54,57,2013-04-18 20:30:28,2013-04-18 20:30:36,10.163997943302411,8.0
55,32,5.1988395985706015,54,57,2013-04-18 20:30:28,2013-04-18 20:30:36,10.163997943302411,8.0
56,31,29.72482707966515,54,57,2013-04-18 20:30:28,2013-04-18 20:30:36,10.163997943302411,8.0
57,31,35.81297903771401,57,58,2013-04-18 20:30:36,2013-04-18 20:30:44,4.476622379714251,8.0
58,31,1.9874899860393207,58,59,2013-04-18 20:30:44,2013-04-18 20:30:52,0.24843624825491509,8.0
59,31,7.871577257210988,59,60,2013-04-18 20:30:52,2013-04-18 20:31:00,0.98394715715137349,8.0
60,31,35.22722874145208,60,61,2013-04-18 20:31:00,2013-04-18 20:31:08,4.40340359268151,8.0
61,31,4.76194134356791,61,62,2013-04-18 20:31:08,2013-04-18 20:31:13,0.95238826871358206,5.0
62,31,13.809640210842884,62,65,2013-04-18 20:31:13,2013-04-18 20:31:24,8.9636835632660397,11.0
63,26,50.999812235480974,62,65,2013-04-18 20:31:13,2013-04-18 20:31:24,8.9636835632660397,11.0
64,29,33.791066749602585,62,65,2013-04-18 20:31:13,2013-04-18 20:31:24,8.9636835632660397,11.0
65,29,19.502743746191207,65,68,2013-04-18 20:31:24,2013-04-18 20:31:32,7.2783201838739178,8.0
66,35,38.66906066267094,65,68,2013-04-18 20:31:24,2013-04-18 20:31:32,7.2783201838739178,8.0
67,40,0.054757062129194733,65,68,2013-04-18 20:31:24,2013-04-18 20:31:32,7.2783201838739178,8.0
68,40,9.367831834518599,68,69,2013-04-18 20:31:32,2013-04-18 20:31:40,1.1709789793148249,8.0
69,40,28.632641466783532,69,70,2013-04-18 20:31:40,2013-04-18 20:31:47,4.0903773523976472,7.0
70,40,0.7446290548763771,70,71,2013-04-18 20:31:47,2013-04-18 20:31:56,0.082736561652930793,9.0
71,40,13.001802498727308,71,72,2013-04-18 20:31:56,2013-04-18 20:32:04,1.6252253123409135,8.0
72,40,20.271822596052647,72,73,2013-04-18 20:32:04,2013-04-18 20:32:12,2.5339778245065809,8.0
73,40,9.256544220082418,73,75,2013-04-18 20:32:12,2013-04-18 20:32:20,2.1635505997520559,8.0
74,47,8.051860577934027,73,75,2013-04-18 20:32:12,2013-04-18 20:32:20,2.1635505997520559,8.0
75,47,68.95086178601863,75,76,2013-04-18 20:32:20,2013-04-18 20:32:28,8.6188577232523294,8.0
76,47,37.56538866564053,76,77,2013-04-18 20:32:28,2013-04-18 20:32:36,4.6956735832050667,8.0
77,47,0.6131379057271431,77,81,2013-04-18 20:32:36,2013-04-18 20:32:43,6.037607692026306,7.0
78,50,21.159120614380072,77,81,2013-04-18 20:32:36,2013-04-18 20:32:43,6.037607692026306,7.0
79,53,16.820866074741257,77,81,2013-04-18 20:32:36,2013-04-18 20:32:43,6.037607692026306,7.0
80,54,3.670129249335664,77,81,2013-04-18 20:32:36,2013-04-18 20:32:43,6.037607692026306,7.0
81,54,0.0,81,82,2013-04-18 20:32:43,2013-04-18 20:32:52,0,9.0
82,54,0.0,82,83,2013-04-18 20:32:52,2013-04-18 20:33:00,0,8.0
83,54,0.0,83,84,2013-04-18 20:33:00,2013-04-18 20:33:08,0,8.0
84,54,0.0,84,85,2013-04-18 20:33:08,2013-04-18 20:33:16,0,8.0
85,54,0.0,85,86,2013-04-18 20:33:16,2013-04-18 20:33:24,0,8.0
86,54,0.9018630650825736,86,89,2013-04-18 20:33:24,2013-04-18 20:33:32,10.366658234311505,8.0
87,55,40.70688476382127,86,89,2013-04-18 20:33:24,2013-04-18 20:33:32,10.366658234311505,8.0
88,60,41.324518045588185,86,89,2013-04-18 20:33:24,2013-04-18 20:33:32,10.366658234311505,8.0
89,60,12.097370126635045,89,91,2013-04-18 20:33:32,2013-04-18 20:33:40,7.7512324552165097,8.0
90,65,49.91248951509703,89,91,2013-04-18 20:33:32,2013-04-18 20:33:40,7.7512324552165097,8.0
91,65,37.96495591948101,91,92,2013-04-18 20:33:40,2013-04-18 20:33:48,4.7456194899351258,8.0
92,65,13.712475642792768,92,93,2013-04-18 20:33:48,2013-04-18 20:33:57,1.523608404754752,9.0
93,65,0.0,93,94,2013-04-18 20:33:57,2013-04-18 20:34:04,0,7.0
94,65,5.843690904585087,94,96,2013-04-18 20:34:04,2013-04-18 20:34:12,4.18307685007606,8.0
