,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,41,84.40529364411111,0,1,2013-04-11 12:31:21,2013-04-11 12:31:29,10.550661705513889,8.0
1,41,22.09896302338253,1,3,2013-04-11 12:31:29,2013-04-11 12:31:37,10.379012167253617,8.0
2,64,60.933134314646395,1,3,2013-04-11 12:31:29,2013-04-11 12:31:37,10.379012167253617,8.0
3,64,0.0,3,4,2013-04-11 12:31:37,2013-04-11 12:31:46,0,9.0
4,64,0.0,4,5,2013-04-11 12:31:46,2013-04-11 12:31:54,0,8.0
5,64,0.0,5,6,2013-04-11 12:31:54,2013-04-11 12:32:01,0,7.0
6,64,0.0,6,7,2013-04-11 12:32:01,2013-04-11 12:32:09,0,8.0
7,64,0.0,7,8,2013-04-11 12:32:09,2013-04-11 12:32:17,0,8.0
8,64,0.0,8,9,2013-04-11 12:32:17,2013-04-11 12:32:26,0,9.0
9,64,0.0,9,10,2013-04-11 12:32:26,2013-04-11 12:32:33,0,7.0
10,64,0.0,10,11,2013-04-11 12:32:33,2013-04-11 12:32:41,0,8.0
11,64,0.0,11,12,2013-04-11 12:32:41,2013-04-11 12:32:49,0,8.0
12,64,0.0,12,13,2013-04-11 12:32:49,2013-04-11 12:32:57,0,8.0
13,64,0.0,13,14,2013-04-11 12:32:57,2013-04-11 12:33:05,0,8.0
14,64,0.0,14,15,2013-04-11 12:33:05,2013-04-11 12:33:13,0,8.0
15,64,266.034847099606,15,19,2013-04-11 12:33:13,2013-04-11 12:33:21,88.292849698728219,8.0
16,75,157.5722730742944,15,19,2013-04-11 12:33:13,2013-04-11 12:33:21,88.292849698728219,8.0
17,96,229.75835435134468,15,19,2013-04-11 12:33:13,2013-04-11 12:33:21,88.292849698728219,8.0
18,98,52.977323064580716,15,19,2013-04-11 12:33:13,2013-04-11 12:33:21,88.292849698728219,8.0
19,98,82.05164463736745,19,20,2013-04-11 12:33:21,2013-04-11 12:33:29,10.256455579670931,8.0
20,98,11.693341468466027,20,24,2013-04-11 12:33:29,2013-04-11 12:33:38,10.118429734960023,9.0
21,102,45.97104322505972,20,24,2013-04-11 12:33:29,2013-04-11 12:33:38,10.118429734960023,9.0
22,104,30.125103386418715,20,24,2013-04-11 12:33:29,2013-04-11 12:33:38,10.118429734960023,9.0
23,110,3.2763795346957325,20,24,2013-04-11 12:33:29,2013-04-11 12:33:38,10.118429734960023,9.0
24,110,36.60108718298324,24,25,2013-04-11 12:33:38,2013-04-11 12:33:45,5.2287267404261772,7.0
25,110,6.776655749262076,25,26,2013-04-11 12:33:45,2013-04-11 12:33:53,0.84708196865775953,8.0
26,110,9.376232099136992,26,27,2013-04-11 12:33:53,2013-04-11 12:34:00,1.3394617284481416,7.0
27,110,26.571615915755416,27,28,2013-04-11 12:34:00,2013-04-11 12:34:08,3.321451989469427,8.0
28,110,7.137533528587369,28,30,2013-04-11 12:34:08,2013-04-11 12:34:18,7.4841908289113563,10.0
29,113,67.70437476052619,28,30,2013-04-11 12:34:08,2013-04-11 12:34:18,7.4841908289113563,10.0
30,113,47.51872697170774,30,32,2013-04-11 12:34:18,2013-04-11 12:34:26,6.5133794758994261,8.0
31,122,4.588308835487668,30,32,2013-04-11 12:34:18,2013-04-11 12:34:26,6.5133794758994261,8.0
32,122,0.0,32,33,2013-04-11 12:34:26,2013-04-11 12:34:35,0,9.0
33,122,0.0,33,34,2013-04-11 12:34:35,2013-04-11 12:34:42,0,7.0
34,122,200.5946809176075,34,35,2013-04-11 12:34:42,2013-04-11 12:34:45,66.864893639202492,3.0
35,122,0.0,35,36,2013-04-11 12:34:45,2013-04-11 12:34:50,0,5.0
36,122,0.0,36,37,2013-04-11 12:34:50,2013-04-11 12:34:58,0,8.0
37,122,0.0,37,38,2013-04-11 12:34:58,2013-04-11 12:35:06,0,8.0
38,122,0.0,38,39,2013-04-11 12:35:06,2013-04-11 12:35:15,0,9.0
39,122,0.0,39,40,2013-04-11 12:35:15,2013-04-11 12:35:22,0,7.0
40,122,200.35399795294273,40,41,2013-04-11 12:35:22,2013-04-11 12:35:30,25.044249744117842,8.0
41,122,31.78231466684707,41,42,2013-04-11 12:35:30,2013-04-11 12:35:39,3.5313682963163413,9.0
42,122,7.3033650925348725,42,44,2013-04-11 12:35:39,2013-04-11 12:35:47,4.3476520848858717,8.0
43,121,27.4778515865521,42,44,2013-04-11 12:35:39,2013-04-11 12:35:47,4.3476520848858717,8.0
44,121,23.23180101210029,44,46,2013-04-11 12:35:47,2013-04-11 12:35:54,12.827960484778918,7.0
45,124,66.56392238135214,44,46,2013-04-11 12:35:47,2013-04-11 12:35:54,12.827960484778918,7.0
46,124,0.0,46,47,2013-04-11 12:35:54,2013-04-11 12:36:02,0,8.0
47,124,0.0,47,48,2013-04-11 12:36:02,2013-04-11 12:36:10,0,8.0
48,124,0.0,48,49,2013-04-11 12:36:10,2013-04-11 12:36:16,0,6.0
49,124,0.0,49,50,2013-04-11 12:36:16,2013-04-11 12:36:26,0,10.0
50,124,0.0,50,51,2013-04-11 12:36:26,2013-04-11 12:36:34,0,8.0
51,124,0.0,51,52,2013-04-11 12:36:34,2013-04-11 12:36:42,0,8.0
52,124,0.0,52,53,2013-04-11 12:36:42,2013-04-11 12:36:51,0,9.0
53,124,0.0,53,54,2013-04-11 12:36:51,2013-04-11 12:36:59,0,8.0
