,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,104,0.0,0,1,2013-04-16 11:05:17,2013-04-16 11:05:25,0,8.0
1,104,0.0,1,2,2013-04-16 11:05:25,2013-04-16 11:05:33,0,8.0
2,104,0.0,2,3,2013-04-16 11:05:33,2013-04-16 11:05:41,0,8.0
3,104,0.0,3,4,2013-04-16 11:05:41,2013-04-16 11:05:49,0,8.0
4,104,0.0,4,5,2013-04-16 11:05:49,2013-04-16 11:05:57,0,8.0
5,104,0.0,5,6,2013-04-16 11:05:57,2013-04-16 11:06:05,0,8.0
6,104,0.0,6,7,2013-04-16 11:06:05,2013-04-16 11:06:13,0,8.0
7,104,0.0,7,8,2013-04-16 11:06:13,2013-04-16 11:06:21,0,8.0
8,104,0.0,8,9,2013-04-16 11:06:21,2013-04-16 11:06:29,0,8.0
9,104,0.0,9,10,2013-04-16 11:06:29,2013-04-16 11:06:37,0,8.0
10,104,0.0,10,11,2013-04-16 11:06:37,2013-04-16 11:06:45,0,8.0
11,104,0.0,11,12,2013-04-16 11:06:45,2013-04-16 11:06:53,0,8.0
12,104,0.0,12,13,2013-04-16 11:06:53,2013-04-16 11:07:01,0,8.0
13,104,18.956044278196565,13,17,2013-04-16 11:07:01,2013-04-16 11:07:09,42.930107936710925,8.0
14,110,89.73950401042083,13,17,2013-04-16 11:07:01,2013-04-16 11:07:09,42.930107936710925,8.0
15,113,115.22310173223394,13,17,2013-04-16 11:07:01,2013-04-16 11:07:09,42.930107936710925,8.0
16,122,119.52221347283606,13,17,2013-04-16 11:07:01,2013-04-16 11:07:09,42.930107936710925,8.0
17,122,0.0,17,18,2013-04-16 11:07:09,2013-04-16 11:07:17,0,8.0
18,122,238.2446674619647,18,19,2013-04-16 11:07:17,2013-04-16 11:07:25,29.780583432745587,8.0
19,122,0.0,19,20,2013-04-16 11:07:25,2013-04-16 11:07:33,0,8.0
20,122,0.0,20,21,2013-04-16 11:07:33,2013-04-16 11:07:41,0,8.0
21,122,0.0,21,22,2013-04-16 11:07:41,2013-04-16 11:07:50,0,9.0
22,122,0.0,22,23,2013-04-16 11:07:50,2013-04-16 11:07:57,0,7.0
23,122,0.0,23,24,2013-04-16 11:07:57,2013-04-16 11:08:05,0,8.0
24,122,0.0,24,25,2013-04-16 11:08:05,2013-04-16 11:08:13,0,8.0
25,122,0.0,25,26,2013-04-16 11:08:13,2013-04-16 11:08:21,0,8.0
26,122,0.0,26,27,2013-04-16 11:08:21,2013-04-16 11:08:30,0,9.0
27,122,0.0,27,28,2013-04-16 11:08:30,2013-04-16 11:08:38,0,8.0
28,122,86.85578653061913,28,32,2013-04-16 11:08:38,2013-04-16 11:08:44,44.392269490362359,6.0
29,121,50.70965259865239,28,32,2013-04-16 11:08:38,2013-04-16 11:08:44,44.392269490362359,6.0
30,124,80.90212024401272,28,32,2013-04-16 11:08:38,2013-04-16 11:08:44,44.392269490362359,6.0
31,125,47.88605756888988,28,32,2013-04-16 11:08:38,2013-04-16 11:08:44,44.392269490362359,6.0
32,125,0.0,32,33,2013-04-16 11:08:44,2013-04-16 11:08:53,0,9.0
33,125,0.0,33,34,2013-04-16 11:08:53,2013-04-16 11:09:02,0,9.0
34,125,0.0,34,35,2013-04-16 11:09:02,2013-04-16 11:09:10,0,8.0
35,125,0.0,35,36,2013-04-16 11:09:10,2013-04-16 11:09:15,0,5.0
36,125,63.71565823880179,36,38,2013-04-16 11:09:15,2013-04-16 11:09:27,6.8398669247166737,12.0
37,114,18.362744857798305,36,38,2013-04-16 11:09:15,2013-04-16 11:09:27,6.8398669247166737,12.0
38,114,68.78512983118854,38,39,2013-04-16 11:09:27,2013-04-16 11:09:34,9.8264471187412195,7.0
39,114,61.68285335836562,39,41,2013-04-16 11:09:34,2013-04-16 11:09:42,8.3585998282444827,8.0
40,103,5.185945267590238,39,41,2013-04-16 11:09:34,2013-04-16 11:09:42,8.3585998282444827,8.0
41,103,0.0,41,42,2013-04-16 11:09:42,2013-04-16 11:09:50,0,8.0
42,103,0.0,42,43,2013-04-16 11:09:50,2013-04-16 11:09:59,0,9.0
43,103,0.0,43,44,2013-04-16 11:09:59,2013-04-16 11:10:06,0,7.0
44,103,0.0,44,45,2013-04-16 11:10:06,2013-04-16 11:10:14,0,8.0
45,103,0.0,45,46,2013-04-16 11:10:14,2013-04-16 11:10:22,0,8.0
46,103,14.288699251747445,46,52,2013-04-16 11:10:22,2013-04-16 11:10:29,68.236699252376368,7.0
47,101,120.21775326594316,46,52,2013-04-16 11:10:22,2013-04-16 11:10:29,68.236699252376368,7.0
48,88,45.02078124498265,46,52,2013-04-16 11:10:22,2013-04-16 11:10:29,68.236699252376368,7.0
49,86,157.81149383159942,46,52,2013-04-16 11:10:22,2013-04-16 11:10:29,68.236699252376368,7.0
50,62,63.805045486109,46,52,2013-04-16 11:10:22,2013-04-16 11:10:29,68.236699252376368,7.0
51,56,76.51312168625284,46,52,2013-04-16 11:10:22,2013-04-16 11:10:29,68.236699252376368,7.0
52,56,11.132714368449793,52,54,2013-04-16 11:10:29,2013-04-16 11:10:39,11.293930787634071,10.0
53,48,101.80659350789092,52,54,2013-04-16 11:10:29,2013-04-16 11:10:39,11.293930787634071,10.0
54,48,16.920570751545185,54,56,2013-04-16 11:10:39,2013-04-16 11:10:47,9.2868135241996548,8.0
55,52,57.37393744205206,54,56,2013-04-16 11:10:39,2013-04-16 11:10:47,9.2868135241996548,8.0
56,52,77.49160740244764,56,57,2013-04-16 11:10:47,2013-04-16 11:10:55,9.6864509253059552,8.0
57,52,0.0,57,58,2013-04-16 11:10:55,2013-04-16 11:10:55,0,0.0
58,52,0.0,58,59,2013-04-16 11:10:55,2013-04-16 11:10:59,0,4.0
59,52,0.0,59,60,2013-04-16 11:10:59,2013-04-16 11:11:04,0,5.0
60,52,10.897849556641116,60,62,2013-04-16 11:11:04,2013-04-16 11:11:11,10.823683325229789,7.0
61,51,64.8679337199674,60,62,2013-04-16 11:11:04,2013-04-16 11:11:11,10.823683325229789,7.0
62,51,6.9723653281196425,62,64,2013-04-16 11:11:11,2013-04-16 11:11:19,4.1266529009466728,8.0
63,45,26.04085787945374,62,64,2013-04-16 11:11:11,2013-04-16 11:11:19,4.1266529009466728,8.0
64,45,3.264551350316641,64,65,2013-04-16 11:11:19,2013-04-16 11:11:25,0.54409189171944017,6.0
65,45,14.776599734297266,65,66,2013-04-16 11:11:25,2013-04-16 11:11:36,1.3433272485724788,11.0
66,45,3.856234338393687,66,68,2013-04-16 11:11:36,2013-04-16 11:11:43,7.5259818122280109,7.0
67,42,48.825638347202386,66,68,2013-04-16 11:11:36,2013-04-16 11:11:43,7.5259818122280109,7.0
68,42,36.294972762884726,68,70,2013-04-16 11:11:43,2013-04-16 11:11:51,8.9329158169163048,8.0
69,38,35.16835377244571,68,70,2013-04-16 11:11:43,2013-04-16 11:11:51,8.9329158169163048,8.0
70,38,49.564502411924934,70,73,2013-04-16 11:11:51,2013-04-16 11:11:59,9.0039018518687364,8.0
71,32,5.1988395985706015,70,73,2013-04-16 11:11:51,2013-04-16 11:11:59,9.0039018518687364,8.0
72,31,17.267872804454356,70,73,2013-04-16 11:11:51,2013-04-16 11:11:59,9.0039018518687364,8.0
73,31,79.80673005630769,73,74,2013-04-16 11:11:59,2013-04-16 11:12:08,8.8674144507008545,9.0
74,31,32.1210807957303,74,76,2013-04-16 11:12:08,2013-04-16 11:12:16,4.0151350994662875,8.0
75,26,0.0,74,76,2013-04-16 11:12:08,2013-04-16 11:12:16,0,8.0
76,26,27.09194622682005,76,77,2013-04-16 11:12:16,2013-04-16 11:12:23,3.8702780324028643,7.0
77,26,23.907866008660932,77,79,2013-04-16 11:12:23,2013-04-16 11:12:31,8.1023754834565906,8.0
78,29,40.91113785899179,77,79,2013-04-16 11:12:23,2013-04-16 11:12:31,8.1023754834565906,8.0
79,29,12.382672636802,79,82,2013-04-16 11:12:31,2013-04-16 11:12:39,9.4675143033207725,8.0
80,35,38.66906066267094,79,82,2013-04-16 11:12:31,2013-04-16 11:12:39,9.4675143033207725,8.0
81,40,24.688381127093248,79,82,2013-04-16 11:12:31,2013-04-16 11:12:39,9.4675143033207725,8.0
82,40,0.0,82,83,2013-04-16 11:12:39,2013-04-16 11:12:48,0,9.0
83,40,0.0,83,84,2013-04-16 11:12:48,2013-04-16 11:12:56,0,8.0
84,40,0.0,84,85,2013-04-16 11:12:56,2013-04-16 11:13:03,0,7.0
85,40,0.0,85,86,2013-04-16 11:13:03,2013-04-16 11:13:11,0,8.0
86,40,45.4402269264257,86,87,2013-04-16 11:13:11,2013-04-16 11:13:15,11.360056731606425,4.0
87,40,11.201420679651136,87,89,2013-04-16 11:13:15,2013-04-16 11:13:20,2.2532972845218628,5.0
88,47,0.06506574295817688,87,89,2013-04-16 11:13:15,2013-04-16 11:13:20,2.2532972845218628,5.0
89,47,49.51860688312981,89,90,2013-04-16 11:13:20,2013-04-16 11:13:28,6.1898258603912266,8.0
90,47,53.28463276594324,90,91,2013-04-16 11:13:28,2013-04-16 11:13:35,7.6120903951347492,7.0
91,47,12.312943543289096,91,94,2013-04-16 11:13:35,2013-04-16 11:13:43,5.8439602149331611,8.0
92,50,21.159120614380072,91,94,2013-04-16 11:13:35,2013-04-16 11:13:43,5.8439602149331611,8.0
93,53,13.279617561796124,91,94,2013-04-16 11:13:35,2013-04-16 11:13:43,5.8439602149331611,8.0
94,53,0.0,94,95,2013-04-16 11:13:43,2013-04-16 11:13:52,0,9.0
95,53,0.0,95,96,2013-04-16 11:13:52,2013-04-16 11:13:59,0,7.0
96,53,0.0,96,97,2013-04-16 11:13:59,2013-04-16 11:14:07,0,8.0
97,53,0.0,97,98,2013-04-16 11:14:07,2013-04-16 11:14:15,0,8.0
98,53,0.0,98,99,2013-04-16 11:14:15,2013-04-16 11:14:24,0,9.0
99,53,0.0,99,100,2013-04-16 11:14:24,2013-04-16 11:14:31,0,7.0
100,53,0.0,100,101,2013-04-16 11:14:31,2013-04-16 11:14:39,0,8.0
101,53,0.0,101,102,2013-04-16 11:14:39,2013-04-16 11:14:47,0,8.0
102,53,0.0,102,103,2013-04-16 11:14:47,2013-04-16 11:14:56,0,9.0
103,53,3.541248512945131,103,107,2013-04-16 11:14:56,2013-04-16 11:15:03,14.216007582450105,7.0
104,54,4.571992314594792,103,107,2013-04-16 11:14:56,2013-04-16 11:15:03,14.216007582450105,7.0
105,55,40.70688476382127,103,107,2013-04-16 11:14:56,2013-04-16 11:15:03,14.216007582450105,7.0
106,60,50.69192748578955,103,107,2013-04-16 11:14:56,2013-04-16 11:15:03,14.216007582450105,7.0
107,60,2.7299606864336847,107,109,2013-04-16 11:15:03,2013-04-16 11:15:11,8.7775557928509595,8.0
108,65,67.49048565637399,107,109,2013-04-16 11:15:03,2013-04-16 11:15:11,8.7775557928509595,8.0
109,65,31.921821129928087,109,110,2013-04-16 11:15:11,2013-04-16 11:15:20,3.5468690144364543,9.0
110,65,8.02130519565381,110,112,2013-04-16 11:15:20,2013-04-16 11:15:28,5.7972994738222035,8.0
111,81,38.35709059492382,110,112,2013-04-16 11:15:20,2013-04-16 11:15:28,5.7972994738222035,8.0
112,81,48.20258993711424,112,113,2013-04-16 11:15:28,2013-04-16 11:15:35,6.8860842767306059,7.0
113,81,27.16500782935245,113,115,2013-04-16 11:15:35,2013-04-16 11:15:43,6.3627492017188274,8.0
114,80,23.73698578439817,113,115,2013-04-16 11:15:35,2013-04-16 11:15:43,6.3627492017188274,8.0
115,80,11.271905366901546,115,117,2013-04-16 11:15:43,2013-04-16 11:15:52,5.3609923253595912,9.0
116,73,36.97702556133477,115,117,2013-04-16 11:15:43,2013-04-16 11:15:52,5.3609923253595912,9.0
117,73,12.8051439824155,117,119,2013-04-16 11:15:52,2013-04-16 11:16:00,3.4151349739531298,8.0
118,92,14.51593580920954,117,119,2013-04-16 11:15:52,2013-04-16 11:16:00,3.4151349739531298,8.0
119,92,121.947717759049,119,121,2013-04-16 11:16:00,2013-04-16 11:16:23,6.6377331914203781,23.0
120,99,30.72014564361969,119,121,2013-04-16 11:16:00,2013-04-16 11:16:23,6.6377331914203781,23.0
121,99,21.112718190351067,121,123,2013-04-16 11:16:23,2013-04-16 11:16:32,10.871350471157752,9.0
122,98,76.7294360500687,121,123,2013-04-16 11:16:23,2013-04-16 11:16:32,10.871350471157752,9.0
123,98,69.9928731203455,123,125,2013-04-16 11:16:32,2013-04-16 11:16:39,11.311525033682051,7.0
124,96,9.187802115428868,123,125,2013-04-16 11:16:32,2013-04-16 11:16:39,11.311525033682051,7.0
125,96,109.30812818560972,125,126,2013-04-16 11:16:39,2013-04-16 11:16:47,13.663516023201215,8.0
126,96,111.27000748399858,126,128,2013-04-16 11:16:47,2013-04-16 11:16:56,12.610531072706033,9.0
127,75,2.2247721703557204,126,128,2013-04-16 11:16:47,2013-04-16 11:16:56,12.610531072706033,9.0
128,75,95.3134243896501,128,129,2013-04-16 11:16:56,2013-04-16 11:17:04,11.914178048706262,8.0
129,75,46.19813600558897,129,130,2013-04-16 11:17:04,2013-04-16 11:17:11,6.5997337150841391,7.0
130,75,5.801164641030809,130,131,2013-04-16 11:17:11,2013-04-16 11:17:19,0.72514558012885111,8.0
131,75,8.038564811926205,131,133,2013-04-16 11:17:19,2013-04-16 11:17:27,6.1642192005356415,8.0
