,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,77,5.028321166749381,0,2,2013-03-27 16:01:43,2013-03-27 16:01:54,5.8631257422238345,11.0
1,65,59.46606199771279,0,2,2013-03-27 16:01:43,2013-03-27 16:01:54,5.8631257422238345,11.0
2,65,47.9675499842431,2,4,2013-03-27 16:01:54,2013-03-27 16:02:04,7.6099352777197806,10.0
3,60,28.131802792954712,2,4,2013-03-27 16:01:54,2013-03-27 16:02:04,7.6099352777197806,10.0
4,60,20.270436305040885,4,5,2013-03-27 16:02:04,2013-03-27 16:02:18,1.4478883075029203,14.0
5,60,5.019649074227634,5,7,2013-03-27 16:02:18,2013-03-27 16:02:29,3.1131320472553967,11.0
6,55,29.22480344558173,5,7,2013-03-27 16:02:18,2013-03-27 16:02:29,3.1131320472553967,11.0
7,55,0.0,7,8,2013-03-27 16:02:29,2013-03-27 16:02:39,0,10.0
8,55,0.0,8,9,2013-03-27 16:02:39,2013-03-27 16:02:53,0,14.0
9,55,0.0,9,10,2013-03-27 16:02:53,2013-03-27 16:03:04,0,11.0
10,55,0.0,10,11,2013-03-27 16:03:04,2013-03-27 16:03:14,0,10.0
11,55,0.0,11,12,2013-03-27 16:03:14,2013-03-27 16:03:28,0,14.0
12,55,0.0,12,13,2013-03-27 16:03:28,2013-03-27 16:03:39,0,11.0
13,55,11.48208131823953,13,18,2013-03-27 16:03:39,2013-03-27 16:03:49,12.950204636770025,10.0
14,54,4.571992314594792,13,18,2013-03-27 16:03:39,2013-03-27 16:03:49,12.950204636770025,10.0
15,53,16.820866074741257,13,18,2013-03-27 16:03:39,2013-03-27 16:03:49,12.950204636770025,10.0
16,50,21.159120614380072,13,18,2013-03-27 16:03:39,2013-03-27 16:03:49,12.950204636770025,10.0
17,47,75.4679860457446,13,18,2013-03-27 16:03:39,2013-03-27 16:03:49,12.950204636770025,10.0
18,47,24.181311570020355,18,19,2013-03-27 16:03:49,2013-03-27 16:04:00,2.1983010518200321,11.0
19,47,0.0,19,20,2013-03-27 16:04:00,2013-03-27 16:04:10,0,10.0
20,47,0.0,20,21,2013-03-27 16:04:10,2013-03-27 16:04:20,0,10.0
21,47,0.0,21,22,2013-03-27 16:04:20,2013-03-27 16:04:31,0,11.0
22,47,15.53195131955538,22,25,2013-03-27 16:04:31,2013-03-27 16:04:41,13.013790605439317,10.0
23,39,69.66982264264902,22,25,2013-03-27 16:04:31,2013-03-27 16:04:41,13.013790605439317,10.0
24,37,44.93613209218878,22,25,2013-03-27 16:04:31,2013-03-27 16:04:41,13.013790605439317,10.0
