,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,33,0.0,0,1,2013-04-18 20:35:15,2013-04-18 20:35:24,0,9.0
1,33,0.0,1,2,2013-04-18 20:35:24,2013-04-18 20:35:31,0,7.0
2,33,0.0,2,3,2013-04-18 20:35:31,2013-04-18 20:35:38,0,7.0
3,33,0.0,3,4,2013-04-18 20:35:38,2013-04-18 20:35:47,0,9.0
4,33,0.0,4,5,2013-04-18 20:35:47,2013-04-18 20:35:56,0,9.0
5,33,0.0,5,6,2013-04-18 20:35:56,2013-04-18 20:36:04,0,8.0
6,33,16.062551566671466,6,9,2013-04-18 20:36:04,2013-04-18 20:36:13,14.725317868861014,9.0
7,36,30.64228545413416,6,9,2013-04-18 20:36:04,2013-04-18 20:36:13,14.725317868861014,9.0
8,44,85.8230237989435,6,9,2013-04-18 20:36:04,2013-04-18 20:36:13,14.725317868861014,9.0
9,44,32.02370299898851,9,11,2013-04-18 20:36:13,2013-04-18 20:36:20,9.0295714135217171,7.0
10,49,31.18329689566351,9,11,2013-04-18 20:36:13,2013-04-18 20:36:20,9.0295714135217171,7.0
11,49,17.30188464435399,11,13,2013-04-18 20:36:20,2013-04-18 20:36:27,2.4716978063362842,7.0
12,56,0.0,11,13,2013-04-18 20:36:20,2013-04-18 20:36:27,0,7.0
13,56,0.0,13,15,2013-04-18 20:36:27,2013-04-18 20:36:36,0,9.0
14,48,8.69859463075996,13,15,2013-04-18 20:36:27,2013-04-18 20:36:36,0.96651051452888437,9.0
15,48,8.69859463075996,15,17,2013-04-18 20:36:36,2013-04-18 20:36:44,11.802340034999526,8.0
16,56,85.72012564923625,15,17,2013-04-18 20:36:36,2013-04-18 20:36:44,11.802340034999526,8.0
17,56,0.0,17,18,2013-04-18 20:36:44,2013-04-18 20:36:52,0,8.0
18,56,0.0,18,19,2013-04-18 20:36:52,2013-04-18 20:37:00,0,8.0
19,56,0.0,19,20,2013-04-18 20:37:00,2013-04-18 20:37:08,0,8.0
20,56,0.0,20,21,2013-04-18 20:37:08,2013-04-18 20:37:16,0,8.0
21,56,0.0,21,22,2013-04-18 20:37:16,2013-04-18 20:37:25,0,9.0
22,56,0.0,22,23,2013-04-18 20:37:25,2013-04-18 20:37:32,0,7.0
23,56,0.0,23,24,2013-04-18 20:37:32,2013-04-18 20:37:40,0,8.0
24,56,1.9257104054663896,24,27,2013-04-18 20:37:40,2013-04-18 20:37:49,13.74986767386857,9.0
25,62,63.805045486109,24,27,2013-04-18 20:37:40,2013-04-18 20:37:49,13.74986767386857,9.0
26,86,58.01805317324173,24,27,2013-04-18 20:37:40,2013-04-18 20:37:49,13.74986767386857,9.0
27,86,83.8921874303703,27,28,2013-04-18 20:37:49,2013-04-18 20:37:57,10.486523428796287,8.0
28,86,15.90125322798741,28,30,2013-04-18 20:37:57,2013-04-18 20:38:06,5.8659125591529087,9.0
29,88,36.89195980438877,28,30,2013-04-18 20:37:57,2013-04-18 20:38:06,5.8659125591529087,9.0
30,88,3.1391757092471053,30,31,2013-04-18 20:38:06,2013-04-18 20:38:14,0.39239696365588816,8.0
31,88,0.0,31,32,2013-04-18 20:38:14,2013-04-18 20:38:22,0,8.0
32,88,0.0,32,33,2013-04-18 20:38:22,2013-04-18 20:38:27,0,5.0
33,88,0.0,33,34,2013-04-18 20:38:27,2013-04-18 20:38:39,0,12.0
34,88,0.0,34,35,2013-04-18 20:38:39,2013-04-18 20:38:47,0,8.0
35,88,0.0,35,36,2013-04-18 20:38:47,2013-04-18 20:38:55,0,8.0
36,88,0.0,36,37,2013-04-18 20:38:55,2013-04-18 20:39:04,0,9.0
37,88,0.0,37,38,2013-04-18 20:39:04,2013-04-18 20:39:12,0,8.0
38,88,0.0,38,39,2013-04-18 20:39:12,2013-04-18 20:39:20,0,8.0
39,88,11.267997149840989,39,41,2013-04-18 20:39:20,2013-04-18 20:39:28,13.776505030505787,8.0
40,101,98.9440430942053,39,41,2013-04-18 20:39:20,2013-04-18 20:39:28,13.776505030505787,8.0
41,101,21.27371017173786,41,43,2013-04-18 20:39:28,2013-04-18 20:39:36,4.6178684404120105,8.0
42,103,15.669237351558227,41,43,2013-04-18 20:39:28,2013-04-18 20:39:36,4.6178684404120105,8.0
43,103,0.0,43,44,2013-04-18 20:39:36,2013-04-18 20:39:44,0,8.0
44,103,3.805407167779451,44,46,2013-04-18 20:39:44,2013-04-18 20:39:53,3.2579138974340598,9.0
45,114,25.515817909127087,44,46,2013-04-18 20:39:44,2013-04-18 20:39:53,3.2579138974340598,9.0
46,114,0.0,46,47,2013-04-18 20:39:53,2013-04-18 20:40:00,0,7.0
47,114,0.0,47,48,2013-04-18 20:40:00,2013-04-18 20:40:08,0,8.0
48,114,0.0,48,49,2013-04-18 20:40:08,2013-04-18 20:40:16,0,8.0
49,114,0.0,49,50,2013-04-18 20:40:16,2013-04-18 20:40:24,0,8.0
50,114,0.0,50,51,2013-04-18 20:40:24,2013-04-18 20:40:32,0,8.0
51,114,0.0,51,52,2013-04-18 20:40:32,2013-04-18 20:40:40,0,8.0
52,114,0.0,52,53,2013-04-18 20:40:40,2013-04-18 20:40:48,0,8.0
53,114,0.0,53,54,2013-04-18 20:40:48,2013-04-18 20:40:57,0,9.0
54,114,114.92694014358749,54,55,2013-04-18 20:40:57,2013-04-18 20:41:06,12.769660015954166,9.0
55,114,0.0,55,56,2013-04-18 20:41:06,2013-04-18 20:41:13,0,7.0
56,114,0.0,56,57,2013-04-18 20:41:13,2013-04-18 20:41:21,0,8.0
57,114,0.0,57,58,2013-04-18 20:41:21,2013-04-18 20:41:29,0,8.0
58,114,0.0,58,59,2013-04-18 20:41:29,2013-04-18 20:41:37,0,8.0
59,114,0.0,59,60,2013-04-18 20:41:37,2013-04-18 20:41:46,0,9.0
60,114,0.0,60,61,2013-04-18 20:41:46,2013-04-18 20:41:53,0,7.0
61,114,0.0,61,62,2013-04-18 20:41:53,2013-04-18 20:42:01,0,8.0
62,114,0.0,62,63,2013-04-18 20:42:01,2013-04-18 20:42:10,0,9.0
