,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,125,4.754638908701673,0,4,2013-04-18 11:20:16,2013-04-18 11:20:24,24.382313889672229,8.0
1,114,148.83072804735247,0,4,2013-04-18 11:20:16,2013-04-18 11:20:24,24.382313889672229,8.0
2,103,19.47464451933768,0,4,2013-04-18 11:20:16,2013-04-18 11:20:24,24.382313889672229,8.0
3,101,21.99849964198601,0,4,2013-04-18 11:20:16,2013-04-18 11:20:24,24.382313889672229,8.0
4,101,0.0,4,5,2013-04-18 11:20:24,2013-04-18 11:20:33,0,9.0
5,101,0.0,5,6,2013-04-18 11:20:33,2013-04-18 11:20:40,0,7.0
6,101,0.0,6,7,2013-04-18 11:20:40,2013-04-18 11:20:48,0,8.0
7,101,0.0,7,8,2013-04-18 11:20:48,2013-04-18 11:20:56,0,8.0
8,101,0.0,8,9,2013-04-18 11:20:56,2013-04-18 11:21:01,0,5.0
9,101,0.0,9,10,2013-04-18 11:21:01,2013-04-18 11:21:04,0,3.0
10,101,94.54154662220402,10,11,2013-04-18 11:21:04,2013-04-18 11:21:12,11.817693327775503,8.0
11,101,3.67770700175313,11,14,2013-04-18 11:21:12,2013-04-18 11:21:20,11.334590690448335,8.0
12,88,45.02078124498265,11,14,2013-04-18 11:21:12,2013-04-18 11:21:20,11.334590690448335,8.0
13,86,41.978237276850905,11,14,2013-04-18 11:21:12,2013-04-18 11:21:20,11.334590690448335,8.0
14,86,68.01484164582598,14,15,2013-04-18 11:21:20,2013-04-18 11:21:28,8.5018552057282477,8.0
15,86,47.81841490892253,15,17,2013-04-18 11:21:28,2013-04-18 11:21:36,10.39008152450528,8.0
16,62,35.302237287119716,15,17,2013-04-18 11:21:28,2013-04-18 11:21:36,10.39008152450528,8.0
17,62,28.502808198989293,17,19,2013-04-18 11:21:36,2013-04-18 11:21:44,7.5743045762089825,8.0
18,56,32.09162841068257,17,19,2013-04-18 11:21:36,2013-04-18 11:21:44,7.5743045762089825,8.0
19,56,1.381002071448158,19,20,2013-04-18 11:21:44,2013-04-18 11:21:52,0.17262525893101974,8.0
20,56,19.765295823550595,20,21,2013-04-18 11:21:52,2013-04-18 11:22:01,2.1961439803945106,9.0
21,56,34.40790974902132,21,23,2013-04-18 11:22:01,2013-04-18 11:22:08,8.0730980348136807,7.0
22,49,22.103776494674438,21,23,2013-04-18 11:22:01,2013-04-18 11:22:08,8.0730980348136807,7.0
23,49,26.38140504534305,23,25,2013-04-18 11:22:08,2013-04-18 11:22:16,14.364585006117757,8.0
24,44,88.53527500359901,23,25,2013-04-18 11:22:08,2013-04-18 11:22:16,14.364585006117757,8.0
25,44,0.0,25,26,2013-04-18 11:22:16,2013-04-18 11:22:24,0,8.0
26,44,0.0,26,27,2013-04-18 11:22:24,2013-04-18 11:22:32,0,8.0
27,44,0.0,27,28,2013-04-18 11:22:32,2013-04-18 11:22:40,0,8.0
28,44,0.0,28,29,2013-04-18 11:22:40,2013-04-18 11:22:49,0,9.0
29,44,29.311451794333,29,32,2013-04-18 11:22:49,2013-04-18 11:22:57,14.831541332115133,8.0
30,36,30.64228545413416,29,32,2013-04-18 11:22:49,2013-04-18 11:22:57,14.831541332115133,8.0
31,33,58.6985934084539,29,32,2013-04-18 11:22:49,2013-04-18 11:22:57,14.831541332115133,8.0
32,33,78.11753696209959,32,33,2013-04-18 11:22:57,2013-04-18 11:23:06,8.6797263291221771,9.0
33,33,20.055516292649614,33,35,2013-04-18 11:23:06,2013-04-18 11:23:13,9.3573556383555729,7.0
34,22,45.445973175839406,33,35,2013-04-18 11:23:06,2013-04-18 11:23:13,9.3573556383555729,7.0
35,22,0.0,35,36,2013-04-18 11:23:13,2013-04-18 11:23:22,0,9.0
36,22,0.0,36,37,2013-04-18 11:23:22,2013-04-18 11:23:31,0,9.0
37,22,0.0,37,38,2013-04-18 11:23:31,2013-04-18 11:23:38,0,7.0
38,22,0.0,38,39,2013-04-18 11:23:38,2013-04-18 11:23:47,0,9.0
39,22,29.94423353815835,39,42,2013-04-18 11:23:47,2013-04-18 11:23:54,11.078909690539957,7.0
40,18,20.087352318222926,39,42,2013-04-18 11:23:47,2013-04-18 11:23:54,11.078909690539957,7.0
41,13,27.52078197739843,39,42,2013-04-18 11:23:47,2013-04-18 11:23:54,11.078909690539957,7.0
42,13,14.176445101545255,42,43,2013-04-18 11:23:54,2013-04-18 11:24:02,1.7720556376931569,8.0
43,13,18.04035950017281,43,44,2013-04-18 11:24:02,2013-04-18 11:24:10,2.2550449375216011,8.0
44,13,39.310801824505724,44,45,2013-04-18 11:24:10,2013-04-18 11:24:18,4.9138502280632155,8.0
45,13,16.107574645037054,45,46,2013-04-18 11:24:18,2013-04-18 11:24:26,2.0134468306296318,8.0
46,13,14.293774359442473,46,47,2013-04-18 11:24:26,2013-04-18 11:24:35,1.5881971510491637,9.0
47,13,29.066628698489552,47,49,2013-04-18 11:24:35,2013-04-18 11:24:41,5.1168650436798604,6.0
48,11,1.6345615635896094,47,49,2013-04-18 11:24:35,2013-04-18 11:24:41,5.1168650436798604,6.0
49,11,3.4111607505932886,49,52,2013-04-18 11:24:41,2013-04-18 11:24:50,8.9020607518749255,9.0
50,10,34.549815393744986,49,52,2013-04-18 11:24:41,2013-04-18 11:24:50,8.9020607518749255,9.0
51,8,42.157570622536056,49,52,2013-04-18 11:24:41,2013-04-18 11:24:50,8.9020607518749255,9.0
52,8,82.7761109879033,52,54,2013-04-18 11:24:50,2013-04-18 11:24:59,12.349741284399988,9.0
53,6,28.37156057169659,52,54,2013-04-18 11:24:50,2013-04-18 11:24:59,12.349741284399988,9.0
54,6,95.71583708069294,54,55,2013-04-18 11:24:59,2013-04-18 11:25:07,11.964479635086617,8.0
55,6,62.61902079759649,55,56,2013-04-18 11:25:07,2013-04-18 11:25:15,7.8273775996995614,8.0
56,6,0.0,56,59,2013-04-18 11:25:15,2013-04-18 11:25:24,0,9.0
57,1,46.61838460674224,56,59,2013-04-18 11:25:15,2013-04-18 11:25:24,6.9249001748172576,9.0
58,0,15.705716966613085,56,59,2013-04-18 11:25:15,2013-04-18 11:25:24,6.9249001748172576,9.0
59,0,38.96458823397024,59,60,2013-04-18 11:25:24,2013-04-18 11:25:31,5.5663697477100342,7.0
60,0,24.35040131655027,60,61,2013-04-18 11:25:31,2013-04-18 11:25:36,4.8700802633100535,5.0
61,0,27.544538298921108,61,62,2013-04-18 11:25:36,2013-04-18 11:25:48,2.2953781915767588,12.0
62,0,0.07591508618719445,62,64,2013-04-18 11:25:48,2013-04-18 11:25:56,3.4585452485248682,8.0
