,road_id,length,ts_idx_prev,ts_idx_next,ts_prev,ts_next,speed_mps,ts_delta_sec
0,80,0.0,0,1,2013-04-09 11:15:31,2013-04-09 11:15:37,0,6.0
1,80,0.0,1,2,2013-04-09 11:15:37,2013-04-09 11:15:47,0,10.0
2,80,0.0,2,3,2013-04-09 11:15:47,2013-04-09 11:15:55,0,8.0
3,80,0.0,3,4,2013-04-09 11:15:55,2013-04-09 11:16:03,0,8.0
4,80,0.0,4,5,2013-04-09 11:16:03,2013-04-09 11:16:11,0,8.0
5,80,0.0,5,6,2013-04-09 11:16:11,2013-04-09 11:16:19,0,8.0
6,80,0.0,6,7,2013-04-09 11:16:19,2013-04-09 11:16:28,0,9.0
7,80,0.0,7,8,2013-04-09 11:16:28,2013-04-09 11:16:36,0,8.0
8,80,34.48119426312624,8,10,2013-04-09 11:16:36,2013-04-09 11:16:43,11.536537310897383,7.0
9,81,46.27456691315543,8,10,2013-04-09 11:16:36,2013-04-09 11:16:43,11.536537310897383,7.0
10,81,42.86766688662326,10,11,2013-04-09 11:16:43,2013-04-09 11:16:52,4.7630740985136955,9.0
11,81,17.311005459113403,11,12,2013-04-09 11:16:52,2013-04-09 11:17:00,2.1638756823891754,8.0
12,81,7.271449102498415,12,14,2013-04-09 11:17:00,2013-04-09 11:17:08,5.6863108708611136,8.0
13,77,38.219037864390494,12,14,2013-04-09 11:17:00,2013-04-09 11:17:08,5.6863108708611136,8.0
14,77,55.98165440907522,14,18,2013-04-09 11:17:08,2013-04-09 11:17:16,10.70379526183493,8.0
15,79,7.600636519212181,14,18,2013-04-09 11:17:08,2013-04-09 11:17:16,10.70379526183493,8.0
16,85,12.493472341092213,14,18,2013-04-09 11:17:08,2013-04-09 11:17:16,10.70379526183493,8.0
17,87,9.55459882529984,14,18,2013-04-09 11:17:08,2013-04-09 11:17:16,10.70379526183493,8.0
18,87,0.0,18,19,2013-04-09 11:17:16,2013-04-09 11:17:24,0,8.0
19,87,0.0,19,20,2013-04-09 11:17:24,2013-04-09 11:17:32,0,8.0
