,easting,northing,timestamp,node_id
0,728200.323306916,4632770.057460681,2013-03-27 16:09:54,-1
1,728101.5996920392,4632907.706479413,0,141
2,728101.0273844395,4632908.687724283,0,142
3,728034.1653009793,4633079.28249721,0,150
4,728016.4896796031,4633137.506373089,2013-03-27 16:10:26,-1
5,728014.6482978612,4633143.571924036,0,158
6,727995.8607604466,4633148.640090805,0,159
7,727893.8094297154,4633118.257010952,0,157
8,727847.9065133232,4633100.416583734,2013-03-27 16:10:58,-1
9,727847.9065133232,4633100.416583734,2013-03-27 16:11:30,-1
10,727847.9065133232,4633100.416583734,2013-03-27 16:12:02,-1
11,727847.9065133232,4633100.416583734,2013-03-27 16:12:34,-1
12,727847.7011662098,4633100.33677442,0,152
13,727804.9283113144,4633081.626943026,0,151
14,727867.8202295371,4632945.240540169,2013-03-27 16:12:59,-1
15,727884.8839327889,4632913.561497867,0,143
16,727979.231412272,4632802.644758685,0,136
17,728010.0657907452,4632776.790808143,2013-03-27 16:13:31,-1
18,728032.71061219,4632760.671161955,0,131
19,728088.5650680333,4632714.327627289,2013-03-27 16:14:04,-1
20,728088.5650680333,4632714.327627289,2013-03-27 16:14:37,-1
21,728088.5650680333,4632714.327627289,2013-03-27 16:15:09,-1
22,728094.3459866298,4632708.548969656,0,127
23,728126.2493309984,4632677.56376115,0,126
24,728194.5227626828,4632685.341191204,2013-03-27 16:15:41,-1
25,728240.6765748365,4632726.974268274,0,128
26,728278.8530166238,4632686.616886369,2013-03-27 16:16:13,-1
27,728384.4201326584,4632590.299336024,0,123
28,728444.1319174189,4632530.410080707,0,119
29,728447.1964469431,4632526.113857899,2013-03-27 16:16:45,-1
30,728447.1964469431,4632526.113857899,2013-03-27 16:17:17,-1
31,728457.8832124146,4632511.287469884,0,118
32,728521.0369477859,4632419.27447721,0,110
33,728573.0567331191,4632344.916994572,2013-03-27 16:17:48,-1
34,728604.7917315736,4632296.270615568,0,99
35,728615.4323211499,4632279.959894167,0,97
36,728623.6224105003,4632267.40562597,2013-03-27 16:18:21,-1
37,728680.2630826859,4632178.727404296,0,86
38,728704.1888070414,4632140.5905886125,0,84
