,easting,northing,timestamp,node_id
0,726868.5108519451,4631746.259189386,2013-04-11 12:31:21,-1
1,726942.5518265516,4631822.7938673105,0,41
2,726984.6210093263,4631866.87368943,2013-04-11 12:31:54,-1
3,726984.6210093263,4631866.87368943,2013-04-11 12:32:26,-1
4,726984.6210093263,4631866.87368943,2013-04-11 12:32:57,-1
5,727189.6187861804,4632034.731895082,0,64
6,727317.9367674757,4632126.187100992,0,76
7,727518.1855974123,4632235.718039051,0,93
8,727650.1182341252,4632264.349475907,2013-04-11 12:33:29,-1
9,727661.4619096294,4632267.187655034,0,95
10,727704.5252371915,4632283.234221172,0,98
11,727730.9223290039,4632297.74862613,0,100
12,727776.5342946097,4632330.27473317,2013-04-11 12:34:00,-1
13,727802.9782408979,4632351.179509733,0,106
14,727904.1882549673,4632405.653728927,0,109
15,727908.366432185,4632407.549886385,2013-04-11 12:34:35,-1
16,728093.7213263627,4632481.613177547,2013-04-11 12:34:58,-1
17,728291.6025225993,4632484.251072526,2013-04-11 12:35:30,-1
18,728330.465525033,4632480.753269473,0,114
19,728380.6059180144,4632487.69534809,0,116
20,728444.6012694811,4632505.9302911805,2013-04-11 12:36:02,-1
21,728444.6012694811,4632505.9302911805,2013-04-11 12:36:34,-1
22,728444.6012694811,4632505.9302911805,2013-04-11 12:37:06,-1
23,728457.8832124146,4632511.287469884,0,118
24,728521.0369477859,4632419.27447721,0,110
25,728564.403113933,4632357.331838987,2013-04-11 12:37:38,-1
26,728564.403113933,4632357.331838987,2013-04-11 12:38:10,-1
27,728564.403113933,4632357.331838987,2013-04-11 12:38:43,-1
28,728564.403113933,4632357.331838987,2013-04-11 12:39:15,-1
29,728604.7917315736,4632296.270615568,0,99
30,728615.4323211499,4632279.959894167,0,97
31,728680.2630826859,4632178.727404296,0,86
32,728704.1888070414,4632140.5905886125,0,84
33,728790.5880432073,4632008.531362718,0,63
34,728825.3748999406,4631955.043469166,0,56
35,728873.1673577782,4631881.574673016,0,49
36,728762.6295774309,4631843.016164694,0,50
37,728673.9248026721,4631880.189865821,2013-04-11 12:39:47,-1
38,728633.5385800088,4631908.460396009,0,52
39,728579.9923637044,4631860.566779733,0,45
40,728555.4183831265,4631838.671255833,2013-04-11 12:40:19,-1
41,728544.1972221239,4631828.679746408,0,42
42,728481.1384234717,4631771.503874317,0,39
43,728467.5288718608,4631759.12421915,2013-04-11 12:40:50,-1
44,728418.447135644,4631714.499849314,0,33
45,728414.5658626398,4631711.040997909,0,32
46,728365.6131715827,4631667.07431506,2013-04-11 12:41:24,-1
47,728333.8954550202,4631638.653916899,2013-04-11 12:41:52,-1
48,728318.3565299828,4631624.819116835,0,25
49,728284.9363738121,4631663.342794701,0,26
50,728249.9793428499,4631703.570101639,0,29
51,728224.6153150843,4631732.758495703,0,36
52,728223.7673053351,4631733.734377831,2013-04-11 12:42:19,-1
53,728201.7488656221,4631759.073003748,2013-04-11 12:42:43,-1
54,728171.3061258662,4631794.180820486,0,40
55,728095.4574558064,4631880.862325015,0,48
56,728089.2755824316,4631887.935957308,2013-04-11 12:43:16,-1
57,728081.5337174479,4631896.7946159765,0,51
58,728070.4692057241,4631909.46419039,0,53
59,728067.4618237438,4631912.907846492,0,54
60,728061.4710384985,4631919.772642875,2013-04-11 12:43:32,-1
61,728040.728517388,4631943.606029237,0,55
62,728005.7003876325,4631983.94122803,0,61
63,727979.7532986794,4632013.82001203,2013-04-11 12:44:05,-1
64,727935.2773578018,4632065.074309647,0,65
65,727856.5903117831,4632132.10656132,2013-04-11 12:44:37,-1
66,727849.4129105425,4632132.246565968,0,80
67,727815.8044348685,4632124.043413933,0,74
68,727801.0922443802,4632119.994925453,2013-04-11 12:45:09,-1
69,727801.0922443802,4632119.994925453,2013-04-11 12:45:40,-1
70,727801.0922443802,4632119.994925453,2013-04-11 12:46:12,-1
71,727801.0922443802,4632119.994925453,2013-04-11 12:46:45,-1
72,727767.0900048222,4632120.836734956,0,73
73,727706.210819495,4632167.507101047,2013-04-11 12:47:17,-1
74,727677.4214841528,4632217.900641248,0,89
75,727671.5203799808,4632238.011349712,2013-04-11 12:47:49,-1
76,727661.4619096294,4632267.187655034,0,95
77,727518.1855974123,4632235.718039051,0,93
78,727441.8239273631,4632206.477897155,2013-04-11 12:48:22,-1
79,727317.9367674757,4632126.187100992,0,76
80,727208.731749745,4632048.475367443,2013-04-11 12:48:54,-1
81,727189.6187861804,4632034.731895082,0,64
82,727092.4953339964,4631968.973997292,2013-04-11 12:49:26,-1
83,726942.5518265516,4631822.7938673105,0,41
84,726846.6154333781,4631724.930683792,0,35
85,726826.2756694909,4631705.499430152,0,30
86,726804.3208405178,4631685.743774127,2013-04-11 12:49:58,-1
87,726685.8531262036,4631599.444357999,2013-04-11 12:50:30,-1
88,726685.8531262036,4631599.444357999,2013-04-11 12:51:02,-1
89,726826.2756694909,4631705.499430152,0,30
90,726846.6154333781,4631724.930683792,0,35
91,726941.8741022872,4631822.121056155,2013-04-11 12:51:34,-1
92,726942.5518265516,4631822.7938673105,0,41
93,727169.0106001418,4632021.002284489,2013-04-11 12:52:06,-1
94,727189.6187861804,4632034.731895082,0,64
95,727048.1953952857,4632128.917417668,2013-04-11 12:52:30,-1
96,726563.7767530743,4632436.953815185,2013-04-11 12:53:34,-1
97,726563.7767530743,4632436.953815185,2013-04-11 12:54:06,-1
98,726476.7471558265,4632538.38077754,0,120
99,726475.6063899212,4632539.998494856,0,121
100,726446.4651989108,4632588.313339565,0,122
101,726289.599219651,4632785.639860209,0,134
102,726287.580718046,4632786.788826514,0,135
103,726169.188016112,4632872.843706684,0,140
104,726104.6709031842,4632896.531723988,2013-04-11 12:54:38,-1
105,725961.3840906247,4632945.218032422,0,144
106,725916.0414234586,4632960.632804431,0,145
107,725735.5861491434,4633022.917680938,2013-04-11 12:55:10,-1
