,easting,northing,timestamp,node_id
0,727714.3461803388,4632288.553213984,2013-04-16 11:05:17,-1
1,727714.3461803388,4632288.553213984,2013-04-16 11:05:49,-1
2,727714.3461803388,4632288.553213984,2013-04-16 11:06:21,-1
3,727714.3461803388,4632288.553213984,2013-04-16 11:06:53,-1
4,727730.9223290039,4632297.74862613,0,100
5,727802.9782408979,4632351.179509733,0,106
6,727904.1882549673,4632405.653728927,0,109
7,728244.8452237027,4632494.035562092,2013-04-16 11:07:25,-1
8,728244.8452237027,4632494.035562092,2013-04-16 11:07:57,-1
9,728244.8452237027,4632494.035562092,2013-04-16 11:08:30,-1
10,728330.465525033,4632480.753269473,0,114
11,728380.6059180144,4632487.69534809,0,116
12,728457.8832124146,4632511.287469884,0,118
13,728485.0146453729,4632471.829923836,2013-04-16 11:09:02,-1
14,728521.0369477859,4632419.27447721,0,110
15,728571.0285221325,4632347.891070464,2013-04-16 11:09:34,-1
16,728604.7917315736,4632296.270615568,0,99
17,728607.6252372176,4632291.9271982405,2013-04-16 11:10:06,-1
18,728615.4323211499,4632279.959894167,0,97
19,728680.2630826859,4632178.727404296,0,86
20,728704.1888070414,4632140.5905886125,0,84
21,728790.5880432073,4632008.531362718,0,63
22,728825.3748999406,4631955.043469166,0,56
23,728873.1673577782,4631881.574673016,0,49
24,728779.4642549409,4631842.331518364,2013-04-16 11:10:39,-1
25,728762.6295774309,4631843.016164694,0,50
26,728642.6190393259,4631902.435584695,2013-04-16 11:10:59,-1
27,728633.5385800088,4631908.460396009,0,52
28,728579.9923637044,4631860.566779733,0,45
29,728558.1130136718,4631841.070599937,2013-04-16 11:11:25,-1
30,728544.1972221239,4631828.679746408,0,42
31,728481.1384234717,4631771.503874317,0,39
32,728418.447135644,4631714.499849314,0,33
33,728414.5658626398,4631711.040997909,0,32
34,728401.7255999189,4631699.501063107,2013-04-16 11:11:59,-1
35,728318.3565299828,4631624.819116835,0,25
36,728284.9363738121,4631663.342794701,0,26
37,728258.1015143879,4631694.223395742,2013-04-16 11:12:31,-1
38,728249.9793428499,4631703.570101639,0,29
39,728224.6153150843,4631732.758495703,0,36
40,728208.4216696953,4631751.393999767,2013-04-16 11:13:03,-1
41,728171.3061258662,4631794.180820486,0,40
42,728138.6242411287,4631831.469302607,2013-04-16 11:13:28,-1
43,728095.4574558064,4631880.862325015,0,48
44,728081.5337174479,4631896.7946159765,0,51
45,728072.7985855261,4631906.79690136,2013-04-16 11:13:59,-1
46,728072.7985855261,4631906.79690136,2013-04-16 11:14:31,-1
47,728070.4692057241,4631909.46419039,0,53
48,728067.4618237438,4631912.907846492,0,54
49,728040.728517388,4631943.606029237,0,55
50,728007.4903920752,4631981.880022207,2013-04-16 11:15:03,-1
51,728005.7003876325,4631983.94122803,0,61
52,727935.2773578018,4632065.074309647,0,65
53,727875.7476085991,4632127.184140488,2013-04-16 11:15:35,-1
54,727849.4129105425,4632132.246565968,0,80
55,727815.8044348685,4632124.043413933,0,74
56,727767.0900048222,4632120.836734956,0,73
57,727677.4214841528,4632217.900641248,0,89
58,727661.4619096294,4632267.187655034,0,95
59,727518.1855974123,4632235.718039051,2013-04-16 11:16:39,-1
60,727518.1855974123,4632235.718039051,0,93
61,727317.9367674757,4632126.187100992,0,76
62,727200.8551789932,4632042.811597297,2013-04-16 11:17:11,-1
63,727189.6187861804,4632034.731895082,0,64
64,727122.103536064,4631990.569344767,2013-04-16 11:17:44,-1
65,727122.103536064,4631990.569344767,2013-04-16 11:18:16,-1
66,726942.5518265516,4631822.7938673105,0,41
67,726846.6154333781,4631724.930683792,0,35
68,726826.2756694909,4631705.499430152,0,30
69,726685.8531262036,4631599.444357999,2013-04-16 11:18:40,-1
70,726826.2756694909,4631705.499430152,0,30
71,726846.6154333781,4631724.930683792,0,35
72,726854.8941471559,4631732.703414148,2013-04-16 11:19:13,-1
73,726942.5518265516,4631822.7938673105,0,41
74,727110.5309189502,4631982.179067975,2013-04-16 11:19:45,-1
75,727189.6187861804,4632034.731895082,0,64
76,727140.3252305775,4632075.047989627,2013-04-16 11:20:09,-1
77,726476.7471558265,4632538.38077754,0,120
78,726475.6063899212,4632539.998494856,0,121
79,726446.4651989108,4632588.313339565,0,122
80,726289.599219651,4632785.639860209,0,134
81,726287.580718046,4632786.788826514,0,135
82,726169.188016112,4632872.843706684,0,140
83,726151.4030313544,4632880.334634114,2013-04-16 11:23:54,-1
84,726012.4819739006,4632927.884236257,2013-04-16 11:24:26,-1
85,726012.4819739006,4632927.884236257,2013-04-16 11:24:58,-1
86,726012.4819739006,4632927.884236257,2013-04-16 11:25:30,-1
87,726012.4819739006,4632927.884236257,2013-04-16 11:26:02,-1
88,726012.4819739006,4632927.884236257,2013-04-16 11:26:35,-1
89,725961.3840906247,4632945.218032422,0,144
90,725916.0414234586,4632960.632804431,0,145
91,725865.1344299264,4632977.374171303,2013-04-16 11:27:07,-1
92,725700.7304960741,4633035.400425816,0,148
93,725721.7056098226,4633105.6445050165,0,154
94,725743.61279142,4633146.035718135,2013-04-16 11:27:38,-1
95,725894.3304737279,4633431.664936002,2013-04-16 11:28:10,-1
96,725976.7996902689,4633512.421114316,0,163
97,725977.0630058944,4633514.992326621,0,164
98,725977.9049082072,4633578.193723352,2013-04-16 11:28:39,-1
99,726008.4390609311,4633676.260054164,0,165
100,725833.728543783,4633615.446742099,2013-04-16 11:29:15,-1
101,725491.5438263956,4633439.928695295,0,162
102,725396.8752380656,4633407.369826293,0,161
103,725385.6763555063,4633402.889332131,2013-04-16 11:29:47,-1
104,725216.4680115134,4633309.526479639,0,160
105,724984.4454243893,4633064.359137969,2013-04-16 11:30:19,-1
106,724945.2539824713,4633006.308413826,0,147
107,724702.7307462229,4632650.202903781,2013-04-16 11:30:51,-1
108,724663.5897541773,4632590.623597024,0,124
109,724592.4215080189,4632483.4245547,0,115
110,724483.1348884702,4632318.42686764,0,103
111,724482.5949015496,4632317.611624362,0,102
112,724325.9055233315,4632082.540463527,2013-04-16 11:31:39,-1
113,724323.8752065124,4632078.939208444,0,67
114,724321.6679559294,4632075.024204837,0,66
115,724446.5659567498,4631982.6640733825,2013-04-16 11:32:30,-1
116,724539.7263689227,4631876.258334426,0,46
