,easting,northing,timestamp,node_id
0,728068.1002847448,4631912.1767653935,2013-03-26 11:01:46,-1
1,728070.4692057241,4631909.46419039,0,53
2,728081.5337174479,4631896.7946159765,0,51
3,728095.4574558064,4631880.862325015,0,48
4,728171.3061258662,4631794.180820486,0,40
5,728171.3558698498,4631794.123449556,2013-03-26 11:02:13,-1
6,728171.3061258662,4631794.180820486,0,40
7,728119.1858354583,4631747.949240912,0,38
8,728029.4367409274,4631668.629349686,0,28
9,728028.8800985152,4631668.137400655,0,27
10,727985.5088702532,4631577.947754278,2013-03-26 11:02:42,-1
11,727981.5276204003,4631518.124125179,0,14
12,727977.5889129573,4631422.740378108,0,12
13,728008.8871604922,4631328.289855044,2013-03-26 11:03:17,-1
14,728022.6800876791,4631276.570257835,0,8
15,728025.9088060167,4631216.963775944,0,6
16,727971.2397848051,4631165.8859306965,0,3
17,727991.5890208408,4631124.190033719,0,4
18,727998.0447100948,4631110.962227304,2013-03-26 11:03:52,-1
19,727991.5890208408,4631124.190033719,0,4
20,727973.28071664,4631161.704030041,2013-03-26 11:04:12,-1
21,727971.2397848051,4631165.8859306965,0,3
22,728025.9088060167,4631216.963775944,0,6
23,728022.6800876791,4631276.570257835,0,8
24,727977.5889129573,4631422.740378108,0,12
25,727975.688407796,4631429.209628662,2013-03-26 11:04:47,-1
26,727981.5276204003,4631518.124125179,0,14
27,728026.2281921572,4631666.082434462,2013-03-26 11:05:22,-1
28,727985.7075189853,4631583.42944388,2013-03-26 11:05:57,-1
29,727981.5276204003,4631518.124125179,0,14
30,727845.1239324361,4631492.314807823,0,15
31,727770.8027131393,4631545.416986901,2013-03-26 11:06:28,-1
32,727744.8260648372,4631599.042711489,0,23
33,727696.4856245816,4631555.373154681,0,21
34,727685.0132996468,4631526.552047027,0,20
35,727689.7435908802,4631522.407143207,0,18
36,727748.3134994565,4631467.384481578,2013-03-26 11:06:59,-1
37,727785.6961145911,4631329.449108752,2013-03-26 11:07:30,-1
38,727745.64308949,4631294.622136246,0,16
39,727698.4237495074,4631333.4601853555,2013-03-26 11:08:00,-1
40,727632.0710385182,4631520.8218963,2013-03-26 11:08:31,-1
41,727632.9573643468,4631521.111998737,0,17
42,727685.0132996468,4631526.552047027,0,20
43,727696.4856245816,4631555.373154681,0,21
44,727744.3801320647,4631598.9957116535,2013-03-26 11:09:03,-1
45,727744.8260648372,4631599.042711489,0,23
46,727737.9335099878,4631615.610326653,0,24
47,727653.2893213411,4631815.0474920245,2013-03-26 11:09:34,-1
48,727646.6108911196,4631831.1265771575,0,43
49,727716.8329913719,4631974.87708015,0,60
50,727732.5353298681,4631991.826355498,0,62
51,727733.5283251031,4631993.340379462,2013-03-26 11:10:04,-1
52,727767.0900048222,4632120.836734956,0,73
53,727815.8044348685,4632124.043413933,0,74
54,727815.8044348685,4632124.043413933,2013-03-26 11:10:34,-1
55,727815.8044348685,4632124.043413933,0,74
56,727849.4129105425,4632132.246565968,0,80
57,727935.2773578018,4632065.074309647,0,65
58,727977.4165053767,4632101.95248196,2013-03-26 11:11:04,-1
59,728006.1047585672,4632127.180763112,0,77
60,728011.8029704532,4632132.210679295,0,79
61,728021.4737335388,4632140.120369079,0,83
62,728061.8809991395,4632175.5618629195,0,85
63,728067.5874620854,4632180.266929578,2013-03-26 11:11:34,-1
64,728114.3337081606,4632220.137771262,0,90
65,728147.1224198313,4632273.190092048,0,96
66,728160.1627588933,4632311.905502785,0,101
67,728166.0843970552,4632324.84418565,0,104
68,728179.1365034617,4632341.6973149255,0,105
69,728203.160662692,4632359.313082784,0,107
70,728271.2755769707,4632387.061881734,2013-03-26 11:12:09,-1
71,728271.3171141269,4632387.09313562,0,108
72,728330.465525033,4632480.753269473,0,114
73,728380.6059180144,4632487.69534809,0,116
74,728440.4517621385,4632504.709649878,2013-03-26 11:12:44,-1
75,728457.8832124146,4632511.287469884,0,118
76,728444.1319174189,4632530.410080707,0,119
77,728384.4201326584,4632590.299336024,0,123
78,728308.8907910411,4632655.870892822,2013-03-26 11:13:15,-1
79,728240.6765748365,4632726.974268274,0,128
80,728240.0166194066,4632727.677658364,0,129
81,728101.5996920392,4632907.706479413,0,141
82,728101.0273844395,4632908.687724283,0,142
83,728034.1653009793,4633079.28249721,0,150
84,728032.8890866004,4633083.486374743,2013-03-26 11:13:54,-1
85,728014.6482978612,4633143.571924036,0,158
86,727995.8607604466,4633148.640090805,0,159
87,727893.8094297154,4633118.257010952,0,157
88,727856.36557248,4633103.70424476,2013-03-26 11:14:24,-1
89,727856.36557248,4633103.70424476,2013-03-26 11:14:54,-1
90,727856.36557248,4633103.70424476,2013-03-26 11:15:29,-1
91,727856.36557248,4633103.70424476,2013-03-26 11:16:04,-1
92,727847.7011662098,4633100.33677442,0,152
93,727804.9283113144,4633081.626943026,0,151
94,727884.8839327889,4632913.561497867,0,143
95,727884.8839327889,4632913.561497867,2013-03-26 11:16:40,-1
96,727884.8839327889,4632913.561497867,0,143
97,727979.231412272,4632802.644758685,0,136
98,728017.2391239099,4632771.64604076,2013-03-26 11:17:11,-1
99,728032.71061219,4632760.671161955,0,131
100,728086.6832677689,4632716.208691566,2013-03-26 11:17:50,-1
101,728094.3459866298,4632708.548969656,0,127
102,728126.2493309984,4632677.56376115,0,126
103,728207.8250750735,4632697.509374207,2013-03-26 11:18:20,-1
104,728240.6765748365,4632726.974268274,0,128
105,728321.2187837097,4632643.824808236,2013-03-26 11:18:50,-1
106,728384.4201326584,4632590.299336024,0,123
107,728444.1319174189,4632530.410080707,0,119
108,728452.481000116,4632518.820947693,2013-03-26 11:19:15,-1
109,728457.8832124146,4632511.287469884,0,118
110,728380.6059180144,4632487.69534809,0,116
111,728330.465525033,4632480.753269473,0,114
112,728271.3171141269,4632387.09313562,0,108
113,728224.3059890904,4632366.6431884,2013-03-26 11:19:51,-1
114,728203.160662692,4632359.313082784,0,107
115,728179.1365034617,4632341.6973149255,0,105
116,728166.0843970552,4632324.84418565,0,104
117,728160.1627588933,4632311.905502785,0,101
118,728147.1224198313,4632273.190092048,0,96
119,728125.2200408662,4632231.0443828115,2013-03-26 11:20:26,-1
120,728114.3337081606,4632220.137771262,0,90
121,728061.8809991395,4632175.5618629195,0,85
122,728021.4737335388,4632140.120369079,0,83
123,728020.6087060923,4632139.412865576,2013-03-26 11:20:57,-1
124,728011.8029704532,4632132.210679295,0,79
125,728006.1047585672,4632127.180763112,0,77
126,727935.2773578018,4632065.074309647,0,65
127,727981.2999260774,4632012.039028197,2013-03-26 11:21:28,-1
128,728005.7003876325,4631983.94122803,0,61
129,728040.728517388,4631943.606029237,0,55
130,728062.153681154,4631918.990407719,2013-03-26 11:21:59,-1
131,728062.153681154,4631918.990407719,2013-03-26 11:22:30,-1
132,728067.4618237438,4631912.907846492,0,54
133,728068.1002847448,4631912.1767653935,2013-03-26 11:23:00,-1
