,easting,northing,timestamp,node_id
0,727814.7024431094,4632123.520433634,2013-04-18 16:15:10,-1
1,727815.8044348685,4632124.043413933,0,74
2,727849.4129105425,4632132.246565968,0,80
3,727935.2773578018,4632065.074309647,0,65
4,727976.0173090718,4632100.724369837,2013-04-18 16:15:43,-1
5,728006.1047585672,4632127.180763112,0,77
6,728011.8029704532,4632132.210679295,0,79
7,728021.4407040488,4632140.093354352,2013-04-18 16:16:15,-1
8,728021.4737335388,4632140.120369079,0,83
9,728061.8809991395,4632175.5618629195,0,85
10,728099.8960445649,4632207.069068562,2013-04-18 16:16:48,-1
11,728114.3337081606,4632220.137771262,0,90
12,728147.1224198313,4632273.190092048,0,96
13,728160.1627588933,4632311.905502785,0,101
14,728166.0843970552,4632324.84418565,0,104
15,728179.1365034617,4632341.6973149255,0,105
16,728184.658428607,4632346.495258855,2013-04-18 16:17:20,-1
17,728203.160662692,4632359.313082784,0,107
18,728269.6670784301,4632385.851595966,2013-04-18 16:17:53,-1
19,728271.3171141269,4632387.09313562,0,108
20,728327.4571549089,4632463.863437028,2013-04-18 16:18:25,-1
21,728330.465525033,4632480.753269473,0,114
22,728380.6059180144,4632487.69534809,0,116
23,728422.3789920134,4632499.554030225,2013-04-18 16:18:57,-1
24,728457.8832124146,4632511.287469884,0,118
25,728521.0369477859,4632419.27447721,0,110
26,728549.4961592993,4632378.593163445,2013-04-18 16:19:29,-1
27,728604.7917315736,4632296.270615568,0,99
28,728615.4323211499,4632279.959894167,0,97
29,728619.5429949693,4632273.658802764,2013-04-18 16:20:02,-1
30,728680.2630826859,4632178.727404296,0,86
31,728704.1888070414,4632140.5905886125,0,84
32,728739.6495027768,4632086.400597524,2013-04-18 16:20:35,-1
33,728790.5880432073,4632008.531362718,0,63
34,728808.3530561164,4631981.164306609,2013-04-18 16:21:05,-1
35,728825.3748999406,4631955.043469166,0,56
36,728849.7616867585,4631917.621224481,2013-04-18 16:21:39,-1
37,728849.7616867585,4631917.621224481,2013-04-18 16:22:11,-1
38,728873.1673577782,4631881.574673016,0,49
39,728900.1131181465,4631841.280856978,0,44
40,728952.9064364968,4631763.440121226,2013-04-18 16:22:43,-1
41,728965.6743760305,4631743.377329269,0,37
42,728981.813057838,4631717.329459976,0,34
43,729029.1409368974,4631645.848486789,2013-04-18 16:23:15,-1
44,729068.186304709,4631586.383659424,0,22
45,729109.549061113,4631523.353480335,0,19
46,729120.568859282,4631506.558666509,0,13
47,729172.8419401174,4631423.018749901,2013-04-18 16:23:48,-1
48,729209.4409303935,4631375.614266915,0,11
49,729212.6435107002,4631371.715589924,0,10
50,729185.2926239073,4631350.607051307,0,9
51,729088.1758663515,4631272.015041491,0,7
52,729030.9955411437,4631225.6797995055,2013-04-18 16:24:20,-1
53,728944.9686424378,4631152.263791161,0,2
54,728969.4360062843,4631112.756734934,2013-04-18 16:24:43,-1
55,728969.4360062843,4631112.756734934,0,0
56,729067.0179315843,4631103.7755352035,0,1
57,729089.7776796194,4631111.258843193,2013-04-18 16:25:17,-1
58,729166.7695912196,4631135.409493095,2013-04-18 16:25:49,-1
59,729232.7950210766,4631207.559098111,2013-04-18 16:26:21,-1
60,729195.8006090225,4631338.574792824,2013-04-18 16:26:53,-1
61,729185.2926239073,4631350.607051307,0,9
62,729185.2926239073,4631350.607051307,2013-04-18 16:27:27,-1
63,729185.2926239073,4631350.607051307,0,9
64,729198.6072866105,4631360.79549751,2013-04-18 16:28:00,-1
65,729212.6435107002,4631371.715589924,0,10
66,729209.4409303935,4631375.614266915,0,11
67,729151.033847012,4631457.63723674,2013-04-18 16:28:32,-1
68,729120.568859282,4631506.558666509,0,13
69,729109.549061113,4631523.353480335,0,19
70,729068.186304709,4631586.383659424,0,22
71,729002.5583583405,4631686.333189053,2013-04-18 16:29:05,-1
72,728981.813057838,4631717.329459976,0,34
73,728965.6743760305,4631743.377329269,0,37
74,728924.0441557243,4631806.647673392,2013-04-18 16:29:36,-1
75,728900.1131181465,4631841.280856978,0,44
76,728873.1673577782,4631881.574673016,0,49
77,728825.3748999406,4631955.043469166,0,56
78,728821.3500198709,4631961.219841075,2013-04-18 16:30:08,-1
79,728790.5880432073,4632008.531362718,0,63
80,728737.808715102,4632089.214027949,2013-04-18 16:30:41,-1
81,728704.1888070414,4632140.5905886125,0,84
82,728680.2630826859,4632178.727404296,0,86
83,728615.4323211499,4632279.959894167,0,97
84,728604.7917315736,4632296.270615568,0,99
85,728591.2135853366,4632317.084470308,2013-04-18 16:31:13,-1
86,728521.0369477859,4632419.27447721,0,110
87,728467.5508441665,4632497.190325011,2013-04-18 16:31:46,-1
88,728457.8832124146,4632511.287469884,0,118
89,728380.6059180144,4632487.69534809,0,116
90,728330.465525033,4632480.753269473,0,114
91,728307.9884759191,4632427.61709994,2013-04-18 16:32:11,-1
92,728271.3171141269,4632387.09313562,0,108
93,728203.160662692,4632359.313082784,0,107
94,728179.1365034617,4632341.6973149255,0,105
95,728171.1791531786,4632332.53066816,2013-04-18 16:32:42,-1
96,728166.0843970552,4632324.84418565,0,104
97,728160.1627588933,4632311.905502785,0,101
98,728147.1224198313,4632273.190092048,0,96
99,728114.3337081606,4632220.137771262,0,90
100,728061.8809991395,4632175.5618629195,0,85
101,728021.4737335388,4632140.120369079,0,83
102,728014.8394338926,4632134.694194156,2013-04-18 16:33:16,-1
103,728014.8394338926,4632134.694194156,2013-04-18 16:33:47,-1
104,728011.8029704532,4632132.210679295,0,79
105,728006.1047585672,4632127.180763112,0,77
106,727935.2773578018,4632065.074309647,0,65
107,727861.2767836363,4632131.779553239,2013-04-18 16:34:18,-1
108,727849.4129105425,4632132.246565968,0,80
109,727815.8044348685,4632124.043413933,0,74
110,727794.8448842749,4632119.271631051,2013-04-18 16:34:51,-1
111,727767.0900048222,4632120.836734956,0,73
112,727677.4214841528,4632217.900641248,0,89
113,727667.4106482079,4632250.879741218,2013-04-18 16:35:23,-1
114,727667.4106482079,4632250.879741218,2013-04-18 16:35:57,-1
115,727667.4106482079,4632250.879741218,2013-04-18 16:36:29,-1
116,727661.4619096294,4632267.187655034,0,95
117,727534.0742046069,4632465.283567259,0,113
118,727525.7139081203,4632498.124739066,2013-04-18 16:37:02,-1
119,727250.359242525,4632714.3177677,2013-04-18 16:37:33,-1
120,727209.1108120242,4632761.193828728,0,132
121,727113.8694928202,4633049.027852779,2013-04-18 16:38:07,-1
122,727111.9404279711,4633104.880091405,0,153
123,727208.8421956243,4633073.3343853215,2013-04-18 16:38:29,-1
124,727226.2841460742,4633055.625763785,0,149
125,727300.5741038723,4632969.79993177,2013-04-18 16:39:02,-1
126,727387.2552190293,4632816.10957179,0,138
127,727433.5879606839,4632827.36262022,2013-04-18 16:39:33,-1
128,727433.5879606839,4632827.36262022,2013-04-18 16:40:07,-1
129,727468.735433178,4632835.899050312,0,137
130,727417.8187275137,4632992.211072288,2013-04-18 16:40:35,-1
131,727256.8569705291,4633065.448480323,2013-04-18 16:41:11,-1
132,727256.8569705291,4633065.448480323,2013-04-18 16:41:43,-1
133,727226.2841460742,4633055.625763785,0,149
134,727117.7767084494,4633104.467172766,2013-04-18 16:42:06,-1
135,727111.9404279711,4633104.880091405,0,153
136,727142.0418793886,4632886.967750081,2013-04-18 16:42:31,-1
137,727209.1108120242,4632761.193828728,0,132
138,727069.1886427378,4632650.391044066,2013-04-18 16:43:04,-1
139,726837.7327791192,4632623.473596018,2013-04-18 16:43:35,-1
140,726850.9100202366,4632607.366643397,2013-04-18 16:44:08,-1
141,727132.8468287538,4632700.801242201,2013-04-18 16:44:40,-1
142,727209.1108120242,4632761.193828728,0,132
143,727242.7428508862,4632721.95947012,2013-04-18 16:45:05,-1
144,727515.3522271304,4632516.654049332,2013-04-18 16:45:37,-1
145,727534.0742046069,4632465.283567259,0,113
146,727612.5392078086,4632316.633560507,2013-04-18 16:46:09,-1
147,727661.4619096294,4632267.187655034,0,95
148,727677.4214841528,4632217.900641248,0,89
149,727736.0993279064,4632136.049156809,2013-04-18 16:46:41,-1
150,727767.0900048222,4632120.836734956,0,73
151,727814.7024431094,4632123.520433634,2013-04-18 16:47:11,-1
