,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,166.0,2.74333177032,6.3819338561191028,31.0,0,3,2013-04-18 16:25:17,2013-04-18 16:25:48
1,160.0,47.2392850084,6.3819338561191028,31.0,0,3,2013-04-18 16:25:17,2013-04-18 16:25:48
2,159.0,147.857332761,6.3819338561191028,31.0,0,3,2013-04-18 16:25:17,2013-04-18 16:25:48
3,159.0,38.6874656589,1.2089833018421103,32.0,3,4,2013-04-18 16:25:48,2013-04-18 16:26:20
4,149.0,147.293713771,9.2604193126811527,32.0,4,9,2013-04-18 16:26:20,2013-04-18 16:26:52
5,143.0,32.512333653,9.2604193126811527,32.0,4,9,2013-04-18 16:26:20,2013-04-18 16:26:52
6,143.0,35.6587848277,9.2604193126811527,32.0,4,9,2013-04-18 16:26:20,2013-04-18 16:26:52
7,138.0,61.1090801474,9.2604193126811527,32.0,4,9,2013-04-18 16:26:20,2013-04-18 16:26:52
8,138.0,19.7595056072,9.2604193126811527,32.0,4,9,2013-04-18 16:26:20,2013-04-18 16:26:52
9,133.0,44.4783599502,2.6101502108786034,32.0,9,11,2013-04-18 16:26:52,2013-04-18 16:27:24
10,134.0,39.046446798,2.6101502108786034,32.0,9,11,2013-04-18 16:26:52,2013-04-18 16:27:24
11,134.0,91.5696137422,3.2970079111554238,33.0,11,13,2013-04-18 16:27:24,2013-04-18 16:27:57
12,134.0,17.231647326,3.2970079111554238,33.0,11,13,2013-04-18 16:27:24,2013-04-18 16:27:57
13,135.0,116.158706288,3.7470550415611843,31.0,13,14,2013-04-18 16:27:57,2013-04-18 16:28:28
14,135.0,82.4868444344,2.5777138885749453,32.0,14,15,2013-04-18 16:28:28,2013-04-18 16:29:00
15,130.0,29.9607110518,11.182064110890384,33.0,15,21,2013-04-18 16:29:00,2013-04-18 16:29:33
16,130.0,55.0611221135,11.182064110890384,33.0,15,21,2013-04-18 16:29:00,2013-04-18 16:29:33
17,126.0,23.553838639,11.182064110890384,33.0,15,21,2013-04-18 16:29:00,2013-04-18 16:29:33
18,125.0,73.6176880798,11.182064110890384,33.0,15,21,2013-04-18 16:29:00,2013-04-18 16:29:33
19,125.0,37.9840277279,11.182064110890384,33.0,15,21,2013-04-18 16:29:00,2013-04-18 16:29:33
20,114.0,148.830728047,11.182064110890384,33.0,15,21,2013-04-18 16:29:00,2013-04-18 16:29:33
21,103.0,19.4746445193,0.62821433933347359,31.0,21,22,2013-04-18 16:29:33,2013-04-18 16:30:04
22,101.0,19.4607703065,5.1637042034664322,32.0,22,25,2013-04-18 16:30:04,2013-04-18 16:30:36
23,101.0,100.756982959,5.1637042034664322,32.0,22,25,2013-04-18 16:30:04,2013-04-18 16:30:36
24,88.0,45.020781245,5.1637042034664322,32.0,22,25,2013-04-18 16:30:04,2013-04-18 16:30:36
25,86.0,93.501749895,4.9316091822374819,32.0,25,27,2013-04-18 16:30:36,2013-04-18 16:31:08
26,86.0,64.3097439366,4.9316091822374819,32.0,25,27,2013-04-18 16:30:36,2013-04-18 16:31:08
27,62.0,34.6510178191,3.7623819462290493,33.0,27,31,2013-04-18 16:31:08,2013-04-18 16:31:41
28,62.0,0.0,0,33.0,27,31,2013-04-18 16:31:08,2013-04-18 16:31:41
29,62.0,29.154027667,3.7623819462290493,33.0,27,31,2013-04-18 16:31:08,2013-04-18 16:31:41
30,56.0,60.3535587394,3.7623819462290493,33.0,27,31,2013-04-18 16:31:08,2013-04-18 16:31:41
31,56.0,27.2922773153,0.85288366610165645,32.0,31,32,2013-04-18 16:31:41,2013-04-18 16:32:13
32,48.0,118.727164259,7.2502059526148113,32.0,32,34,2013-04-18 16:32:13,2013-04-18 16:32:45
33,52.0,113.279426224,7.2502059526148113,32.0,32,34,2013-04-18 16:32:13,2013-04-18 16:32:45
34,52.0,32.4839681769,7.9127707212512801,30.0,34,39,2013-04-18 16:32:45,2013-04-18 16:33:15
35,51.0,71.8402990481,7.9127707212512801,30.0,34,39,2013-04-18 16:32:45,2013-04-18 16:33:15
36,45.0,32.226475241,7.9127707212512801,30.0,34,39,2013-04-18 16:32:45,2013-04-18 16:33:15
37,45.0,15.7117680615,7.9127707212512801,30.0,34,39,2013-04-18 16:32:45,2013-04-18 16:33:15
38,42.0,85.1206111101,7.9127707212512801,30.0,34,39,2013-04-18 16:32:45,2013-04-18 16:33:15
39,38.0,84.7328561844,3.3308035475163429,27.0,39,41,2013-04-18 16:33:15,2013-04-18 16:33:42
40,32.0,5.19883959857,3.3308035475163429,27.0,39,41,2013-04-18 16:33:15,2013-04-18 16:33:42
41,31.0,70.5658966229,2.2051842694665331,32.0,41,42,2013-04-18 16:33:42,2013-04-18 16:34:14
42,31.0,0.0,0,26.0,42,43,2013-04-18 16:34:14,2013-04-18 16:34:40
43,31.0,58.6297870336,3.7803310092773885,29.0,43,45,2013-04-18 16:34:40,2013-04-18 16:35:09
44,26.0,50.9998122355,3.7803310092773885,29.0,43,45,2013-04-18 16:34:40,2013-04-18 16:35:09
45,29.0,53.2938104958,1.665431577993556,32.0,45,46,2013-04-18 16:35:09,2013-04-18 16:35:41
46,35.0,38.6690606627,4.2901802729831173,32.0,46,50,2013-04-18 16:35:41,2013-04-18 16:36:13
47,40.0,18.9386642331,4.2901802729831173,32.0,46,50,2013-04-18 16:35:41,2013-04-18 16:36:13
48,40.0,62.3913645001,4.2901802729831173,32.0,46,50,2013-04-18 16:35:41,2013-04-18 16:36:13
49,47.0,17.2866793396,4.2901802729831173,32.0,46,50,2013-04-18 16:35:41,2013-04-18 16:36:13
50,47.0,97.8945695957,3.2792252599096483,33.0,50,53,2013-04-18 16:36:13,2013-04-18 16:36:46
51,50.0,10.3198639813,3.2792252599096483,33.0,50,53,2013-04-18 16:36:13,2013-04-18 16:36:46
52,50.0,0.0,0,33.0,50,53,2013-04-18 16:36:13,2013-04-18 16:36:46
53,50.0,10.8392566331,0.86437883461889142,32.0,53,55,2013-04-18 16:36:46,2013-04-18 16:37:18
54,53.0,16.8208660747,0.86437883461889142,32.0,53,55,2013-04-18 16:36:46,2013-04-18 16:37:18
55,54.0,4.57199231459,6.2863219453513208,29.0,55,59,2013-04-18 16:37:18,2013-04-18 16:37:47
56,55.0,40.7068847638,6.2863219453513208,29.0,55,59,2013-04-18 16:37:18,2013-04-18 16:37:47
57,60.0,53.4218881722,6.2863219453513208,29.0,55,59,2013-04-18 16:37:18,2013-04-18 16:37:47
58,65.0,83.6025711645,6.2863219453513208,29.0,55,59,2013-04-18 16:37:18,2013-04-18 16:37:47
59,65.0,23.8310408174,5.0946566362517549,27.0,59,61,2013-04-18 16:37:47,2013-04-18 16:38:14
60,81.0,113.724688361,5.0946566362517549,27.0,59,61,2013-04-18 16:37:47,2013-04-18 16:38:14
61,81.0,0.0,0,32.0,61,63,2013-04-18 16:38:14,2013-04-18 16:38:46
62,80.0,27.6363026294,0.86363445716861909,32.0,61,63,2013-04-18 16:38:14,2013-04-18 16:38:46
63,80.0,7.3725885219,0.23039339130949688,32.0,63,64,2013-04-18 16:38:46,2013-04-18 16:39:18
64,73.0,49.7821695438,5.7669298986485185,32.0,64,66,2013-04-18 16:39:18,2013-04-18 16:39:50
65,72.0,134.759587213,5.7669298986485185,32.0,64,66,2013-04-18 16:39:18,2013-04-18 16:39:50
66,61.0,3.44877059455,6.3523611084738336,32.0,66,70,2013-04-18 16:39:50,2013-04-18 16:40:22
67,61.0,19.7354585822,6.3523611084738336,32.0,66,70,2013-04-18 16:39:50,2013-04-18 16:40:22
68,59.0,171.261821112,6.3523611084738336,32.0,66,70,2013-04-18 16:39:50,2013-04-18 16:40:22
69,59.0,8.82950518243,6.3523611084738336,32.0,66,70,2013-04-18 16:39:50,2013-04-18 16:40:22
70,43.0,234.071279427,8.0217039944701263,32.0,70,73,2013-04-18 16:40:22,2013-04-18 16:40:54
71,25.0,17.9441685399,8.0217039944701263,32.0,70,73,2013-04-18 16:40:22,2013-04-18 16:40:54
72,24.0,4.67907985601,8.0217039944701263,32.0,70,73,2013-04-18 16:40:22,2013-04-18 16:40:54
