,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,16.0,164.1541544820841,5.4718051494028028,30.0,0,1,2013-03-26 15:58:32,2013-03-26 15:59:02
1,16.0,0.0,0,33.0,1,2,2013-03-26 15:59:02,2013-03-26 15:59:35
2,16.0,2.627655732741516,4.7732117766035405,33.0,2,6,2013-03-26 15:59:35,2013-03-26 16:00:08
3,20.0,53.99611118178011,4.7732117766035405,33.0,2,6,2013-03-26 15:59:35,2013-03-26 16:00:08
4,21.0,31.730575937833446,4.7732117766035405,33.0,2,6,2013-03-26 15:59:35,2013-03-26 16:00:08
5,23.0,69.16164577556178,4.7732117766035405,33.0,2,6,2013-03-26 15:59:35,2013-03-26 16:00:08
6,23.0,0.0,0,32.0,6,9,2013-03-26 16:00:08,2013-03-26 16:00:40
7,24.0,153.07245967149382,8.5676441934137681,32.0,6,9,2013-03-26 16:00:08,2013-03-26 16:00:40
8,14.0,121.09215451774678,8.5676441934137681,32.0,6,9,2013-03-26 16:00:08,2013-03-26 16:00:40
9,14.0,19.4399351353009,7.9307793274363272,33.0,9,12,2013-03-26 16:00:40,2013-03-26 16:01:13
10,15.0,97.25806938140207,7.9307793274363272,33.0,9,12,2013-03-26 16:00:40,2013-03-26 16:01:13
11,12.0,145.01771328869586,7.9307793274363272,33.0,9,12,2013-03-26 16:00:40,2013-03-26 16:01:13
12,12.0,8.09104768251642,6.0932934380846593,32.0,12,16,2013-03-26 16:01:13,2013-03-26 16:01:45
13,7.0,59.932628780285775,6.0932934380846593,32.0,12,16,2013-03-26 16:01:13,2013-03-26 16:01:45
14,5.0,80.56517023638126,6.0932934380846593,32.0,12,16,2013-03-26 16:01:13,2013-03-26 16:01:45
15,2.0,46.39654331952561,6.0932934380846593,32.0,12,16,2013-03-26 16:01:13,2013-03-26 16:01:45
16,2.0,0.0,0,32.0,16,18,2013-03-26 16:01:45,2013-03-26 16:02:17
17,4.0,8.694916632996796,0.27171614478114986,32.0,16,18,2013-03-26 16:01:45,2013-03-26 16:02:17
18,4.0,8.694916632996796,3.8192190955390384,25.0,18,20,2013-03-26 16:02:17,2013-03-26 16:02:42
19,3.0,86.78556075547917,3.8192190955390384,25.0,18,20,2013-03-26 16:02:17,2013-03-26 16:02:42
20,3.0,41.56544211419696,1.3408207133611922,31.0,20,21,2013-03-26 16:02:42,2013-03-26 16:03:13
21,3.0,45.22011864128223,2.7391460550128093,32.0,21,23,2013-03-26 16:03:13,2013-03-26 16:03:45
22,2.0,42.43255511912768,2.7391460550128093,32.0,21,23,2013-03-26 16:03:13,2013-03-26 16:03:45
23,2.0,3.9639882003979343,8.0024593377875863,33.0,23,27,2013-03-26 16:03:45,2013-03-26 16:04:18
24,5.0,80.56517023638126,8.0024593377875863,33.0,23,27,2013-03-26 16:03:45,2013-03-26 16:04:18
