,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,147.0,170.16310729129341,12.993955556123204,32.0,0,4,2013-03-27 16:09:54,2013-03-27 16:10:26
1,148.0,1.135947834481573,12.993955556123204,32.0,0,4,2013-03-27 16:09:54,2013-03-27 16:10:26
2,158.0,183.65978390089592,12.993955556123204,32.0,0,4,2013-03-27 16:09:54,2013-03-27 16:10:26
3,167.0,60.84773876927157,12.993955556123204,32.0,0,4,2013-03-27 16:09:54,2013-03-27 16:10:26
4,167.0,6.338895409844426,5.7001235515691624,32.0,4,8,2013-03-27 16:10:26,2013-03-27 16:10:58
5,168.0,19.50775465934546,5.7001235515691624,32.0,4,8,2013-03-27 16:10:26,2013-03-27 16:10:58
6,169.0,107.30937391256128,5.7001235515691624,32.0,4,8,2013-03-27 16:10:26,2013-03-27 16:10:58
7,166.0,49.247929668462035,5.7001235515691624,32.0,4,8,2013-03-27 16:10:26,2013-03-27 16:10:58
8,166.0,0.0,0,32.0,8,9,2013-03-27 16:10:58,2013-03-27 16:11:30
9,166.0,0.0,0,32.0,9,10,2013-03-27 16:11:30,2013-03-27 16:12:02
10,166.0,0.0,0,32.0,10,11,2013-03-27 16:12:02,2013-03-27 16:12:34
11,166.0,0.22031106085891106,7.9202850677088064,25.0,11,14,2013-03-27 16:12:34,2013-03-27 16:12:59
12,160.0,47.23928500841821,7.9202850677088064,25.0,11,14,2013-03-27 16:12:34,2013-03-27 16:12:59
13,159.0,150.54753062344304,7.9202850677088064,25.0,11,14,2013-03-27 16:12:34,2013-03-27 16:12:59
14,159.0,35.99726779646051,6.9895375042894878,32.0,14,17,2013-03-27 16:12:59,2013-03-27 16:13:31
15,149.0,147.2937137705204,6.9895375042894878,32.0,14,17,2013-03-27 16:12:59,2013-03-27 16:13:31
16,143.0,40.374218570282686,6.9895375042894878,32.0,14,17,2013-03-27 16:12:59,2013-03-27 16:13:31
17,143.0,27.796899910434288,3.0452009323992,33.0,17,19,2013-03-27 16:13:31,2013-03-27 16:14:04
18,138.0,72.6947308587393,3.0452009323992,33.0,17,19,2013-03-27 16:13:31,2013-03-27 16:14:04
19,138.0,0.0,0,33.0,19,20,2013-03-27 16:14:04,2013-03-27 16:14:37
20,138.0,0.0,0,32.0,20,21,2013-03-27 16:14:37,2013-03-27 16:15:09
21,138.0,8.173854895820197,4.3231172052948583,32.0,21,24,2013-03-27 16:15:09,2013-03-27 16:15:41
22,133.0,44.478359950157746,4.3231172052948583,32.0,21,24,2013-03-27 16:15:09,2013-03-27 16:15:41
23,134.0,85.68753572345753,4.3231172052948583,32.0,21,24,2013-03-27 16:15:09,2013-03-27 16:15:41
24,134.0,62.160172142628994,3.6787695179686697,32.0,24,26,2013-03-27 16:15:41,2013-03-27 16:16:13
25,135.0,55.56045243236844,3.6787695179686697,32.0,24,26,2013-03-27 16:15:41,2013-03-27 16:16:13
26,135.0,143.08509829042654,7.2932546543594432,32.0,26,29,2013-03-27 16:16:13,2013-03-27 16:16:45
