,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,68.0,0.0,0,30.0,0,1,2013-03-26 16:00:32,2013-03-26 16:01:02
1,68.0,0.0,0,39.0,1,2,2013-03-26 16:01:02,2013-03-26 16:01:41
2,68.0,45.88999836891219,4.6786526702181863,33.0,2,5,2013-03-26 16:01:41,2013-03-26 16:02:14
3,71.0,16.100846795787465,4.6786526702181863,33.0,2,5,2013-03-26 16:01:41,2013-03-26 16:02:14
4,91.0,92.40469295250051,4.6786526702181863,33.0,2,5,2013-03-26 16:01:41,2013-03-26 16:02:14
5,91.0,161.8258431620288,6.6442030572702668,38.0,5,7,2013-03-26 16:02:14,2013-03-26 16:02:52
6,92.0,90.65387301424131,6.6442030572702668,38.0,5,7,2013-03-26 16:02:14,2013-03-26 16:02:52
7,92.0,45.809780554017216,2.8115279440519849,34.0,7,10,2013-03-26 16:02:52,2013-03-26 16:03:26
8,73.0,49.78216954375028,2.8115279440519849,34.0,7,10,2013-03-26 16:02:52,2013-03-26 16:03:26
9,73.0,0.0,0,34.0,7,10,2013-03-26 16:02:52,2013-03-26 16:03:26
10,73.0,0.0,0,20.0,10,13,2013-03-26 16:03:26,2013-03-26 16:03:46
11,80.0,35.008891151299714,3.0955171659379919,20.0,10,13,2013-03-26 16:03:26,2013-03-26 16:03:46
12,81.0,26.90145216746012,3.0955171659379919,20.0,10,13,2013-03-26 16:03:26,2013-03-26 16:03:46
13,81.0,86.82323619393038,3.712655875921071,38.0,13,15,2013-03-26 16:03:46,2013-03-26 16:04:24
14,65.0,54.257687091070316,3.712655875921071,38.0,13,15,2013-03-26 16:03:46,2013-03-26 16:04:24
15,65.0,53.17592489088558,4.7287202452668184,30.0,15,18,2013-03-26 16:04:24,2013-03-26 16:04:54
16,60.0,53.42188817222323,4.7287202452668184,30.0,15,18,2013-03-26 16:04:24,2013-03-26 16:04:54
