,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,47.0,11.681506901545855,2.3054082047562536,31.0,0,2,2013-04-17 16:20:30,2013-04-17 16:21:01
1,40.0,59.78614744589801,2.3054082047562536,31.0,0,2,2013-04-17 16:20:30,2013-04-17 16:21:01
2,40.0,21.54388128727207,7.1046493239307829,31.0,2,7,2013-04-17 16:21:01,2013-04-17 16:21:32
3,35.0,38.66906066267094,7.1046493239307829,31.0,2,7,2013-04-17 16:21:01,2013-04-17 16:21:32
4,29.0,53.29381049579379,7.1046493239307829,31.0,2,7,2013-04-17 16:21:01,2013-04-17 16:21:32
5,26.0,50.999812235480974,7.1046493239307829,31.0,2,7,2013-04-17 16:21:01,2013-04-17 16:21:32
6,31.0,55.73756436063653,7.1046493239307829,31.0,2,7,2013-04-17 16:21:01,2013-04-17 16:21:32
7,31.0,0.0,0,34.0,7,8,2013-04-17 16:21:32,2013-04-17 16:22:06
8,31.0,73.45811929585581,5.1051121390630234,33.0,8,12,2013-04-17 16:22:06,2013-04-17 16:22:39
9,32.0,5.1988395985706015,5.1051121390630234,33.0,8,12,2013-04-17 16:22:06,2013-04-17 16:22:39
10,38.0,84.73285618437066,5.1051121390630234,33.0,8,12,2013-04-17 16:22:06,2013-04-17 16:22:39
11,42.0,5.078885510282662,5.1051121390630234,33.0,8,12,2013-04-17 16:22:06,2013-04-17 16:22:39
12,42.0,80.04172559980445,3.747135387957238,32.0,12,14,2013-04-17 16:22:39,2013-04-17 16:23:11
13,45.0,39.86660681482717,3.747135387957238,32.0,12,14,2013-04-17 16:22:39,2013-04-17 16:23:11
14,45.0,8.071636487634159,5.4777281203807409,32.0,14,17,2013-04-17 16:23:11,2013-04-17 16:23:43
15,51.0,71.84029904808705,5.4777281203807409,32.0,14,17,2013-04-17 16:23:11,2013-04-17 16:23:43
16,52.0,95.37536431646252,5.4777281203807409,32.0,14,17,2013-04-17 16:23:11,2013-04-17 16:23:43
17,52.0,50.38803008467831,4.8290747290600375,31.0,17,19,2013-04-17 16:23:43,2013-04-17 16:24:14
18,48.0,99.31328651618286,4.8290747290600375,31.0,17,19,2013-04-17 16:23:43,2013-04-17 16:24:14
19,48.0,19.41387774325322,2.8298888365941313,33.0,19,22,2013-04-17 16:24:14,2013-04-17 16:24:47
20,49.0,48.4851815400175,2.8298888365941313,33.0,19,22,2013-04-17 16:24:14,2013-04-17 16:24:47
21,44.0,25.487272324335624,2.8298888365941313,33.0,19,22,2013-04-17 16:24:14,2013-04-17 16:24:47
22,44.0,67.67528331912297,2.1148526037225928,32.0,22,23,2013-04-17 16:24:47,2013-04-17 16:25:19
23,44.0,0.0,0,31.0,23,24,2013-04-17 16:25:19,2013-04-17 16:25:50
24,44.0,24.6841711544734,7.7235772110899941,33.0,24,28,2013-04-17 16:25:50,2013-04-17 16:26:23
25,36.0,30.64228545413416,7.7235772110899941,33.0,24,28,2013-04-17 16:25:50,2013-04-17 16:26:23
26,33.0,156.87164666320308,7.7235772110899941,33.0,24,28,2013-04-17 16:25:50,2013-04-17 16:26:23
27,22.0,42.67994469415919,7.7235772110899941,33.0,24,28,2013-04-17 16:25:50,2013-04-17 16:26:23
28,22.0,32.710262019838574,5.5972299488689972,32.0,28,31,2013-04-17 16:26:23,2013-04-17 16:26:55
29,18.0,20.087352318222926,5.5972299488689972,32.0,28,31,2013-04-17 16:26:23,2013-04-17 16:26:55
30,13.0,126.3137440257464,5.5972299488689972,32.0,28,31,2013-04-17 16:26:23,2013-04-17 16:26:55
31,13.0,32.20262208084491,2.9915899911988664,24.0,31,35,2013-04-17 16:26:55,2013-04-17 16:27:19
32,11.0,5.045722314182898,2.9915899911988664,24.0,31,35,2013-04-17 16:26:55,2013-04-17 16:27:19
33,10.0,34.549815393744986,2.9915899911988664,24.0,31,35,2013-04-17 16:26:55,2013-04-17 16:27:19
34,9.0,0.0,0,24.0,31,35,2013-04-17 16:26:55,2013-04-17 16:27:19
35,9.0,0.0,0,32.0,35,39,2013-04-17 16:27:19,2013-04-17 16:27:51
36,8.0,124.93368161043936,10.918833241984714,32.0,35,39,2013-04-17 16:27:19,2013-04-17 16:27:51
37,6.0,186.706418449986,10.918833241984714,32.0,35,39,2013-04-17 16:27:19,2013-04-17 16:27:51
38,1.0,37.762563683085496,10.918833241984714,32.0,35,39,2013-04-17 16:27:19,2013-04-17 16:27:51
39,1.0,0.0,0,31.0,39,40,2013-04-17 16:27:51,2013-04-17 16:28:22
40,1.0,8.855820923656736,6.6481403202359477,33.0,40,43,2013-04-17 16:28:22,2013-04-17 16:28:55
41,0.0,106.6411599022419,6.6481403202359477,33.0,40,43,2013-04-17 16:28:22,2013-04-17 16:28:55
42,9.0,103.89164974188765,6.6481403202359477,33.0,40,43,2013-04-17 16:28:22,2013-04-17 16:28:55
43,9.0,0.0,0,31.0,43,44,2013-04-17 16:28:55,2013-04-17 16:29:26
44,9.0,247.18413666705726,8.2394712222352418,30.0,44,45,2013-04-17 16:29:26,2013-04-17 16:29:56
45,9.0,0.0,0,36.0,45,46,2013-04-17 16:29:56,2013-04-17 16:30:32
46,9.0,15.635089902154222,5.8036939430056886,32.0,46,50,2013-04-17 16:30:32,2013-04-17 16:31:04
47,10.0,34.549815393744986,5.8036939430056886,32.0,46,50,2013-04-17 16:30:32,2013-04-17 16:31:04
48,11.0,5.045722314182898,5.8036939430056886,32.0,46,50,2013-04-17 16:30:32,2013-04-17 16:31:04
49,13.0,130.48757856609993,5.8036939430056886,32.0,46,50,2013-04-17 16:30:32,2013-04-17 16:31:04
50,13.0,28.02878754049138,7.7122892212707121,32.0,50,54,2013-04-17 16:31:04,2013-04-17 16:31:36
