,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,65,26.1231269053,3.6324986109423385,32.0,0,4,2013-04-18 16:00:20,2013-04-18 16:00:52
1,60,53.4218881722,3.6324986109423385,32.0,0,4,2013-04-18 16:00:20,2013-04-18 16:00:52
2,55,36.6949404726,3.6324986109423385,32.0,0,4,2013-04-18 16:00:20,2013-04-18 16:00:52
3,55,0.0,0,32.0,0,4,2013-04-18 16:00:20,2013-04-18 16:00:52
4,55,4.01194429122,0.76984250547146771,33.0,4,7,2013-04-18 16:00:52,2013-04-18 16:01:25
5,54,4.57199231459,0.76984250547146771,33.0,4,7,2013-04-18 16:00:52,2013-04-18 16:01:25
6,53,16.8208660747,0.76984250547146771,33.0,4,7,2013-04-18 16:00:52,2013-04-18 16:01:25
7,50,21.1591206144,0.68255227788322814,31.0,7,8,2013-04-18 16:01:25,2013-04-18 16:01:56
8,47,99.9481744572,5.6975221210676201,33.0,8,11,2013-04-18 16:01:56,2013-04-18 16:02:29
9,47,15.2330744781,5.6975221210676201,33.0,8,11,2013-04-18 16:01:56,2013-04-18 16:02:29
10,40,72.8369810599,5.6975221210676201,33.0,8,11,2013-04-18 16:01:56,2013-04-18 16:02:29
11,40,8.49304767326,3.2405135107007652,31.0,11,14,2013-04-18 16:02:29,2013-04-18 16:03:00
12,35,38.6690606627,3.2405135107007652,31.0,11,14,2013-04-18 16:02:29,2013-04-18 16:03:00
13,29,53.2938104958,3.2405135107007652,31.0,11,14,2013-04-18 16:02:29,2013-04-18 16:03:00
14,26,21.9621272357,2.1067538123925447,88.0,14,19,2013-04-18 16:03:00,2013-04-18 16:04:28
15,26,29.0376849998,2.1067538123925447,88.0,14,19,2013-04-18 16:03:00,2013-04-18 16:04:28
16,31,68.6014023451,2.1067538123925447,88.0,14,19,2013-04-18 16:03:00,2013-04-18 16:04:28
17,31,60.5942813114,2.1067538123925447,88.0,14,19,2013-04-18 16:03:00,2013-04-18 16:04:28
18,32,5.19883959857,2.1067538123925447,88.0,14,19,2013-04-18 16:03:00,2013-04-18 16:04:28
19,38,84.7328561844,5.3079208529518054,32.0,19,22,2013-04-18 16:04:28,2013-04-18 16:05:00
20,42,10.4923187995,5.3079208529518054,32.0,19,22,2013-04-18 16:04:28,2013-04-18 16:05:00
21,42,74.6282923106,5.3079208529518054,32.0,19,22,2013-04-18 16:04:28,2013-04-18 16:05:00
22,45,47.1810803288,1.4744087602745604,32.0,22,23,2013-04-18 16:05:00,2013-04-18 16:05:32
23,45,0.757162973675,2.0785664343397459,32.0,23,25,2013-04-18 16:05:32,2013-04-18 16:06:04
24,51,65.7569629252,2.0785664343397459,32.0,23,25,2013-04-18 16:05:32,2013-04-18 16:06:04
25,51,6.08333612289,0.18434351887547273,33.0,25,26,2013-04-18 16:06:04,2013-04-18 16:06:37
26,52,145.763394401,8.3071374882178066,24.0,26,28,2013-04-18 16:06:37,2013-04-18 16:07:01
27,48,53.6079053161,8.3071374882178066,24.0,26,28,2013-04-18 16:06:37,2013-04-18 16:07:01
28,48,65.1192589433,1.973310877071198,33.0,28,29,2013-04-18 16:07:01,2013-04-18 16:07:34
29,56,85.2340970148,2.7494870004780525,31.0,29,30,2013-04-18 16:07:34,2013-04-18 16:08:05
30,56,0.0,0,33.0,30,37,2013-04-18 16:08:05,2013-04-18 16:08:38
31,56,0.0,0,33.0,30,37,2013-04-18 16:08:05,2013-04-18 16:08:38
32,56,2.41173903988,3.535419524976632,33.0,30,37,2013-04-18 16:08:05,2013-04-18 16:08:38
33,62,63.8050454861,3.535419524976632,33.0,30,37,2013-04-18 16:08:05,2013-04-18 16:08:38
34,86,50.4520597982,3.535419524976632,33.0,30,37,2013-04-18 16:08:05,2013-04-18 16:08:38
35,86,0.0,0,33.0,30,37,2013-04-18 16:08:05,2013-04-18 16:08:38
36,86,0.0,0,33.0,30,37,2013-04-18 16:08:05,2013-04-18 16:08:38
37,86,107.359434033,3.253316182829169,33.0,37,38,2013-04-18 16:08:38,2013-04-18 16:09:11
38,88,12.8532949237,1.3642660983328077,33.0,38,41,2013-04-18 16:09:11,2013-04-18 16:09:44
39,88,30.0507644262,1.3642660983328077,33.0,38,41,2013-04-18 16:09:11,2013-04-18 16:09:44
40,88,2.11672189516,1.3642660983328077,33.0,38,41,2013-04-18 16:09:11,2013-04-18 16:09:44
41,101,116.983687862,3.5449602382424787,33.0,41,43,2013-04-18 16:09:44,2013-04-18 16:10:17
42,101,0.0,0,33.0,41,43,2013-04-18 16:09:44,2013-04-18 16:10:17
43,101,0.0,0,32.0,43,45,2013-04-18 16:10:17,2013-04-18 16:10:49
44,101,0.0,0,32.0,43,45,2013-04-18 16:10:17,2013-04-18 16:10:49
45,101,0.0,0,34.0,45,47,2013-04-18 16:10:49,2013-04-18 16:11:23
46,101,3.23406540394,0.095119570704157996,34.0,45,47,2013-04-18 16:10:49,2013-04-18 16:11:23
47,103,19.4746445193,1.217165282458605,16.0,47,48,2013-04-18 16:11:23,2013-04-18 16:11:39
48,114,49.7356266748,1.4628125492591537,34.0,48,49,2013-04-18 16:11:39,2013-04-18 16:12:13
49,114,0.0,0,33.0,49,51,2013-04-18 16:12:13,2013-04-18 16:12:46
50,114,99.0951013725,3.0028818597739768,33.0,49,51,2013-04-18 16:12:13,2013-04-18 16:12:46
51,116,56.6472967175,5.064140530641561,31.0,51,53,2013-04-18 16:12:46,2013-04-18 16:13:17
52,123,100.341059732,5.064140530641561,31.0,51,53,2013-04-18 16:12:46,2013-04-18 16:13:17
53,123,2.83487145327,0.088589732914821084,32.0,53,54,2013-04-18 16:13:17,2013-04-18 16:13:49
54,137,359.178599175,19.053921524519559,32.0,54,57,2013-04-18 16:13:49,2013-04-18 16:14:21
