,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,40,0.0,0,31.0,0,1,2013-03-26 16:01:48,2013-03-26 16:02:19
1,40,12.353557412173116,4.5623685885990168,33.0,1,5,2013-03-26 16:02:19,2013-03-26 16:02:52
2,35,38.66906066267094,4.5623685885990168,33.0,1,5,2013-03-26 16:02:19,2013-03-26 16:02:52
3,29,53.29381049579379,4.5623685885990168,33.0,1,5,2013-03-26 16:02:19,2013-03-26 16:02:52
4,26,46.2417348531297,4.5623685885990168,33.0,1,5,2013-03-26 16:02:19,2013-03-26 16:02:52
5,26,4.758077382351283,2.2835201758635835,32.0,5,7,2013-03-26 16:02:52,2013-03-26 16:03:24
6,31,68.31456824528338,2.2835201758635835,32.0,5,7,2013-03-26 16:02:52,2013-03-26 16:03:24
7,31,60.881115411208974,4.335308710645819,33.0,7,10,2013-03-26 16:03:24,2013-03-26 16:03:57
8,32,5.1988395985706015,4.335308710645819,33.0,7,10,2013-03-26 16:03:24,2013-03-26 16:03:57
9,38,76.98523244153245,4.335308710645819,33.0,7,10,2013-03-26 16:03:24,2013-03-26 16:03:57
10,38,7.7476237428382015,4.0260693106282934,32.0,10,13,2013-03-26 16:03:57,2013-03-26 16:04:29
11,42,85.12061111008711,4.0260693106282934,32.0,10,13,2013-03-26 16:03:57,2013-03-26 16:04:29
12,45,35.96598308718007,4.0260693106282934,32.0,10,13,2013-03-26 16:03:57,2013-03-26 16:04:29
13,45,0.0,0,32.0,13,14,2013-03-26 16:04:29,2013-03-26 16:05:01
14,45,0.0,0,32.0,14,15,2013-03-26 16:05:01,2013-03-26 16:05:33
15,45,11.97226021528126,8.011165972851833,24.0,15,18,2013-03-26 16:05:33,2013-03-26 16:05:57
16,51,71.84029904808705,8.011165972851833,24.0,15,18,2013-03-26 16:05:33,2013-03-26 16:05:57
17,52,108.45542408507568,8.011165972851833,24.0,15,18,2013-03-26 16:05:33,2013-03-26 16:05:57
