,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,47,0.0,0,30.0,0,1,2013-04-17 16:00:36,2013-04-17 16:01:06
1,47,0.0,0,30.0,1,2,2013-04-17 16:01:06,2013-04-17 16:01:36
2,47,29.248283847555488,3.0436485586690196,30.0,2,4,2013-04-17 16:01:36,2013-04-17 16:02:06
3,40,62.061172912515104,3.0436485586690196,30.0,2,4,2013-04-17 16:01:36,2013-04-17 16:02:06
4,40,19.268855820654977,2.311832462473622,31.0,4,7,2013-04-17 16:02:06,2013-04-17 16:02:37
5,35,38.66906066267094,2.311832462473622,31.0,4,7,2013-04-17 16:02:06,2013-04-17 16:02:37
6,29,13.728889853356366,2.311832462473622,31.0,4,7,2013-04-17 16:02:06,2013-04-17 16:02:37
7,29,39.56492064243743,3.2943266605419455,25.0,7,9,2013-04-17 16:02:37,2013-04-17 16:03:02
8,26,42.79324587111121,3.2943266605419455,25.0,7,9,2013-04-17 16:02:37,2013-04-17 16:03:02
9,26,8.206566364369769,2.5248232217200597,25.0,9,11,2013-04-17 16:03:02,2013-04-17 16:03:27
10,31,54.914014178631724,2.5248232217200597,25.0,9,11,2013-04-17 16:03:02,2013-04-17 16:03:27
11,31,74.28166947786062,2.5630965972904409,30.0,11,13,2013-04-17 16:03:27,2013-04-17 16:03:57
12,32,2.6112284408526065,2.5630965972904409,30.0,11,13,2013-04-17 16:03:27,2013-04-17 16:03:57
13,32,2.587611157717995,6.3744614194703333,31.0,13,17,2013-04-17 16:03:57,2013-04-17 16:04:28
14,38,84.73285618437066,6.3744614194703333,31.0,13,17,2013-04-17 16:03:57,2013-04-17 16:04:28
15,42,85.12061111008711,6.3744614194703333,31.0,13,17,2013-04-17 16:03:57,2013-04-17 16:04:28
16,45,25.16722555140459,6.3744614194703333,31.0,13,17,2013-04-17 16:03:57,2013-04-17 16:04:28
17,45,0.0,0,29.0,17,18,2013-04-17 16:04:28,2013-04-17 16:04:57
18,45,22.771017751056746,1.363297235418615,20.0,18,20,2013-04-17 16:04:57,2013-04-17 16:05:17
19,51,4.494926957315552,1.363297235418615,20.0,18,20,2013-04-17 16:04:57,2013-04-17 16:05:17
20,51,67.34537209077149,5.4081184836702052,31.0,20,22,2013-04-17 16:05:17,2013-04-17 16:05:48
21,52,100.30630090300488,5.4081184836702052,31.0,20,22,2013-04-17 16:05:17,2013-04-17 16:05:48
22,52,45.457093498135954,4.7684460499113701,30.0,22,24,2013-04-17 16:05:48,2013-04-17 16:06:18
23,48,97.59628799920515,4.7684460499113701,30.0,22,24,2013-04-17 16:05:48,2013-04-17 16:06:18
24,48,0.0,0,30.0,24,25,2013-04-17 16:06:18,2013-04-17 16:06:48
25,48,21.130876260230924,3.4539338307487975,31.0,25,27,2013-04-17 16:06:48,2013-04-17 16:07:19
