,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,122,15.7757270529,4.8359120238818045,27.0,0,3,2013-04-18 16:05:14,2013-04-18 16:05:41
1,121,50.7096525987,4.8359120238818045,27.0,0,3,2013-04-18 16:05:14,2013-04-18 16:05:41
2,124,64.0842449933,4.8359120238818045,27.0,0,3,2013-04-18 16:05:14,2013-04-18 16:05:41
3,124,16.8178752507,0.56059584169125154,30.0,3,4,2013-04-18 16:05:41,2013-04-18 16:06:11
4,125,67.4776564292,2.2492552143081195,30.0,4,5,2013-04-18 16:06:11,2013-04-18 16:06:41
5,125,44.1240593784,5.6751408066411928,34.0,5,7,2013-04-18 16:06:41,2013-04-18 16:07:15
6,114,148.830728047,5.6751408066411928,34.0,5,7,2013-04-18 16:06:41,2013-04-18 16:07:15
7,103,19.4746445193,0.84100138393406598,32.0,7,9,2013-04-18 16:07:15,2013-04-18 16:07:47
8,101,7.43739976655,0.84100138393406598,32.0,7,9,2013-04-18 16:07:15,2013-04-18 16:07:47
9,101,112.780353499,3.5243860468559607,32.0,9,10,2013-04-18 16:07:47,2013-04-18 16:08:19
10,88,0.46688225808,0.015562741936015813,30.0,10,11,2013-04-18 16:08:19,2013-04-18 16:08:49
11,88,44.5538989869,1.2729685424829191,35.0,11,12,2013-04-18 16:08:49,2013-04-18 16:09:24
12,86,43.8269404992,6.4600835431553287,64.0,12,19,2013-04-18 16:09:24,2013-04-18 16:10:28
13,86,0.0,0,64.0,12,19,2013-04-18 16:09:24,2013-04-18 16:10:28
14,86,113.984553332,6.4600835431553287,64.0,12,19,2013-04-18 16:09:24,2013-04-18 16:10:28
15,62,63.7896197693,6.4600835431553287,64.0,12,19,2013-04-18 16:09:24,2013-04-18 16:10:28
16,62,0.0154257167915,6.4600835431553287,64.0,12,19,2013-04-18 16:09:24,2013-04-18 16:10:28
17,56,87.6458360547,6.4600835431553287,64.0,12,19,2013-04-18 16:09:24,2013-04-18 16:10:28
18,48,104.18297139,6.4600835431553287,64.0,12,19,2013-04-18 16:09:24,2013-04-18 16:10:28
19,48,14.5441928699,7.2546214474729354,32.0,19,22,2013-04-18 16:10:28,2013-04-18 16:11:00
20,52,145.763394401,7.2546214474729354,32.0,19,22,2013-04-18 16:10:28,2013-04-18 16:11:00
21,51,71.8402990481,7.2546214474729354,32.0,19,22,2013-04-18 16:10:28,2013-04-18 16:11:00
22,51,0.0,0,32.0,22,26,2013-04-18 16:11:00,2013-04-18 16:11:32
23,51,0.0,0,32.0,22,26,2013-04-18 16:11:00,2013-04-18 16:11:32
24,45,47.9382433025,4.1580892003921388,32.0,22,26,2013-04-18 16:11:00,2013-04-18 16:11:32
25,42,85.1206111101,4.1580892003921388,32.0,22,26,2013-04-18 16:11:00,2013-04-18 16:11:32
26,38,84.7328561844,2.6479017557615832,32.0,26,27,2013-04-18 16:11:32,2013-04-18 16:12:04
27,32,5.19883959857,3.7682775951318765,32.0,27,30,2013-04-18 16:12:04,2013-04-18 16:12:36
28,31,65.5378061174,3.7682775951318765,32.0,27,30,2013-04-18 16:12:04,2013-04-18 16:12:36
29,31,49.8482373283,3.7682775951318765,32.0,27,30,2013-04-18 16:12:04,2013-04-18 16:12:36
30,31,13.8096402108,2.5923780978529543,25.0,30,32,2013-04-18 16:12:36,2013-04-18 16:13:01
31,26,50.9998122355,2.5923780978529543,25.0,30,32,2013-04-18 16:12:36,2013-04-18 16:13:01
32,29,53.2938104958,2.9665442309182173,31.0,32,34,2013-04-18 16:13:01,2013-04-18 16:13:32
33,35,38.6690606627,2.9665442309182173,31.0,32,34,2013-04-18 16:13:01,2013-04-18 16:13:32
34,40,38.0552303634,1.189225948857229,32.0,34,35,2013-04-18 16:13:32,2013-04-18 16:14:04
35,40,43.2747983697,1.6039580921147745,32.0,35,37,2013-04-18 16:14:04,2013-04-18 16:14:36
36,47,8.05186057793,1.6039580921147745,32.0,35,37,2013-04-18 16:14:04,2013-04-18 16:14:36
37,47,107.129388357,4.508469827146766,33.0,37,42,2013-04-18 16:14:36,2013-04-18 16:15:09
38,50,21.1591206144,4.508469827146766,33.0,37,42,2013-04-18 16:14:36,2013-04-18 16:15:09
39,53,16.8208660747,4.508469827146766,33.0,37,42,2013-04-18 16:14:36,2013-04-18 16:15:09
40,54,3.67012924934,4.508469827146766,33.0,37,42,2013-04-18 16:14:36,2013-04-18 16:15:09
41,54,0.0,0,33.0,37,42,2013-04-18 16:14:36,2013-04-18 16:15:09
42,54,0.901863065083,0.028183220783830426,32.0,42,43,2013-04-18 16:15:09,2013-04-18 16:15:41
43,55,40.7068847638,1.2335419625400386,33.0,43,44,2013-04-18 16:15:41,2013-04-18 16:16:14
44,60,53.4218881722,5.0267343798180972,32.0,44,47,2013-04-18 16:16:14,2013-04-18 16:16:46
45,65,101.589921077,5.0267343798180972,32.0,44,47,2013-04-18 16:16:14,2013-04-18 16:16:46
46,65,5.84369090459,5.0267343798180972,32.0,44,47,2013-04-18 16:16:14,2013-04-18 16:16:46
47,81,113.724688361,3.5538965112934529,32.0,47,48,2013-04-18 16:16:46,2013-04-18 16:17:18
48,80,23.4886543945,0.73402044982809911,32.0,48,50,2013-04-18 16:17:18,2013-04-18 16:17:50
49,80,0.0,0,32.0,48,50,2013-04-18 16:17:18,2013-04-18 16:17:50
50,80,11.5202367568,0.36000739865001702,32.0,50,51,2013-04-18 16:17:50,2013-04-18 16:18:22
51,73,49.7821695438,7.4399589670618624,32.0,51,55,2013-04-18 16:18:22,2013-04-18 16:18:54
52,92,136.463653568,7.4399589670618624,32.0,51,55,2013-04-18 16:18:22,2013-04-18 16:18:54
53,99,32.9611561815,7.4399589670618624,32.0,51,55,2013-04-18 16:18:22,2013-04-18 16:18:54
54,99,18.8717076525,7.4399589670618624,32.0,51,55,2013-04-18 16:18:22,2013-04-18 16:18:54
55,98,134.653271868,4.3436539312122422,31.0,55,56,2013-04-18 16:18:54,2013-04-18 16:19:25
56,98,12.0690373028,12.103134959779734,33.0,56,60,2013-04-18 16:19:25,2013-04-18 16:19:58
57,96,229.758354351,12.103134959779734,33.0,56,60,2013-04-18 16:19:25,2013-04-18 16:19:58
58,75,118.870175992,12.103134959779734,33.0,56,60,2013-04-18 16:19:25,2013-04-18 16:19:58
59,75,38.7058860267,12.103134959779734,33.0,56,60,2013-04-18 16:19:25,2013-04-18 16:19:58
60,64,135.983646438,4.249488951191088,32.0,60,61,2013-04-18 16:19:58,2013-04-18 16:20:30
61,64,190.984334976,10.251854943209427,32.0,61,63,2013-04-18 16:20:30,2013-04-18 16:21:02
62,41,137.075023207,10.251854943209427,32.0,61,63,2013-04-18 16:20:30,2013-04-18 16:21:02
63,34,28.130818394,5.9357184677908688,32.0,63,66,2013-04-18 16:21:02,2013-04-18 16:21:34
64,30,89.6409457063,5.9357184677908688,32.0,63,66,2013-04-18 16:21:02,2013-04-18 16:21:34
65,30,72.171226869,5.9357184677908688,32.0,63,66,2013-04-18 16:21:02,2013-04-18 16:21:34
66,30,78.6841607028,9.9096367932082376,33.0,66,70,2013-04-18 16:21:34,2013-04-18 16:22:07
67,30,83.1280118724,9.9096367932082376,33.0,66,70,2013-04-18 16:21:34,2013-04-18 16:22:07
68,34,28.130818394,9.9096367932082376,33.0,66,70,2013-04-18 16:21:34,2013-04-18 16:22:07
69,41,137.075023207,9.9096367932082376,33.0,66,70,2013-04-18 16:21:34,2013-04-18 16:22:07
70,64,195.780340009,6.5260113336321819,30.0,70,71,2013-04-18 16:22:07,2013-04-18 16:22:37
71,64,101.524220678,3.8584600413319698,34.0,71,73,2013-04-18 16:22:37,2013-04-18 16:23:11
72,64,29.6634207275,3.8584600413319698,34.0,71,73,2013-04-18 16:22:37,2013-04-18 16:23:11
73,127,231.174308275,21.24731020530513,31.0,73,75,2013-04-18 16:23:11,2013-04-18 16:23:42
74,127,427.49230809,21.24731020530513,31.0,73,75,2013-04-18 16:23:11,2013-04-18 16:23:42
75,127,242.814865272,8.9931431582327956,27.0,75,76,2013-04-18 16:23:42,2013-04-18 16:24:09
76,128,1.97948381316,0.06385431655364987,31.0,76,77,2013-04-18 16:24:09,2013-04-18 16:24:40
77,129,56.4399173993,9.7676943224620292,32.0,77,80,2013-04-18 16:24:40,2013-04-18 16:25:12
78,141,253.803700588,9.7676943224620292,32.0,77,80,2013-04-18 16:24:40,2013-04-18 16:25:12
79,142,2.3226003313,9.7676943224620292,32.0,77,80,2013-04-18 16:24:40,2013-04-18 16:25:12
80,146,115.494824054,3.6092132516983755,32.0,80,81,2013-04-18 16:25:12,2013-04-18 16:25:44
81,146,31.5192264497,7.7322707842006881,32.0,81,83,2013-04-18 16:25:44,2013-04-18 16:26:16
82,150,215.913438645,7.7322707842006881,32.0,81,83,2013-04-18 16:25:44,2013-04-18 16:26:16
83,150,4.18825235062,5.7366937278545391,32.0,83,87,2013-04-18 16:26:16,2013-04-18 16:26:48
84,151,15.7409462007,5.7366937278545391,32.0,83,87,2013-04-18 16:26:16,2013-04-18 16:26:48
85,151,32.1504385181,5.7366937278545391,32.0,83,87,2013-04-18 16:26:16,2013-04-18 16:26:48
86,155,131.494562222,5.7366937278545391,32.0,83,87,2013-04-18 16:26:16,2013-04-18 16:26:48
87,155,76.3072570772,2.3846017836622044,32.0,87,88,2013-04-18 16:26:48,2013-04-18 16:27:20
88,155,20.139543167,14.444712427283804,33.0,88,92,2013-04-18 16:27:20,2013-04-18 16:27:53
89,163,73.3324965039,14.444712427283804,33.0,88,92,2013-04-18 16:27:20,2013-04-18 16:27:53
90,173,24.0156513898,14.444712427283804,33.0,88,92,2013-04-18 16:27:20,2013-04-18 16:27:53
91,173,359.18781904,14.444712427283804,33.0,88,92,2013-04-18 16:27:20,2013-04-18 16:27:53
92,173,137.117540401,4.3656937656802546,32.0,92,94,2013-04-18 16:27:53,2013-04-18 16:28:25
93,174,2.58466010043,4.3656937656802546,32.0,92,94,2013-04-18 16:27:53,2013-04-18 16:28:25
94,176,37.0710742509,5.4813971106340418,24.0,94,96,2013-04-18 16:28:25,2013-04-18 16:28:49
95,176,94.4824564043,5.4813971106340418,24.0,94,96,2013-04-18 16:28:25,2013-04-18 16:28:49
96,176,34.7922512953,8.4527460959977709,32.0,96,98,2013-04-18 16:28:49,2013-04-18 16:29:21
97,175,235.695623777,8.4527460959977709,32.0,96,98,2013-04-18 16:28:49,2013-04-18 16:29:21
98,175,337.091036473,17.193509896087324,32.0,98,101,2013-04-18 16:29:21,2013-04-18 16:29:53
99,172,100.111309863,17.193509896087324,32.0,98,101,2013-04-18 16:29:21,2013-04-18 16:29:53
100,171,112.989970338,17.193509896087324,32.0,98,101,2013-04-18 16:29:21,2013-04-18 16:29:53
101,171,94.058206961,17.69547482851479,32.0,101,104,2013-04-18 16:29:53,2013-04-18 16:30:25
