,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,66,74.24344644102922,2.3201077012821631,32.0,0,1,2013-04-17 16:02:34,2013-04-17 16:03:06
1,66,180.48436016207359,8.6373968115225388,32.0,1,3,2013-04-17 16:03:06,2013-04-17 16:03:38
2,46,95.91233780664768,8.6373968115225388,32.0,1,3,2013-04-17 16:03:06,2013-04-17 16:03:38
3,46,159.50842132454667,6.2050027981432558,28.0,3,5,2013-04-17 16:03:38,2013-04-17 16:04:06
4,63,14.231657023464502,6.2050027981432558,28.0,3,5,2013-04-17 16:03:38,2013-04-17 16:04:06
5,63,262.97195941529577,8.2178737317279928,32.0,5,6,2013-04-17 16:04:06,2013-04-17 16:04:38
6,63,222.6288010734609,6.184133363151691,36.0,6,7,2013-04-17 16:04:38,2013-04-17 16:05:14
7,63,0.0,0,32.0,7,8,2013-04-17 16:05:14,2013-04-17 16:05:46
8,63,245.5008521149176,7.6719016285911747,32.0,8,9,2013-04-17 16:05:46,2013-04-17 16:06:18
9,63,9.54433224249999,3.2947837762413865,30.0,9,13,2013-04-17 16:06:18,2013-04-17 16:06:48
10,58,1.4851380946767685,3.2947837762413865,30.0,9,13,2013-04-17 16:06:18,2013-04-17 16:06:48
11,57,9.50860563376561,3.2947837762413865,30.0,9,13,2013-04-17 16:06:18,2013-04-17 16:06:48
12,83,78.30543731629922,3.2947837762413865,30.0,9,13,2013-04-17 16:06:18,2013-04-17 16:06:48
13,83,142.14872038822486,5.2456463989958317,35.0,13,15,2013-04-17 16:06:48,2013-04-17 16:07:23
14,84,41.44890357662924,5.2456463989958317,35.0,13,15,2013-04-17 16:06:48,2013-04-17 16:07:23
15,84,0.0,0,32.0,15,16,2013-04-17 16:07:23,2013-04-17 16:07:55
16,84,0.0,0,32.0,16,17,2013-04-17 16:07:55,2013-04-17 16:08:27
17,84,0.0,0,32.0,17,18,2013-04-17 16:08:27,2013-04-17 16:08:59
18,84,0.0,0,32.0,18,19,2013-04-17 16:08:59,2013-04-17 16:09:31
19,84,38.576316380739286,6.8933943633805423,32.0,19,22,2013-04-17 16:09:31,2013-04-17 16:10:03
20,69,63.60853979934308,6.8933943633805423,32.0,19,22,2013-04-17 16:09:31,2013-04-17 16:10:03
21,89,118.40376344809499,6.8933943633805423,32.0,19,22,2013-04-17 16:09:31,2013-04-17 16:10:03
22,89,157.3301867098112,8.1999495958271869,33.0,22,25,2013-04-17 16:10:03,2013-04-17 16:10:36
23,90,3.985794362345087,8.1999495958271869,33.0,22,25,2013-04-17 16:10:03,2013-04-17 16:10:36
24,94,109.28235559014091,8.1999495958271869,33.0,22,25,2013-04-17 16:10:03,2013-04-17 16:10:36
25,94,29.84396691554653,4.773882139437541,33.0,25,29,2013-04-17 16:10:36,2013-04-17 16:11:09
26,95,5.074481784276732,4.773882139437541,33.0,25,29,2013-04-17 16:10:36,2013-04-17 16:11:09
