,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,47,0.0,0,32.0,0,4,2013-04-18 16:00:15,2013-04-18 16:00:47
1,47,0.0,0,32.0,0,4,2013-04-18 16:00:15,2013-04-18 16:00:47
2,47,0.0,0,32.0,0,4,2013-04-18 16:00:15,2013-04-18 16:00:47
3,47,0.0,0,32.0,0,4,2013-04-18 16:00:15,2013-04-18 16:00:47
4,47,68.0248673925,4.3029590635982089,32.0,4,7,2013-04-18 16:00:47,2013-04-18 16:01:19
5,39,41.7254133394,4.3029590635982089,32.0,4,7,2013-04-18 16:00:47,2013-04-18 16:01:19
6,39,27.9444093033,4.3029590635982089,32.0,4,7,2013-04-18 16:00:47,2013-04-18 16:01:19
7,37,119.77706422,3.6296080066659266,33.0,7,8,2013-04-18 16:01:19,2013-04-18 16:01:52
8,28,0.742875914469,3.6106379568792111,32.0,8,10,2013-04-18 16:01:52,2013-04-18 16:02:24
9,27,114.797538706,3.6106379568792111,32.0,8,10,2013-04-18 16:01:52,2013-04-18 16:02:24
10,27,51.3036972339,8.7592241257944146,33.0,10,13,2013-04-18 16:02:24,2013-04-18 16:02:57
11,15,97.2580693814,8.7592241257944146,33.0,10,13,2013-04-18 16:02:24,2013-04-18 16:02:57
12,12,140.492629536,8.7592241257944146,33.0,10,13,2013-04-18 16:02:24,2013-04-18 16:02:57
13,12,12.6161314353,4.7848103266240081,32.0,13,16,2013-04-18 16:02:57,2013-04-18 16:03:29
14,7,59.9326287803,4.7848103266240081,32.0,13,16,2013-04-18 16:02:57,2013-04-18 16:03:29
15,5,80.5651702364,4.7848103266240081,32.0,13,16,2013-04-18 16:02:57,2013-04-18 16:03:29
16,2,46.3965433195,1.8024929538440599,33.0,16,19,2013-04-18 16:03:29,2013-04-18 16:04:02
17,2,0.0,0,33.0,16,19,2013-04-18 16:03:29,2013-04-18 16:04:02
18,4,13.0857241573,1.8024929538440599,33.0,16,19,2013-04-18 16:03:29,2013-04-18 16:04:02
19,4,13.0857241573,9.0847091924263754,32.0,19,24,2013-04-18 16:04:02,2013-04-18 16:04:34
20,3,115.61421334,9.0847091924263754,32.0,19,24,2013-04-18 16:04:02,2013-04-18 16:04:34
21,3,106.439797493,9.0847091924263754,32.0,19,24,2013-04-18 16:04:02,2013-04-18 16:04:34
22,3,9.17441584724,9.0847091924263754,32.0,19,24,2013-04-18 16:04:02,2013-04-18 16:04:34
23,2,46.3965433195,9.0847091924263754,32.0,19,24,2013-04-18 16:04:02,2013-04-18 16:04:34
24,5,80.5651702364,2.5176615698869145,32.0,24,25,2013-04-18 16:04:34,2013-04-18 16:05:06
25,7,14.5535423086,6.6575434297343143,32.0,25,28,2013-04-18 16:05:06,2013-04-18 16:05:38
26,7,45.3790864716,6.6575434297343143,32.0,25,28,2013-04-18 16:05:06,2013-04-18 16:05:38
27,12,153.108760971,6.6575434297343143,32.0,25,28,2013-04-18 16:05:06,2013-04-18 16:05:38
28,15,78.8620340071,13.940129226712287,33.0,28,35,2013-04-18 16:05:38,2013-04-18 16:06:11
29,15,18.3960353743,13.940129226712287,33.0,28,35,2013-04-18 16:05:38,2013-04-18 16:06:11
30,14,140.532089653,13.940129226712287,33.0,28,35,2013-04-18 16:05:38,2013-04-18 16:06:11
31,24,20.6686148663,13.940129226712287,33.0,28,35,2013-04-18 16:05:38,2013-04-18 16:06:11
32,24,132.403844805,13.940129226712287,33.0,28,35,2013-04-18 16:05:38,2013-04-18 16:06:11
33,23,69.1616457756,13.940129226712287,33.0,28,35,2013-04-18 16:05:38,2013-04-18 16:06:11
34,23,0.0,0,33.0,28,35,2013-04-18 16:05:38,2013-04-18 16:06:11
35,23,0.0,0,32.0,35,36,2013-04-18 16:06:11,2013-04-18 16:06:43
36,21,31.7305759378,1.0941577909597739,29.0,36,37,2013-04-18 16:06:43,2013-04-18 16:07:12
37,19,6.28934677291,7.9542257159771106,33.0,37,40,2013-04-18 16:07:12,2013-04-18 16:07:45
38,17,173.391543998,7.9542257159771106,33.0,37,40,2013-04-18 16:07:12,2013-04-18 16:07:45
39,17,82.8085578559,7.9542257159771106,33.0,37,40,2013-04-18 16:07:12,2013-04-18 16:07:45
40,17,43.5474511747,13.104037445414351,27.0,40,44,2013-04-18 16:07:45,2013-04-18 16:08:12
41,16,82.353038297,13.104037445414351,27.0,40,44,2013-04-18 16:07:45,2013-04-18 16:08:12
42,16,193.416579383,13.104037445414351,27.0,40,44,2013-04-18 16:07:45,2013-04-18 16:08:12
43,16,34.4919421712,13.104037445414351,27.0,40,44,2013-04-18 16:07:45,2013-04-18 16:08:12
