,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,77,8.598654995321986,6.7251432122294101,30.0,0,4,2013-03-26 15:59:44,2013-03-26 16:00:14
1,65,107.43361198195588,6.7251432122294101,30.0,0,4,2013-03-26 15:59:44,2013-03-26 16:00:14
2,60,53.42188817222323,6.7251432122294101,30.0,0,4,2013-03-26 15:59:44,2013-03-26 16:00:14
3,55,32.30014121738122,6.7251432122294101,30.0,0,4,2013-03-26 15:59:44,2013-03-26 16:00:14
4,55,0.0,0,35.0,4,5,2013-03-26 16:00:14,2013-03-26 16:00:49
5,55,0.0,0,35.0,5,6,2013-03-26 16:00:49,2013-03-26 16:01:24
6,55,0.0,0,35.0,6,7,2013-03-26 16:01:24,2013-03-26 16:01:59
7,55,8.40674354644005,4.2002608610251873,35.0,7,12,2013-03-26 16:01:59,2013-03-26 16:02:34
8,54,4.571992314594792,4.2002608610251873,35.0,7,12,2013-03-26 16:01:59,2013-03-26 16:02:34
9,53,16.820866074741257,4.2002608610251873,35.0,7,12,2013-03-26 16:01:59,2013-03-26 16:02:34
10,50,21.159120614380072,4.2002608610251873,35.0,7,12,2013-03-26 16:01:59,2013-03-26 16:02:34
11,47,96.05040758572538,4.2002608610251873,35.0,7,12,2013-03-26 16:01:59,2013-03-26 16:02:34
12,47,19.130841349594945,8.0044058401772702,31.0,12,17,2013-03-26 16:02:34,2013-03-26 16:03:05
13,39,69.66982264264902,8.0044058401772702,31.0,12,17,2013-03-26 16:02:34,2013-03-26 16:03:05
14,37,119.77706421997559,8.0044058401772702,31.0,12,17,2013-03-26 16:02:34,2013-03-26 16:03:05
15,28,0.742875914468895,8.0044058401772702,31.0,12,17,2013-03-26 16:02:34,2013-03-26 16:03:05
16,27,38.81597691880693,8.0044058401772702,31.0,12,17,2013-03-26 16:02:34,2013-03-26 16:03:05
17,27,127.28525902076143,6.7980553515616799,31.0,17,19,2013-03-26 16:03:05,2013-03-26 16:03:36
18,15,83.45445687765064,6.7980553515616799,31.0,17,19,2013-03-26 16:03:05,2013-03-26 16:03:36
19,15,13.803612503751445,7.317580717911274,31.0,19,22,2013-03-26 16:03:36,2013-03-26 16:04:07
20,12,153.10876097121226,7.317580717911274,31.0,19,22,2013-03-26 16:03:36,2013-03-26 16:04:07
21,7,59.932628780285775,7.317580717911274,31.0,19,22,2013-03-26 16:03:36,2013-03-26 16:04:07
22,7,0.0,0,31.0,22,25,2013-03-26 16:04:07,2013-03-26 16:04:38
23,5,80.56517023638126,4.0955391469647378,31.0,22,25,2013-03-26 16:04:07,2013-03-26 16:04:38
24,2,46.39654331952561,4.0955391469647378,31.0,22,25,2013-03-26 16:04:07,2013-03-26 16:04:38
