,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,62,33.159411033936976,5.076424938420236,34.0,0,4,2013-04-16 16:00:10,2013-04-16 16:00:44
1,56,87.64583605470264,5.076424938420236,34.0,0,4,2013-04-16 16:00:10,2013-04-16 16:00:44
2,49,48.4851815400175,5.076424938420236,34.0,0,4,2013-04-16 16:00:10,2013-04-16 16:00:44
3,44,3.3080192776308905,5.076424938420236,34.0,0,4,2013-04-16 16:00:10,2013-04-16 16:00:44
4,44,102.8503468067581,3.4283448935586032,30.0,4,5,2013-04-16 16:00:44,2013-04-16 16:01:14
5,44,11.688360713543027,5.3154664816579711,37.0,5,8,2013-04-16 16:01:14,2013-04-16 16:01:51
6,36,30.64228545413416,5.3154664816579711,37.0,5,8,2013-04-16 16:01:14,2013-04-16 16:01:51
7,33,154.34161365366776,5.3154664816579711,37.0,5,8,2013-04-16 16:01:14,2013-04-16 16:01:51
8,33,2.530033009535341,5.7451974959271501,30.0,8,12,2013-04-16 16:01:51,2013-04-16 16:02:21
9,22,75.39020671399777,5.7451974959271501,30.0,8,12,2013-04-16 16:01:51,2013-04-16 16:02:21
10,18,20.087352318222926,5.7451974959271501,30.0,8,12,2013-04-16 16:01:51,2013-04-16 16:02:21
11,13,74.34833283605846,5.7451974959271501,30.0,8,12,2013-04-16 16:01:51,2013-04-16 16:02:21
12,13,84.16803327053285,7.5927995191948234,25.0,12,16,2013-04-16 16:02:21,2013-04-16 16:02:46
13,11,5.045722314182898,7.5927995191948234,25.0,12,16,2013-04-16 16:02:21,2013-04-16 16:02:46
14,10,34.549815393744986,7.5927995191948234,25.0,12,16,2013-04-16 16:02:21,2013-04-16 16:02:46
15,8,66.05641700140986,7.5927995191948234,25.0,12,16,2013-04-16 16:02:21,2013-04-16 16:02:46
16,8,58.8772646090295,7.8973531801556147,37.0,16,20,2013-04-16 16:02:46,2013-04-16 16:03:23
17,6,186.706418449986,7.8973531801556147,37.0,16,20,2013-04-16 16:02:46,2013-04-16 16:03:23
18,1,46.61838460674224,7.8973531801556147,37.0,16,20,2013-04-16 16:02:46,2013-04-16 16:03:23
19,1,0.0,0,37.0,16,20,2013-04-16 16:02:46,2013-04-16 16:03:23
20,1,0.0,0,20.0,20,22,2013-04-16 16:03:23,2013-04-16 16:03:43
21,0,81.98201628089713,4.0991008140448564,20.0,20,22,2013-04-16 16:03:23,2013-04-16 16:03:43
22,0,24.65914362134477,4.0490273563001526,30.0,22,24,2013-04-16 16:03:43,2013-04-16 16:04:13
23,9,96.81167706765982,4.0490273563001526,30.0,22,24,2013-04-16 16:03:43,2013-04-16 16:04:13
24,9,0.0,0,30.0,24,25,2013-04-16 16:04:13,2013-04-16 16:04:43
25,9,139.92067906877273,5.1822473729175087,27.0,25,26,2013-04-16 16:04:43,2013-04-16 16:05:10
26,9,129.97852017466664,5.8138279016465422,50.0,26,30,2013-04-16 16:05:10,2013-04-16 16:06:00
27,10,34.549815393744986,5.8138279016465422,50.0,26,30,2013-04-16 16:05:10,2013-04-16 16:06:00
28,11,5.045722314182898,5.8138279016465422,50.0,26,30,2013-04-16 16:05:10,2013-04-16 16:06:00
29,13,121.11733719973259,5.8138279016465422,50.0,26,30,2013-04-16 16:05:10,2013-04-16 16:06:00
30,13,37.39902890685872,7.7196271409116513,29.0,30,34,2013-04-16 16:06:00,2013-04-16 16:06:29
31,18,20.087352318222926,7.7196271409116513,29.0,30,34,2013-04-16 16:06:00,2013-04-16 16:06:29
32,22,75.39020671399777,7.7196271409116513,29.0,30,34,2013-04-16 16:06:00,2013-04-16 16:06:29
33,33,90.99259914735849,7.7196271409116513,29.0,30,34,2013-04-16 16:06:00,2013-04-16 16:06:29
34,33,65.8790475158446,2.9225004445888514,32.0,34,36,2013-04-16 16:06:29,2013-04-16 16:07:01
35,36,27.64096671099864,2.9225004445888514,32.0,34,36,2013-04-16 16:06:29,2013-04-16 16:07:01
36,36,3.0013187431355206,5.7651288666802492,42.0,36,40,2013-04-16 16:07:01,2013-04-16 16:07:43
