,easting,northing,timestamp,node_id
0,728431.0661628324,4631725.965999134,2013-04-18 16:25:17,-1
1,728418.447135644,4631714.499849314,0,33
2,728414.5658626398,4631711.040997909,0,32
3,728318.3565299828,4631624.819116835,0,25
4,728318.3565299828,4631624.819116835,2013-04-18 16:26:20,-1
5,728318.3565299828,4631624.819116835,0,25
6,728284.9363738121,4631663.342794701,0,26
7,728249.9793428499,4631703.570101639,0,29
8,728224.6153150843,4631732.758495703,0,36
9,728171.3061258662,4631794.180820486,0,40
10,728160.8974556539,4631806.028582673,2013-04-18 16:27:24,-1
11,728095.4574558064,4631880.862325015,0,48
12,728082.9781589297,4631895.141808277,2013-04-18 16:28:28,-1
13,728081.5337174479,4631896.7946159765,0,51
14,728070.4692057241,4631909.46419039,0,53
15,728067.4618237438,4631912.907846492,0,54
16,728040.728517388,4631943.606029237,0,55
17,728005.7003876325,4631983.94122803,0,61
18,727978.0331741521,4632015.800782563,2013-04-18 16:29:33,-1
19,727935.2773578018,4632065.074309647,0,65
20,727849.4129105425,4632132.246565968,0,80
21,727815.8044348685,4632124.043413933,2013-04-18 16:30:36,-1
22,727815.8044348685,4632124.043413933,0,74
23,727767.0900048222,4632120.836734956,0,73
24,727732.5353298681,4631991.826355498,0,62
25,727716.8329913719,4631974.87708015,0,60
26,727673.1026134198,4631938.432602384,2013-04-18 16:31:41,-1
27,727646.6108911196,4631831.1265771575,0,43
28,727730.2231882211,4631634.143812593,2013-04-18 16:32:45,-1
29,727737.9335099878,4631615.610326653,0,24
30,727744.8260648372,4631599.042711489,0,23
31,727696.4856245816,4631555.373154681,0,21
32,727685.0132996468,4631526.552047027,0,20
33,727689.7435908802,4631522.407143207,0,18
34,727782.8848043903,4631431.685291793,2013-04-18 16:33:42,-1
35,727745.64308949,4631294.622136246,2013-04-18 16:34:40,-1
36,727745.64308949,4631294.622136246,0,16
37,727625.846719051,4631518.666627486,2013-04-18 16:35:41,-1
38,727632.9573643468,4631521.111998737,0,17
39,727685.0132996468,4631526.552047027,0,20
40,727696.4856245816,4631555.373154681,0,21
41,727744.8260648372,4631599.042711489,0,23
42,727845.1239324361,4631492.314807823,0,15
43,727893.5305659676,4631492.205136178,2013-04-18 16:36:46,-1
44,727981.5276204003,4631518.124125179,0,14
45,727977.5889129573,4631422.740378108,0,12
46,728022.6800876791,4631276.570257835,0,8
47,728025.9088060167,4631216.963775944,0,6
48,728025.9088060167,4631216.963775944,2013-04-18 16:37:47,-1
49,728025.9088060167,4631216.963775944,0,6
50,727971.2397848051,4631165.8859306965,0,3
51,727991.5890208408,4631124.190033719,0,4
52,728079.7287725939,4631127.509767803,2013-04-18 16:38:46,-1
53,727991.5890208408,4631124.190033719,0,4
54,727975.6453295524,4631156.858901889,2013-04-18 16:39:50,-1
55,727971.2397848051,4631165.8859306965,0,3
56,728025.9088060167,4631216.963775944,0,6
57,728022.6800876791,4631276.570257835,0,8
58,727977.5889129573,4631422.740378108,0,12
59,727981.5276204003,4631518.124125179,0,14
60,727985.3462605994,4631573.46055902,2013-04-18 16:40:54,-1
61,728028.8800985152,4631668.137400655,0,27
62,728029.4367409274,4631668.629349686,0,28
63,728119.1858354583,4631747.949240912,0,38
64,728155.1069913093,4631779.810038064,2013-04-18 16:41:59,-1
65,728171.3061258662,4631794.180820486,0,40
66,728221.7063104637,4631736.106152523,2013-04-18 16:42:56,-1
67,728224.6153150843,4631732.758495703,0,36
68,728249.9793428499,4631703.570101639,0,29
69,728284.9363738121,4631663.342794701,0,26
70,728318.3565299828,4631624.819116835,0,25
71,728361.3014038019,4631663.2088373955,2013-04-18 16:44:00,-1
72,728414.5658626398,4631711.040997909,0,32
73,728418.447135644,4631714.499849314,0,33
74,728481.1384234717,4631771.503874317,0,39
75,728544.1972221239,4631828.679746408,0,42
76,728566.1572645452,4631848.236630504,2013-04-18 16:45:04,-1
77,728579.9923637044,4631860.566779733,0,45
78,728633.5385800088,4631908.460396009,0,52
79,728734.8370986526,4631852.871032399,2013-04-18 16:46:06,-1
80,728762.6295774309,4631843.016164694,0,50
81,728873.1673577782,4631881.574673016,0,49
82,728832.6581563986,4631943.867097005,2013-04-18 16:47:13,-1
83,728825.3748999406,4631955.043469166,0,56
84,728790.5880432073,4632008.531362718,0,63
85,728704.1888070414,4632140.5905886125,0,84
86,728680.2630826859,4632178.727404296,0,86
87,728615.4323211499,4632279.959894167,0,97
88,728607.6728964146,4632291.854142524,2013-04-18 16:48:16,-1
89,728604.7917315736,4632296.270615568,0,99
