,easting,northing,timestamp,node_id
0,728053.3674924443,4631929.058436201,2013-04-18 16:00:20,-1
1,728067.4618237438,4631912.907846492,0,54
2,728070.4692057241,4631909.46419039,0,53
3,728081.5337174479,4631896.7946159765,0,51
4,728095.4574558064,4631880.862325015,0,48
5,728171.3061258662,4631794.180820486,0,40
6,728220.2153615786,4631737.8219233295,2013-04-18 16:01:25,-1
7,728224.6153150843,4631732.758495703,0,36
8,728249.9793428499,4631703.570101639,0,29
9,728274.2935781017,4631675.590145175,2013-04-18 16:02:29,-1
10,728284.9363738121,4631663.342794701,0,26
11,728318.3565299828,4631624.819116835,0,25
12,728414.5658626398,4631711.040997909,0,32
13,728418.447135644,4631714.499849314,0,33
14,728481.1384234717,4631771.503874317,0,39
15,728544.1972221239,4631828.679746408,0,42
16,728571.562382958,4631853.053792699,2013-04-18 16:04:28,-1
17,728579.9923637044,4631860.566779733,0,45
18,728633.5385800088,4631908.460396009,0,52
19,728740.0416991321,4631851.020657117,2013-04-18 16:05:32,-1
20,728762.6295774309,4631843.016164694,0,50
21,728858.1766980655,4631873.943519975,2013-04-18 16:06:37,-1
22,728873.1673577782,4631881.574673016,0,49
23,728829.7755564903,4631948.290531709,2013-04-18 16:07:34,-1
24,728825.3748999406,4631955.043469166,0,56
25,728790.5880432073,4632008.531362718,0,63
26,728704.1888070414,4632140.5905886125,0,84
27,728680.2630826859,4632178.727404296,0,86
28,728615.4323211499,4632279.959894167,0,97
29,728604.7917315736,4632296.270615568,0,99
30,728602.390590769,4632299.951309166,2013-04-18 16:08:38,-1
31,728521.0369477859,4632419.27447721,0,110
32,728570.5504185287,4632446.759614313,0,112
33,728599.5649814425,4632467.6329293605,2013-04-18 16:09:44,-1
34,728654.9685924957,4632506.042316942,0,117
35,728930.0765292626,4632755.14893453,0,130
36,728953.94695301,4632787.982895686,2013-04-18 16:10:49,-1
37,729017.1058609281,4632973.471231073,0,146
38,729003.5699407832,4633050.835861301,2013-04-18 16:11:39,-1
39,729017.1058609281,4632973.471231073,0,146
40,728944.4262164711,4632772.666746138,2013-04-18 16:12:46,-1
41,728930.0765292626,4632755.14893453,0,130
42,728673.84098052,4632519.769336036,2013-04-18 16:13:49,-1
43,728654.9685924957,4632506.042316942,0,117
44,728570.5504185287,4632446.759614313,0,112
45,728533.0284310998,4632426.370580639,2013-04-18 16:14:53,-1
46,728521.0369477859,4632419.27447721,0,110
47,728473.3733856522,4632488.788154804,2013-04-18 16:15:50,-1
48,728473.3733856522,4632488.788154804,2013-04-18 16:16:57,-1
49,728457.8832124146,4632511.287469884,0,118
50,728380.6059180144,4632487.69534809,0,116
51,728331.3095799733,4632480.83452277,2013-04-18 16:17:54,-1
52,728330.465525033,4632480.753269473,0,114
53,727904.1882549673,4632405.653728927,0,109
54,727845.3974466474,4632377.836134387,2013-04-18 16:18:58,-1
55,727845.3974466474,4632377.836134387,2013-04-18 16:20:02,-1
56,727802.9782408979,4632351.179509733,0,106
57,727730.9223290039,4632297.74862613,0,100
58,727704.5252371915,4632283.234221172,0,98
59,727673.515520329,4632271.288849838,2013-04-18 16:21:07,-1
60,727661.4619096294,4632267.187655034,0,95
61,727677.4214841528,4632217.900641248,0,89
62,727722.1352460867,4632147.782473846,2013-04-18 16:22:11,-1
63,727767.0900048222,4632120.836734956,0,73
64,727812.4805551365,4632122.760957754,2013-04-18 16:23:15,-1
65,727815.8044348685,4632124.043413933,0,74
66,727849.4129105425,4632132.246565968,0,80
67,727935.2773578018,4632065.074309647,0,65
68,728005.7003876325,4631983.94122803,0,61
69,728028.5680461673,4631957.608918559,2013-04-18 16:24:19,-1
70,728040.728517388,4631943.606029237,0,55
71,728053.3674924443,4631929.058436201,2013-04-18 16:25:19,-1
