,easting,northing,timestamp,node_id
0,728847.6673059367,4631868.625477565,2013-04-16 20:30:34,-1
1,728873.1673577782,4631881.574673016,0,49
2,728825.3748999406,4631955.043469166,2013-04-16 20:31:24,-1
3,728825.3748999406,4631955.043469166,0,56
4,728790.5880432073,4632008.531362718,0,63
5,728716.3593446759,4632121.99465392,2013-04-16 20:32:24,-1
6,728704.1888070414,4632140.5905886125,0,84
7,728680.2630826859,4632178.727404296,0,86
8,728615.4323211499,4632279.959894167,0,97
9,728604.7917315736,4632296.270615568,0,99
10,728596.7503834756,4632308.597147358,2013-04-16 20:33:24,-1
11,728541.8349181057,4632389.544603778,2013-04-16 20:34:24,-1
12,728521.0369477859,4632419.27447721,0,110
13,728570.5504185287,4632446.759614313,0,112
14,728628.0037453469,4632487.319643623,2013-04-16 20:35:24,-1
15,728654.9685924957,4632506.042316942,0,117
16,728930.0765292626,4632755.14893453,0,130
17,728984.5699413823,4632869.422895322,2013-04-16 20:36:25,-1
18,729017.1058609281,4632973.471231073,0,146
19,729004.0765792531,4633049.877309745,2013-04-16 20:37:17,-1
20,729017.1058609281,4632973.471231073,0,146
21,728930.0765292626,4632755.14893453,0,130
22,728889.4204998221,4632711.14247792,2013-04-16 20:38:16,-1
23,728654.9685924957,4632506.042316942,0,117
24,728570.5504185287,4632446.759614313,0,112
25,728538.7937949221,4632429.87206387,2013-04-16 20:39:16,-1
26,728521.0369477859,4632419.27447721,0,110
27,728468.5042084767,4632495.793913666,2013-04-16 20:40:16,-1
28,728468.5042084767,4632495.793913666,2013-04-16 20:41:16,-1
29,728457.8832124146,4632511.287469884,0,118
30,728380.6059180144,4632487.69534809,0,116
31,728380.6059180144,4632487.69534809,2013-04-16 20:42:06,-1
32,728380.6059180144,4632487.69534809,0,116
33,728330.465525033,4632480.753269473,0,114
34,728014.6086586649,4632458.417493391,2013-04-16 20:43:06,-1
35,727904.1882549673,4632405.653728927,0,109
36,727828.9474219569,4632368.547726409,2013-04-16 20:44:08,-1
37,727802.9782408979,4632351.179509733,0,106
38,727730.9223290039,4632297.74862613,0,100
39,727713.7600661599,4632288.230422614,2013-04-16 20:45:08,-1
40,727704.5252371915,4632283.234221172,0,98
41,727661.4619096294,4632267.187655034,0,95
42,727677.4214841528,4632217.900641248,0,89
43,727767.0900048222,4632120.836734956,0,73
44,727815.8044348685,4632124.043413933,0,74
45,727815.8044348685,4632124.043413933,2013-04-16 20:45:58,-1
46,727815.8044348685,4632124.043413933,0,74
47,727849.4129105425,4632132.246565968,0,80
48,727932.3892213341,4632068.521570442,2013-04-16 20:46:48,-1
49,727935.2773578018,4632065.074309647,0,65
50,728005.7003876325,4631983.94122803,0,61
51,728040.728517388,4631943.606029237,0,55
52,728054.5616882483,4631927.690016085,2013-04-16 20:47:49,-1
53,728067.4618237438,4631912.907846492,0,54
54,728070.4692057241,4631909.46419039,0,53
55,728081.5337174479,4631896.7946159765,0,51
56,728095.4574558064,4631880.862325015,0,48
57,728147.64411118,4631821.14844758,2013-04-16 20:48:49,-1
58,728147.64411118,4631821.14844758,2013-04-16 20:49:48,-1
59,728171.3061258662,4631794.180820486,0,40
60,728224.6153150843,4631732.758495703,0,36
61,728249.9793428499,4631703.570101639,0,29
62,728276.7562884716,4631672.756145742,2013-04-16 20:50:49,-1
63,728284.9363738121,4631663.342794701,0,26
64,728318.3565299828,4631624.819116835,0,25
65,728366.1448156355,4631667.550931222,2013-04-16 20:51:39,-1
66,728414.5658626398,4631711.040997909,0,32
67,728418.447135644,4631714.499849314,0,33
68,728481.1384234717,4631771.503874317,0,39
69,728544.1972221239,4631828.679746408,0,42
70,728574.575165908,4631855.738852122,2013-04-16 20:52:39,-1
71,728579.9923637044,4631860.566779733,0,45
72,728622.9588549815,4631898.929373804,2013-04-16 20:53:38,-1
73,728633.5385800088,4631908.460396009,0,52
74,728762.6295774309,4631843.016164694,0,50
75,728812.9499484766,4631854.025016505,2013-04-16 20:54:27,-1
76,728847.6673059367,4631868.625477565,2013-04-16 20:55:27,-1
