,easting,northing,timestamp,node_id
0,727722.8888736931,4632147.008077532,2013-04-16 11:00:08,-1
1,727767.0900048222,4632120.836734956,0,73
2,727815.8044348685,4632124.043413933,0,74
3,727849.4129105425,4632132.246565968,0,80
4,727935.2773578018,4632065.074309647,0,65
5,727998.0059116449,4631992.8016279945,2013-04-16 11:01:09,-1
6,728005.7003876325,4631983.94122803,0,61
7,728040.728517388,4631943.606029237,0,55
8,728067.4618237438,4631912.907846492,0,54
9,728070.4692057241,4631909.46419039,0,53
10,728081.5337174479,4631896.7946159765,0,51
11,728095.4574558064,4631880.862325015,0,48
12,728171.3061258662,4631794.180820486,0,40
13,728180.8810548149,4631783.137825161,2013-04-16 11:02:09,-1
14,728224.6153150843,4631732.758495703,0,36
15,728249.9793428499,4631703.570101639,0,29
16,728284.9363738121,4631663.342794701,0,26
17,728318.3565299828,4631624.819116835,0,25
18,728318.3565299828,4631624.819116835,2013-04-16 11:02:58,-1
19,728318.3565299828,4631624.819116835,0,25
20,728414.5658626398,4631711.040997909,0,32
21,728418.447135644,4631714.499849314,0,33
22,728481.1384234717,4631771.503874317,0,39
23,728544.1972221239,4631828.679746408,0,42
24,728579.9923637044,4631860.566779733,0,45
25,728593.9037799175,4631872.965084269,2013-04-16 11:03:58,-1
26,728633.5385800088,4631908.460396009,0,52
27,728762.6295774309,4631843.016164694,0,50
28,728851.4557318268,4631870.524279446,2013-04-16 11:04:49,-1
29,728873.1673577782,4631881.574673016,0,49
30,728825.3748999406,4631955.043469166,0,56
31,728813.9589166865,4631972.561844138,2013-04-16 11:05:49,-1
32,728790.5880432073,4632008.531362718,0,63
33,728704.1888070414,4632140.5905886125,0,84
34,728680.2630826859,4632178.727404296,0,86
35,728615.4323211499,4632279.959894167,0,97
36,728604.7917315736,4632296.270615568,0,99
37,728524.271848613,4632414.650314819,2013-04-16 11:06:48,-1
38,728521.0369477859,4632419.27447721,0,110
39,728570.5504185287,4632446.759614313,0,112
40,728654.9685924957,4632506.042316942,0,117
41,728930.0765292626,4632755.14893453,0,130
42,728961.4071032027,4632804.452681466,2013-04-16 11:07:45,-1
43,729017.1058609281,4632973.471231073,0,146
44,729009.2467855935,4633039.198594518,2013-04-16 11:08:33,-1
45,729009.2467855935,4633039.198594518,2013-04-16 11:10:10,-1
46,729009.2467855935,4633039.198594518,2013-04-16 11:11:11,-1
47,729009.2467855935,4633039.198594518,2013-04-16 11:12:12,-1
48,729009.2467855935,4633039.198594518,2013-04-16 11:13:11,-1
49,729009.2467855935,4633039.198594518,2013-04-16 11:14:12,-1
50,729017.1058609281,4632973.471231073,0,146
51,728952.7381078638,4632785.623678436,2013-04-16 11:15:08,-1
52,728930.0765292626,4632755.14893453,0,130
53,728654.9685924957,4632506.042316942,0,117
54,728570.5504185287,4632446.759614313,0,112
55,728537.1878577357,4632428.899580688,2013-04-16 11:16:12,-1
56,728521.0369477859,4632419.27447721,0,110
57,728471.6886675786,4632491.168617009,2013-04-16 11:17:02,-1
58,728457.8832124146,4632511.287469884,0,118
59,728380.6059180144,4632487.69534809,0,116
60,728330.465525033,4632480.753269473,0,114
61,728227.0574261562,4632496.594582412,2013-04-16 11:18:02,-1
62,727904.1882549673,4632405.653728927,0,109
63,727829.3797736453,4632368.825554579,2013-04-16 11:19:02,-1
64,727829.3797736453,4632368.825554579,2013-04-16 11:20:01,-1
65,727829.3797736453,4632368.825554579,2013-04-16 11:21:03,-1
66,727802.9782408979,4632351.179509733,0,106
67,727730.9223290039,4632297.74862613,0,100
68,727704.5252371915,4632283.234221172,0,98
69,727661.4619096294,4632267.187655034,0,95
70,727677.4214841528,4632217.900641248,0,89
71,727722.8888736931,4632147.008077532,2013-04-16 11:22:03,-1
