,easting,northing,timestamp,node_id
0,728013.7003647764,4632458.028153394,2013-04-17 11:01:01,-1
1,728330.465525033,4632480.753269473,0,114
2,728380.6059180144,4632487.69534809,0,116
3,728457.8832124146,4632511.287469884,2013-04-17 11:02:01,-1
4,728457.8832124146,4632511.287469884,0,118
5,728521.0369477859,4632419.27447721,0,110
6,728584.0450182658,4632328.073121564,2013-04-17 11:03:09,-1
7,728584.0450182658,4632328.073121564,2013-04-17 11:04:13,-1
8,728604.7917315736,4632296.270615568,0,99
9,728615.4323211499,4632279.959894167,0,97
10,728680.2630826859,4632178.727404296,0,86
11,728704.1888070414,4632140.5905886125,0,84
12,728790.5880432073,4632008.531362718,0,63
13,728825.3748999406,4631955.043469166,0,56
14,728848.6087480487,4631919.390442985,2013-04-17 11:05:17,-1
15,728873.1673577782,4631881.574673016,0,49
16,728762.6295774309,4631843.016164694,0,50
17,728633.5385800088,4631908.460396009,0,52
18,728633.5385800088,4631908.460396009,2013-04-17 11:06:21,-1
19,728579.9923637044,4631860.566779733,0,45
20,728564.5035619237,4631846.76281381,2013-04-17 11:07:17,-1
21,728544.1972221239,4631828.679746408,0,42
22,728481.1384234717,4631771.503874317,0,39
23,728418.447135644,4631714.499849314,0,33
24,728414.5658626398,4631711.040997909,0,32
25,728324.7107025573,4631630.476439135,2013-04-17 11:08:20,-1
26,728318.3565299828,4631624.819116835,0,25
27,728284.9363738121,4631663.342794701,0,26
28,728249.9793428499,4631703.570101639,0,29
29,728224.6153150843,4631732.758495703,0,36
30,728210.9974705462,4631748.429790902,2013-04-17 11:09:26,-1
31,728210.9974705462,4631748.429790902,2013-04-17 11:10:30,-1
32,728171.3061258662,4631794.180820486,0,40
33,728111.7156702427,4631862.259043204,2013-04-17 11:11:34,-1
34,728095.4574558064,4631880.862325015,0,48
35,728081.5337174479,4631896.7946159765,0,51
36,728081.4661718991,4631896.871959955,2013-04-17 11:12:38,-1
37,728070.4692057241,4631909.46419039,0,53
38,728067.4618237438,4631912.907846492,0,54
39,728040.728517388,4631943.606029237,0,55
40,728005.7003876325,4631983.94122803,0,61
41,727935.2773578018,4632065.074309647,0,65
42,727849.4129105425,4632132.246565968,0,80
43,727815.8044348685,4632124.043413933,0,74
44,727767.0900048222,4632120.836734956,2013-04-17 11:14:28,-1
45,727767.0900048222,4632120.836734956,0,73
46,727677.4214841528,4632217.900641248,0,89
47,727446.0743104117,4632118.56506877,0,72
48,727340.1646127906,4632114.151579408,0,71
49,727319.2082004836,4632125.3361944035,0,75
50,727317.9367674757,4632126.187100992,0,76
51,727283.199787957,4632101.757971481,2013-04-17 11:15:27,-1
52,727189.6187861804,4632034.731895082,0,64
53,726942.5518265516,4631822.7938673105,0,41
54,726846.6154333781,4631724.930683792,0,35
55,726826.2756694909,4631705.499430152,0,30
56,726813.7652440903,4631694.242149977,2013-04-17 11:16:31,-1
57,726694.7865765308,4631606.884675147,2013-04-17 11:17:35,-1
58,726694.7865765308,4631606.884675147,2013-04-17 11:18:38,-1
59,726826.2756694909,4631705.499430152,0,30
60,726846.6154333781,4631724.930683792,0,35
61,726942.5518265516,4631822.7938673105,0,41
62,727186.7683835584,4632032.632476581,2013-04-17 11:19:44,-1
63,727189.6187861804,4632034.731895082,0,64
64,726560.7472480233,4632440.196181254,2013-04-17 11:20:47,-1
65,726476.7471558265,4632538.38077754,0,120
66,726475.6063899212,4632539.998494856,0,121
67,726446.4651989108,4632588.313339565,0,122
68,726289.599219651,4632785.639860209,0,134
69,726287.580718046,4632786.788826514,0,135
70,726169.188016112,4632872.843706684,0,140
71,725961.3840906247,4632945.218032422,0,144
72,725927.6884310578,4632956.634588057,2013-04-17 11:21:51,-1
73,725916.0414234586,4632960.632804431,0,145
74,725700.7304960741,4633035.400425816,0,148
75,725721.7056098226,4633105.6445050165,0,154
76,725807.5717317185,4633307.470445348,2013-04-17 11:22:56,-1
77,725976.7996902689,4633512.421114316,0,163
78,725977.0630058944,4633514.992326621,0,164
79,725977.4410171846,4633570.790072091,2013-04-17 11:24:43,-1
80,725977.4410171846,4633570.790072091,2013-04-17 11:25:48,-1
81,725999.9242143015,4633654.962079878,2013-04-17 11:26:53,-1
82,726008.4390609311,4633676.260054164,0,165
83,725491.5438263956,4633439.928695295,0,162
84,725396.8752380656,4633407.369826293,0,161
85,725274.9937970752,4633353.638910313,2013-04-17 11:27:57,-1
86,725216.4680115134,4633309.526479639,0,160
87,724945.2539824713,4633006.308413826,0,147
88,724663.5897541773,4632590.623597024,0,124
89,724592.4215080189,4632483.4245547,0,115
90,724551.4174759471,4632421.519364893,2013-04-17 11:29:01,-1
91,724483.1348884702,4632318.42686764,0,103
92,724482.5949015496,4632317.611624362,0,102
93,724323.8752065124,4632078.939208444,0,67
94,724321.6679559294,4632075.024204837,0,66
95,724539.7263689227,4631876.258334426,0,46
96,724594.2072141122,4631803.261985268,2013-04-17 11:31:10,-1
97,724724.3757691057,4631719.684537819,0,47
98,724829.8435028784,4631741.422536865,2013-04-17 11:32:07,-1
99,724869.1678756645,4631954.998757289,2013-04-17 11:33:03,-1
100,724658.7622777103,4631959.699596804,0,59
101,724657.6473082518,4631958.718537036,0,58
102,724650.5087041771,4631952.437302049,0,57
103,724595.9626944353,4632013.113486113,2013-04-17 11:34:01,-1
104,724622.0067541562,4632139.270799711,0,82
105,724698.234536916,4632116.116649989,0,69
106,724761.2525663394,4632116.869504927,0,70
107,724942.7903130293,4632170.981882513,2013-04-17 11:35:04,-1
108,725026.6095814509,4632188.034203261,0,87
109,725030.5220191218,4632188.79537878,0,88
110,725164.7990262257,4632222.849553473,0,91
111,725166.645604616,4632227.576128727,0,92
112,725196.0250819996,4632239.951938545,0,94
113,725335.5781507143,4632458.845596893,2013-04-17 11:36:07,-1
114,725465.8074068483,4632670.73294262,0,125
115,725567.7251845751,4632836.368695109,2013-04-17 11:37:12,-1
116,725595.1891667517,4632860.111522691,0,139
117,725700.7304960741,4633035.400425816,0,148
118,725836.7235383856,4632986.753238271,2013-04-17 11:38:16,-1
119,725916.0414234586,4632960.632804431,0,145
120,725938.7969143365,4632952.852251755,2013-04-17 11:39:20,-1
121,725961.3840906247,4632945.218032422,0,144
122,726169.188016112,4632872.843706684,0,140
123,726287.580718046,4632786.788826514,0,135
124,726289.599219651,4632785.639860209,0,134
125,726398.4382692187,4632661.169893158,2013-04-17 11:40:24,-1
126,726446.4651989108,4632588.313339565,0,122
127,726463.5098969074,4632559.831573924,2013-04-17 11:41:29,-1
128,726475.6063899212,4632539.998494856,0,121
129,726476.7471558265,4632538.38077754,0,120
