,easting,northing,timestamp,node_id
0,727436.8076299455,4632828.144596266,2013-03-27 11:10:30,-1
1,727468.735433178,4632835.899050312,0,137
2,727460.5818054237,4632890.689890424,2013-03-27 11:11:35,-1
3,727226.2841460742,4633055.625763785,0,149
4,727195.0963574047,4633083.8080428,2013-03-27 11:12:39,-1
5,727111.9404279711,4633104.880091405,0,153
6,727209.1108120242,4632761.193828728,0,132
7,727150.5909270815,4632714.852593148,2013-03-27 11:13:35,-1
8,727120.8319229211,4632691.286774047,2013-03-27 11:16:39,-1
9,727209.1108120242,4632761.193828728,0,132
10,727533.023599693,4632469.410585545,2013-03-27 11:17:44,-1
11,727534.0742046069,4632465.283567259,0,113
12,727651.8194742398,4632281.053533272,2013-03-27 11:18:48,-1
13,727661.4619096294,4632267.187655034,0,95
14,727677.4214841528,4632217.900641248,0,89
15,727767.0900048222,4632120.836734956,0,73
16,727815.8044348685,4632124.043413933,0,74
17,727849.4129105425,4632132.246565968,0,80
18,727893.0133300193,4632113.950143812,2013-03-27 11:19:52,-1
19,727935.2773578018,4632065.074309647,0,65
20,728006.1047585672,4632127.180763112,0,77
21,728011.8029704532,4632132.210679295,0,79
22,728021.4737335388,4632140.120369079,0,83
23,728061.8809991395,4632175.5618629195,0,85
24,728114.3337081606,4632220.137771262,0,90
25,728147.1224198313,4632273.190092048,2013-03-27 11:20:55,-1
26,728147.1224198313,4632273.190092048,0,96
27,728160.1627588933,4632311.905502785,0,101
28,728166.0843970552,4632324.84418565,0,104
29,728179.1365034617,4632341.6973149255,0,105
30,728203.160662692,4632359.313082784,0,107
31,728271.3171141269,4632387.09313562,0,108
32,728330.465525033,4632480.753269473,0,114
33,728380.6059180144,4632487.69534809,0,116
34,728446.8618661171,4632506.595280394,2013-03-27 11:22:01,-1
35,728457.8832124146,4632511.287469884,0,118
36,728521.0369477859,4632419.27447721,0,110
37,728604.7917315736,4632296.270615568,0,99
38,728615.4323211499,4632279.959894167,0,97
39,728680.2630826859,4632178.727404296,0,86
40,728704.1888070414,4632140.5905886125,0,84
