,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,138.0,0.0,0,63.0,0,1,2013-04-18 11:25:46,2013-04-18 11:26:49
1,138.0,15.177794375100007,1.9273935735273331,64.0,1,4,2013-04-18 11:26:49,2013-04-18 11:27:53
2,133.0,44.478359950157746,1.9273935735273331,64.0,1,4,2013-04-18 11:26:49,2013-04-18 11:27:53
3,134.0,63.69703438049157,1.9273935735273331,64.0,1,4,2013-04-18 11:26:49,2013-04-18 11:27:53
4,134.0,72.46871588559024,1.1323236857123475,64.0,4,5,2013-04-18 11:27:53,2013-04-18 11:28:57
5,134.0,11.68195760000472,4.5823761250251884,65.0,5,9,2013-04-18 11:28:57,2013-04-18 11:30:02
6,135.0,198.64555072279487,4.5823761250251884,65.0,5,9,2013-04-18 11:28:57,2013-04-18 11:30:02
7,130.0,85.02183316533896,4.5823761250251884,65.0,5,9,2013-04-18 11:28:57,2013-04-18 11:30:02
8,126.0,2.505106638498706,4.5823761250251884,65.0,5,9,2013-04-18 11:28:57,2013-04-18 11:30:02
9,126.0,21.048732000500888,8.6966344274164236,64.0,9,16,2013-04-18 11:30:02,2013-04-18 11:31:06
10,125.0,111.60171580769163,8.6966344274164236,64.0,9,16,2013-04-18 11:30:02,2013-04-18 11:31:06
11,114.0,148.83072804735247,8.6966344274164236,64.0,9,16,2013-04-18 11:30:02,2013-04-18 11:31:06
12,103.0,19.47464451933768,8.6966344274164236,64.0,9,16,2013-04-18 11:30:02,2013-04-18 11:31:06
13,101.0,120.21775326594316,8.6966344274164236,64.0,9,16,2013-04-18 11:30:02,2013-04-18 11:31:06
14,88.0,45.02078124498265,8.6966344274164236,64.0,9,16,2013-04-18 11:30:02,2013-04-18 11:31:06
15,86.0,90.39024846884267,8.6966344274164236,64.0,9,16,2013-04-18 11:30:02,2013-04-18 11:31:06
