,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,24.0,37.268822758018,7.626568305374466,64.0,0,6,2013-03-26 19:40:03,2013-03-26 19:41:07
1,14.0,140.5320896530477,7.626568305374466,64.0,0,6,2013-03-26 19:40:03,2013-03-26 19:41:07
2,15.0,97.25806938140207,7.626568305374466,64.0,0,6,2013-03-26 19:40:03,2013-03-26 19:41:07
3,12.0,153.10876097121226,7.626568305374466,64.0,0,6,2013-03-26 19:40:03,2013-03-26 19:41:07
4,7.0,59.932628780285775,7.626568305374466,64.0,0,6,2013-03-26 19:40:03,2013-03-26 19:41:07
5,7.0,0.0,0,64.0,0,6,2013-03-26 19:40:03,2013-03-26 19:41:07
6,7.0,0.0,0,56.0,6,9,2013-03-26 19:41:07,2013-03-26 19:42:03
7,5.0,80.56517023638126,2.2671734563554797,56.0,6,9,2013-03-26 19:41:07,2013-03-26 19:42:03
8,2.0,46.39654331952561,2.2671734563554797,56.0,6,9,2013-03-26 19:41:07,2013-03-26 19:42:03
9,2.0,0.0,0,56.0,9,12,2013-03-26 19:42:03,2013-03-26 19:42:59
10,3.0,116.16381258430262,2.074353796148261,56.0,9,12,2013-03-26 19:42:03,2013-03-26 19:42:59
11,3.0,0.0,0,56.0,9,12,2013-03-26 19:42:03,2013-03-26 19:42:59
12,3.0,0.0,0,54.0,12,15,2013-03-26 19:42:59,2013-03-26 19:43:53
13,3.0,116.16381258430262,2.7903586410192509,54.0,12,15,2013-03-26 19:42:59,2013-03-26 19:43:53
14,2.0,34.51555403073695,2.7903586410192509,54.0,12,15,2013-03-26 19:42:59,2013-03-26 19:43:53
15,2.0,11.880989288788669,7.9030203433891986,65.0,15,21,2013-03-26 19:43:53,2013-03-26 19:44:58
16,5.0,80.56517023638126,7.9030203433891986,65.0,15,21,2013-03-26 19:43:53,2013-03-26 19:44:58
17,7.0,59.932628780285775,7.9030203433891986,65.0,15,21,2013-03-26 19:43:53,2013-03-26 19:44:58
18,12.0,153.10876097121226,7.9030203433891986,65.0,15,21,2013-03-26 19:43:53,2013-03-26 19:44:58
19,15.0,97.25806938140207,7.9030203433891986,65.0,15,21,2013-03-26 19:43:53,2013-03-26 19:44:58
20,27.0,110.95070366222782,7.9030203433891986,65.0,15,21,2013-03-26 19:43:53,2013-03-26 19:44:58
21,27.0,55.150532277340545,4.9219112964869485,65.0,21,26,2013-03-26 19:44:58,2013-03-26 19:46:03
22,28.0,0.742875914468895,4.9219112964869485,65.0,21,26,2013-03-26 19:44:58,2013-03-26 19:46:03
23,37.0,119.77706421997559,4.9219112964869485,65.0,21,26,2013-03-26 19:44:58,2013-03-26 19:46:03
24,39.0,69.66982264264902,4.9219112964869485,65.0,21,26,2013-03-26 19:44:58,2013-03-26 19:46:03
25,40.0,74.5839392172176,4.9219112964869485,65.0,21,26,2013-03-26 19:44:58,2013-03-26 19:46:03
26,40.0,0.0,0,64.0,26,27,2013-03-26 19:46:03,2013-03-26 19:47:07
27,40.0,6.746089515952496,3.3909649535017485,64.0,27,32,2013-03-26 19:47:07,2013-03-26 19:48:11
28,35.0,38.66906066267094,3.3909649535017485,64.0,27,32,2013-03-26 19:47:07,2013-03-26 19:48:11
29,29.0,53.29381049579379,3.3909649535017485,64.0,27,32,2013-03-26 19:47:07,2013-03-26 19:48:11
30,26.0,50.999812235480974,3.3909649535017485,64.0,27,32,2013-03-26 19:47:07,2013-03-26 19:48:11
31,31.0,67.31298411421372,3.3909649535017485,64.0,27,32,2013-03-26 19:47:07,2013-03-26 19:48:11
32,31.0,61.882699542278615,4.2731094568875605,64.0,32,37,2013-03-26 19:48:11,2013-03-26 19:49:15
33,32.0,5.1988395985706015,4.2731094568875605,64.0,32,37,2013-03-26 19:48:11,2013-03-26 19:49:15
34,38.0,84.73285618437066,4.2731094568875605,64.0,32,37,2013-03-26 19:48:11,2013-03-26 19:49:15
35,42.0,85.12061111008711,4.2731094568875605,64.0,32,37,2013-03-26 19:48:11,2013-03-26 19:49:15
36,45.0,36.543998805496884,4.2731094568875605,64.0,32,37,2013-03-26 19:48:11,2013-03-26 19:49:15
37,45.0,11.394244496964447,3.1896779877501249,64.0,37,40,2013-03-26 19:49:15,2013-03-26 19:50:19
38,51.0,71.84029904808705,3.1896779877501249,64.0,37,40,2013-03-26 19:49:15,2013-03-26 19:50:19
39,52.0,120.90484767095651,3.1896779877501249,64.0,37,40,2013-03-26 19:49:15,2013-03-26 19:50:19
40,52.0,24.858546730184322,3.288550095199954,65.0,40,43,2013-03-26 19:50:19,2013-03-26 19:51:24
41,48.0,118.72716425943608,3.288550095199954,65.0,40,43,2013-03-26 19:50:19,2013-03-26 19:51:24
42,56.0,70.17004519837661,3.288550095199954,65.0,40,43,2013-03-26 19:50:19,2013-03-26 19:51:24
43,56.0,17.47579085632603,6.5977321445826131,66.0,43,50,2013-03-26 19:51:24,2013-03-26 19:52:30
44,62.0,63.805045486109,6.5977321445826131,66.0,43,50,2013-03-26 19:51:24,2013-03-26 19:52:30
45,86.0,157.81149383159942,6.5977321445826131,66.0,43,50,2013-03-26 19:51:24,2013-03-26 19:52:30
46,88.0,45.02078124498265,6.5977321445826131,66.0,43,50,2013-03-26 19:51:24,2013-03-26 19:52:30
47,101.0,120.21775326594316,6.5977321445826131,66.0,43,50,2013-03-26 19:51:24,2013-03-26 19:52:30
48,103.0,19.47464451933768,6.5977321445826131,66.0,43,50,2013-03-26 19:51:24,2013-03-26 19:52:30
49,114.0,11.644812338154535,6.5977321445826131,66.0,43,50,2013-03-26 19:51:24,2013-03-26 19:52:30
50,114.0,65.35443706134768,1.0054528778668874,65.0,50,51,2013-03-26 19:52:30,2013-03-26 19:53:35
51,114.0,71.83147864785026,11.935612121634639,64.0,51,60,2013-03-26 19:53:35,2013-03-26 19:54:39
52,125.0,111.60171580769163,11.935612121634639,64.0,51,60,2013-03-26 19:53:35,2013-03-26 19:54:39
53,126.0,23.55383863899959,11.935612121634639,64.0,51,60,2013-03-26 19:53:35,2013-03-26 19:54:39
