,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,114.0,132.4358243793564,7.6182929928231786,65.0,0,6,2013-03-26 11:30:01,2013-03-26 11:31:06
1,103.0,19.47464451933768,7.6182929928231786,65.0,0,6,2013-03-26 11:30:01,2013-03-26 11:31:06
2,101.0,120.21775326594316,7.6182929928231786,65.0,0,6,2013-03-26 11:30:01,2013-03-26 11:31:06
3,88.0,45.02078124498265,7.6182929928231786,65.0,0,6,2013-03-26 11:30:01,2013-03-26 11:31:06
4,86.0,157.81149383159942,7.6182929928231786,65.0,0,6,2013-03-26 11:30:01,2013-03-26 11:31:06
5,62.0,20.22854729228732,7.6182929928231786,65.0,0,6,2013-03-26 11:30:01,2013-03-26 11:31:06
6,62.0,43.57649819382168,1.4925854906939526,64.0,6,8,2013-03-26 11:31:06,2013-03-26 11:32:10
7,56.0,51.94897321059129,1.4925854906939526,64.0,6,8,2013-03-26 11:31:06,2013-03-26 11:32:10
8,56.0,35.69686284411135,6.0362318870480207,64.0,8,13,2013-03-26 11:32:10,2013-03-26 11:33:14
9,48.0,118.72716425943608,6.0362318870480207,64.0,8,13,2013-03-26 11:32:10,2013-03-26 11:33:14
10,52.0,145.76339440114083,6.0362318870480207,64.0,8,13,2013-03-26 11:32:10,2013-03-26 11:33:14
11,51.0,71.84029904808705,6.0362318870480207,64.0,8,13,2013-03-26 11:32:10,2013-03-26 11:33:14
12,45.0,14.29112021829801,6.0362318870480207,64.0,8,13,2013-03-26 11:32:10,2013-03-26 11:33:14
13,45.0,33.647123084163326,3.9918860071990898,66.0,13,18,2013-03-26 11:33:14,2013-03-26 11:34:20
14,42.0,85.12061111008711,3.9918860071990898,66.0,13,18,2013-03-26 11:33:14,2013-03-26 11:34:20
15,38.0,84.73285618437066,3.9918860071990898,66.0,13,18,2013-03-26 11:33:14,2013-03-26 11:34:20
16,32.0,5.1988395985706015,3.9918860071990898,66.0,13,18,2013-03-26 11:33:14,2013-03-26 11:34:20
17,31.0,54.76504649794819,3.9918860071990898,66.0,13,18,2013-03-26 11:33:14,2013-03-26 11:34:20
18,31.0,62.65830838891103,0.97903606857673486,64.0,18,19,2013-03-26 11:34:20,2013-03-26 11:35:24
19,31.0,11.772328769633141,2.89584892361168,63.0,19,24,2013-03-26 11:35:24,2013-03-26 11:36:27
20,26.0,50.999812235480974,2.89584892361168,63.0,19,24,2013-03-26 11:35:24,2013-03-26 11:36:27
21,29.0,53.29381049579379,2.89584892361168,63.0,19,24,2013-03-26 11:35:24,2013-03-26 11:36:27
22,35.0,38.66906066267094,2.89584892361168,63.0,19,24,2013-03-26 11:35:24,2013-03-26 11:36:27
23,40.0,27.703470023956967,2.89584892361168,63.0,19,24,2013-03-26 11:35:24,2013-03-26 11:36:27
24,40.0,53.626558709213114,2.9985941601354646,65.0,24,28,2013-03-26 11:36:27,2013-03-26 11:37:32
25,47.0,115.18124893532033,2.9985941601354646,65.0,24,28,2013-03-26 11:36:27,2013-03-26 11:37:32
26,50.0,21.159120614380072,2.9985941601354646,65.0,24,28,2013-03-26 11:36:27,2013-03-26 11:37:32
27,53.0,4.941692149891674,2.9985941601354646,65.0,24,28,2013-03-26 11:36:27,2013-03-26 11:37:32
28,53.0,11.87917392484958,3.0352766718620758,65.0,28,33,2013-03-26 11:37:32,2013-03-26 11:38:37
29,54.0,4.571992314594792,3.0352766718620758,65.0,28,33,2013-03-26 11:37:32,2013-03-26 11:38:37
30,55.0,40.70688476382127,3.0352766718620758,65.0,28,33,2013-03-26 11:37:32,2013-03-26 11:38:37
31,60.0,53.42188817222323,3.0352766718620758,65.0,28,33,2013-03-26 11:37:32,2013-03-26 11:38:37
32,65.0,86.71304449554606,3.0352766718620758,65.0,28,33,2013-03-26 11:37:32,2013-03-26 11:38:37
33,65.0,20.720567486409834,2.6477210468609376,64.0,33,36,2013-03-26 11:38:37,2013-03-26 11:39:41
34,81.0,113.72468836139048,2.6477210468609376,64.0,33,36,2013-03-26 11:38:37,2013-03-26 11:39:41
35,80.0,35.008891151299714,2.6477210468609376,64.0,33,36,2013-03-26 11:38:37,2013-03-26 11:39:41
36,80.0,0.0,0,64.0,36,41,2013-03-26 11:39:41,2013-03-26 11:40:45
37,73.0,49.78216954375028,5.116052271971113,64.0,36,41,2013-03-26 11:39:41,2013-03-26 11:40:45
38,72.0,134.7595872130023,5.116052271971113,64.0,36,41,2013-03-26 11:39:41,2013-03-26 11:40:45
39,61.0,23.18422917674395,5.116052271971113,64.0,36,41,2013-03-26 11:39:41,2013-03-26 11:40:45
40,59.0,119.70135947265469,5.116052271971113,64.0,36,41,2013-03-26 11:39:41,2013-03-26 11:40:45
41,59.0,60.38996682176405,3.1058875620263589,64.0,41,43,2013-03-26 11:40:45,2013-03-26 11:41:49
42,43.0,138.3868371479229,3.1058875620263589,64.0,41,43,2013-03-26 11:40:45,2013-03-26 11:41:49
43,43.0,95.68444227919215,6.347757623559664,63.0,43,49,2013-03-26 11:41:49,2013-03-26 11:42:52
44,25.0,17.94416853991589,6.347757623559664,63.0,43,49,2013-03-26 11:41:49,2013-03-26 11:42:52
45,23.0,69.16164577556178,6.347757623559664,63.0,43,49,2013-03-26 11:41:49,2013-03-26 11:42:52
46,21.0,31.730575937833446,6.347757623559664,63.0,43,49,2013-03-26 11:41:49,2013-03-26 11:42:52
47,19.0,6.2893467729072965,6.347757623559664,63.0,43,49,2013-03-26 11:41:49,2013-03-26 11:42:52
48,17.0,179.0985509788483,6.347757623559664,63.0,43,49,2013-03-26 11:41:49,2013-03-26 11:42:52
49,17.0,120.64900205015336,1.8280151825780813,66.0,49,50,2013-03-26 11:42:52,2013-03-26 11:43:58
50,17.0,0.0,0,63.0,50,52,2013-03-26 11:43:58,2013-03-26 11:45:01
51,16.0,310.26155985152315,4.9247866643098908,63.0,50,52,2013-03-26 11:43:58,2013-03-26 11:45:01
52,16.0,0.0,0,64.0,52,57,2013-03-26 11:45:01,2013-03-26 11:46:05
53,20.0,53.99611118178011,4.1343728629485028,64.0,52,57,2013-03-26 11:45:01,2013-03-26 11:46:05
54,21.0,31.730575937833446,4.1343728629485028,64.0,52,57,2013-03-26 11:45:01,2013-03-26 11:46:05
