,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,130.0,5.6386524434846015,5.1229660071569967,64.0,0,6,2013-03-27 20:44:05,2013-03-27 20:45:09
1,126.0,23.55383863899959,5.1229660071569967,64.0,0,6,2013-03-27 20:44:05,2013-03-27 20:45:09
2,125.0,111.60171580769163,5.1229660071569967,64.0,0,6,2013-03-27 20:44:05,2013-03-27 20:45:09
3,114.0,148.83072804735247,5.1229660071569967,64.0,0,6,2013-03-27 20:44:05,2013-03-27 20:45:09
4,103.0,19.47464451933768,5.1229660071569967,64.0,0,6,2013-03-27 20:44:05,2013-03-27 20:45:09
5,101.0,18.77024500118182,5.1229660071569967,64.0,0,6,2013-03-27 20:44:05,2013-03-27 20:45:09
6,101.0,101.44750826476135,5.3068325714028068,64.0,6,10,2013-03-27 20:45:09,2013-03-27 20:46:13
7,88.0,45.02078124498265,5.3068325714028068,64.0,6,10,2013-03-27 20:45:09,2013-03-27 20:46:13
8,86.0,157.81149383159942,5.3068325714028068,64.0,6,10,2013-03-27 20:45:09,2013-03-27 20:46:13
9,62.0,35.35750122843621,5.3068325714028068,64.0,6,10,2013-03-27 20:45:09,2013-03-27 20:46:13
10,62.0,28.447544257672785,1.3365874842043224,64.0,10,12,2013-03-27 20:46:13,2013-03-27 20:47:17
11,56.0,57.094054731403844,1.3365874842043224,64.0,10,12,2013-03-27 20:46:13,2013-03-27 20:47:17
12,56.0,30.5517813232988,6.2808723649152327,64.0,12,17,2013-03-27 20:47:17,2013-03-27 20:48:21
13,48.0,118.72716425943608,6.2808723649152327,64.0,12,17,2013-03-27 20:47:17,2013-03-27 20:48:21
14,52.0,145.76339440114083,6.2808723649152327,64.0,12,17,2013-03-27 20:47:17,2013-03-27 20:48:21
15,51.0,71.84029904808705,6.2808723649152327,64.0,12,17,2013-03-27 20:47:17,2013-03-27 20:48:21
16,45.0,35.093192322612126,6.2808723649152327,64.0,12,17,2013-03-27 20:47:17,2013-03-27 20:48:21
17,45.0,12.845050979849207,4.2418650821136694,65.0,17,22,2013-03-27 20:48:21,2013-03-27 20:49:26
18,42.0,85.12061111008711,4.2418650821136694,65.0,17,22,2013-03-27 20:48:21,2013-03-27 20:49:26
19,38.0,84.73285618437066,4.2418650821136694,65.0,17,22,2013-03-27 20:48:21,2013-03-27 20:49:26
20,32.0,5.1988395985706015,4.2418650821136694,65.0,17,22,2013-03-27 20:48:21,2013-03-27 20:49:26
21,31.0,87.82387246451097,4.2418650821136694,65.0,17,22,2013-03-27 20:48:21,2013-03-27 20:49:26
22,31.0,41.371811191981365,2.0579386701675162,64.0,22,25,2013-03-27 20:49:26,2013-03-27 20:50:30
