,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,125.0,98.05110963679847,11.664492072002192,56.0,0,8,2013-03-27 10:57:50,2013-03-27 10:58:46
1,114.0,148.83072804735247,11.664492072002192,56.0,0,8,2013-03-27 10:57:50,2013-03-27 10:58:46
2,103.0,19.47464451933768,11.664492072002192,56.0,0,8,2013-03-27 10:57:50,2013-03-27 10:58:46
3,101.0,120.21775326594316,11.664492072002192,56.0,0,8,2013-03-27 10:57:50,2013-03-27 10:58:46
4,88.0,45.02078124498265,11.664492072002192,56.0,0,8,2013-03-27 10:57:50,2013-03-27 10:58:46
5,86.0,157.81149383159942,11.664492072002192,56.0,0,8,2013-03-27 10:57:50,2013-03-27 10:58:46
6,62.0,63.805045486109,11.664492072002192,56.0,0,8,2013-03-27 10:57:50,2013-03-27 10:58:46
7,56.0,0.0,0,56.0,0,8,2013-03-27 10:57:50,2013-03-27 10:58:46
8,56.0,87.64583605470264,7.2873151925036455,55.0,8,12,2013-03-27 10:58:46,2013-03-27 10:59:41
9,48.0,118.72716425943608,7.2873151925036455,55.0,8,12,2013-03-27 10:58:46,2013-03-27 10:59:41
10,52.0,145.76339440114083,7.2873151925036455,55.0,8,12,2013-03-27 10:58:46,2013-03-27 10:59:41
11,51.0,48.66594087242095,7.2873151925036455,55.0,8,12,2013-03-27 10:58:46,2013-03-27 10:59:41
12,51.0,23.174358175666104,8.0988011784624057,64.0,12,21,2013-03-27 10:59:41,2013-03-27 11:00:45
13,45.0,47.93824330246133,8.0988011784624057,64.0,12,21,2013-03-27 10:59:41,2013-03-27 11:00:45
14,42.0,85.12061111008711,8.0988011784624057,64.0,12,21,2013-03-27 10:59:41,2013-03-27 11:00:45
15,38.0,84.73285618437066,8.0988011784624057,64.0,12,21,2013-03-27 10:59:41,2013-03-27 11:00:45
16,32.0,5.1988395985706015,8.0988011784624057,64.0,12,21,2013-03-27 10:59:41,2013-03-27 11:00:45
17,31.0,129.19568365649238,8.0988011784624057,64.0,12,21,2013-03-27 10:59:41,2013-03-27 11:00:45
18,26.0,50.999812235480974,8.0988011784624057,64.0,12,21,2013-03-27 10:59:41,2013-03-27 11:00:45
19,29.0,53.29381049579379,8.0988011784624057,64.0,12,21,2013-03-27 10:59:41,2013-03-27 11:00:45
20,35.0,38.66906066267094,8.0988011784624057,64.0,12,21,2013-03-27 10:59:41,2013-03-27 11:00:45
21,35.0,0.0,0,64.0,21,24,2013-03-27 11:00:45,2013-03-27 11:01:49
22,40.0,81.33002873317008,1.731041856627674,64.0,21,24,2013-03-27 11:00:45,2013-03-27 11:01:49
23,47.0,29.45665009100106,1.731041856627674,64.0,21,24,2013-03-27 11:00:45,2013-03-27 11:01:49
24,47.0,85.72459884431927,4.8334776301014095,66.0,24,31,2013-03-27 11:01:49,2013-03-27 11:02:55
25,50.0,21.159120614380072,4.8334776301014095,66.0,24,31,2013-03-27 11:01:49,2013-03-27 11:02:55
