,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,140.0,315.68476075751215,9.0785869621233353,57.0,0,2,2013-04-18 11:00:14,2013-04-18 11:01:11
1,139.0,201.79469608351798,9.0785869621233353,57.0,0,2,2013-04-18 11:00:14,2013-04-18 11:01:11
2,139.0,201.79469608351798,1.8610588382462172,129.0,2,4,2013-04-18 11:01:11,2013-04-18 11:03:20
3,161.0,38.28189405024402,1.8610588382462172,129.0,2,4,2013-04-18 11:01:11,2013-04-18 11:03:20
4,161.0,326.3940583299273,7.7803007414931198,64.0,4,7,2013-04-18 11:03:20,2013-04-18 11:04:24
5,162.0,129.37346500762982,7.7803007414931198,64.0,4,7,2013-04-18 11:03:20,2013-04-18 11:04:24
6,156.0,42.17172411800255,7.7803007414931198,64.0,4,7,2013-04-18 11:03:20,2013-04-18 11:04:24
7,156.0,293.57719118192864,5.2994137707895055,65.0,7,9,2013-04-18 11:04:24,2013-04-18 11:05:29
8,144.0,50.88470391938922,5.2994137707895055,65.0,7,9,2013-04-18 11:04:24,2013-04-18 11:05:29
9,144.0,32.96426004494557,2.0331863913871624,57.0,9,11,2013-04-18 11:05:29,2013-04-18 11:06:26
10,157.0,82.92736426412267,2.0331863913871624,57.0,9,11,2013-04-18 11:05:29,2013-04-18 11:06:26
11,157.0,272.26586126437155,4.5377643544061925,60.0,11,12,2013-04-18 11:06:26,2013-04-18 11:07:26
12,157.0,28.72954415754283,7.6879259050785871,68.0,12,15,2013-04-18 11:07:26,2013-04-18 11:08:34
13,162.0,129.37346500762982,7.6879259050785871,68.0,12,15,2013-04-18 11:07:26,2013-04-18 11:08:34
14,161.0,364.67595238017134,7.6879259050785871,68.0,12,15,2013-04-18 11:07:26,2013-04-18 11:08:34
15,161.0,0.0,0,57.0,15,18,2013-04-18 11:08:34,2013-04-18 11:09:31
16,140.0,451.2311672230032,9.5078469305779532,57.0,15,18,2013-04-18 11:08:34,2013-04-18 11:09:31
17,117.0,90.71610781994025,9.5078469305779532,57.0,15,18,2013-04-18 11:08:34,2013-04-18 11:09:31
18,117.0,30.71374310889549,6.2893521508675265,66.0,18,21,2013-04-18 11:09:31,2013-04-18 11:10:37
19,115.0,384.3834988483613,6.2893521508675265,66.0,18,21,2013-04-18 11:09:31,2013-04-18 11:10:37
20,115.0,0.0,0,66.0,18,21,2013-04-18 11:09:31,2013-04-18 11:10:37
21,115.0,0.0,0,64.0,21,29,2013-04-18 11:10:37,2013-04-18 11:11:41
22,82.0,6.636910214549704,3.2378588752100805,64.0,21,29,2013-04-18 11:10:37,2013-04-18 11:11:41
23,78.0,1.4407450000218316,3.2378588752100805,64.0,21,29,2013-04-18 11:10:37,2013-04-18 11:11:41
24,76.0,1.5311290621449667,3.2378588752100805,64.0,21,29,2013-04-18 11:10:37,2013-04-18 11:11:41
25,74.0,23.88149057056306,3.2378588752100805,64.0,21,29,2013-04-18 11:10:37,2013-04-18 11:11:41
26,70.0,106.49836980642992,3.2378588752100805,64.0,21,29,2013-04-18 11:10:37,2013-04-18 11:11:41
27,71.0,16.100846795787465,3.2378588752100805,64.0,21,29,2013-04-18 11:10:37,2013-04-18 11:11:41
28,68.0,51.133476563948186,3.2378588752100805,64.0,21,29,2013-04-18 11:10:37,2013-04-18 11:11:41
29,68.0,51.133476563948186,5.200765539487767,60.0,29,32,2013-04-18 11:11:41,2013-04-18 11:12:41
30,71.0,16.100846795787465,5.200765539487767,60.0,29,32,2013-04-18 11:11:41,2013-04-18 11:12:41
31,91.0,244.8116090095304,5.200765539487767,60.0,29,32,2013-04-18 11:11:41,2013-04-18 11:12:41
32,91.0,9.418927104998973,4.259572555260946,68.0,32,37,2013-04-18 11:12:41,2013-04-18 11:13:49
33,92.0,136.46365356825856,4.259572555260946,68.0,32,37,2013-04-18 11:12:41,2013-04-18 11:13:49
34,73.0,49.78216954375028,4.259572555260946,68.0,32,37,2013-04-18 11:12:41,2013-04-18 11:13:49
35,80.0,35.008891151299714,4.259572555260946,68.0,32,37,2013-04-18 11:12:41,2013-04-18 11:13:49
36,81.0,58.97729238943679,4.259572555260946,68.0,32,37,2013-04-18 11:12:41,2013-04-18 11:13:49
37,81.0,54.747395971953715,3.9985491438083622,64.0,37,41,2013-04-18 11:13:49,2013-04-18 11:14:53
38,65.0,107.43361198195588,3.9985491438083622,64.0,37,41,2013-04-18 11:13:49,2013-04-18 11:14:53
39,60.0,53.42188817222323,3.9985491438083622,64.0,37,41,2013-04-18 11:13:49,2013-04-18 11:14:53
40,55.0,40.30424907760239,3.9985491438083622,64.0,37,41,2013-04-18 11:13:49,2013-04-18 11:14:53
41,55.0,0.4026356862188724,3.4645068715534464,64.0,41,47,2013-04-18 11:14:53,2013-04-18 11:15:57
