,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,157.0,97.94477041709922,3.4343757321106034,65.0,0,2,2013-03-26 23:05:33,2013-03-26 23:06:38
1,162.0,125.28965217009,3.4343757321106034,65.0,0,2,2013-03-26 23:05:33,2013-03-26 23:06:38
2,162.0,4.083812837539818,11.116820603933002,65.0,2,5,2013-03-26 23:06:38,2013-03-26 23:07:43
3,161.0,364.67595238017134,11.116820603933002,65.0,2,5,2013-03-26 23:06:38,2013-03-26 23:07:43
4,140.0,353.83357403793394,11.116820603933002,65.0,2,5,2013-03-26 23:06:38,2013-03-26 23:07:43
5,140.0,97.39759318506918,6.301731026652277,64.0,5,8,2013-03-26 23:07:43,2013-03-26 23:08:47
6,117.0,121.42985092883572,6.301731026652277,64.0,5,8,2013-03-26 23:07:43,2013-03-26 23:08:47
7,115.0,184.48334159184085,6.301731026652277,64.0,5,8,2013-03-26 23:07:43,2013-03-26 23:08:47
8,115.0,199.90015725652043,5.3058875849963485,66.0,8,15,2013-03-26 23:08:47,2013-03-26 23:09:53
9,82.0,6.636910214549704,5.3058875849963485,66.0,8,15,2013-03-26 23:08:47,2013-03-26 23:09:53
10,78.0,1.4407450000218316,5.3058875849963485,66.0,8,15,2013-03-26 23:08:47,2013-03-26 23:09:53
11,76.0,1.5311290621449667,5.3058875849963485,66.0,8,15,2013-03-26 23:08:47,2013-03-26 23:09:53
12,74.0,23.88149057056306,5.3058875849963485,66.0,8,15,2013-03-26 23:08:47,2013-03-26 23:09:53
13,70.0,106.49836980642992,5.3058875849963485,66.0,8,15,2013-03-26 23:08:47,2013-03-26 23:09:53
14,71.0,10.2997786995291,5.3058875849963485,66.0,8,15,2013-03-26 23:08:47,2013-03-26 23:09:53
15,71.0,10.2997786995291,2.7652269493215167,64.0,15,17,2013-03-26 23:09:53,2013-03-26 23:10:57
16,91.0,166.67474605704797,2.7652269493215167,64.0,15,17,2013-03-26 23:09:53,2013-03-26 23:10:57
17,91.0,87.55579005748135,4.2428304539636947,64.0,17,20,2013-03-26 23:10:57,2013-03-26 23:12:01
18,92.0,136.46365356825856,4.2428304539636947,64.0,17,20,2013-03-26 23:10:57,2013-03-26 23:12:01
19,73.0,47.521705427936546,4.2428304539636947,64.0,17,20,2013-03-26 23:10:57,2013-03-26 23:12:01
20,73.0,2.2604641158137206,4.8452832688223095,57.0,20,25,2013-03-26 23:12:01,2013-03-26 23:12:58
21,80.0,35.008891151299714,4.8452832688223095,57.0,20,25,2013-03-26 23:12:01,2013-03-26 23:12:58
22,81.0,113.72468836139048,4.8452832688223095,57.0,20,25,2013-03-26 23:12:01,2013-03-26 23:12:58
23,65.0,107.43361198195588,4.8452832688223095,57.0,20,25,2013-03-26 23:12:01,2013-03-26 23:12:58
24,60.0,17.75349071241189,4.8452832688223095,57.0,20,25,2013-03-26 23:12:01,2013-03-26 23:12:58
25,60.0,35.668397459811345,2.862848283982522,64.0,25,31,2013-03-26 23:12:58,2013-03-26 23:14:02
26,55.0,40.70688476382127,2.862848283982522,64.0,25,31,2013-03-26 23:12:58,2013-03-26 23:14:02
27,54.0,4.571992314594792,2.862848283982522,64.0,25,31,2013-03-26 23:12:58,2013-03-26 23:14:02
28,53.0,16.820866074741257,2.862848283982522,64.0,25,31,2013-03-26 23:12:58,2013-03-26 23:14:02
29,50.0,21.159120614380072,2.862848283982522,64.0,25,31,2013-03-26 23:12:58,2013-03-26 23:14:02
30,47.0,64.29502894753267,2.862848283982522,64.0,25,31,2013-03-26 23:12:58,2013-03-26 23:14:02
31,47.0,50.88621998778765,3.222982097310664,64.0,31,35,2013-03-26 23:14:02,2013-03-26 23:15:06
32,40.0,81.33002873317008,3.222982097310664,64.0,31,35,2013-03-26 23:14:02,2013-03-26 23:15:06
33,35.0,38.66906066267094,3.222982097310664,64.0,31,35,2013-03-26 23:14:02,2013-03-26 23:15:06
34,29.0,35.385544844253815,3.222982097310664,64.0,31,35,2013-03-26 23:14:02,2013-03-26 23:15:06
35,29.0,17.908265651539978,2.0710347718743494,65.0,35,38,2013-03-26 23:15:06,2013-03-26 23:16:11
36,26.0,50.999812235480974,2.0710347718743494,65.0,35,38,2013-03-26 23:15:06,2013-03-26 23:16:11
37,31.0,65.70918228481173,2.0710347718743494,65.0,35,38,2013-03-26 23:15:06,2013-03-26 23:16:11
38,31.0,63.48650137168061,4.4045264661555565,63.0,38,43,2013-03-26 23:16:11,2013-03-26 23:17:14
39,32.0,5.1988395985706015,4.4045264661555565,63.0,38,43,2013-03-26 23:16:11,2013-03-26 23:17:14
40,38.0,84.73285618437066,4.4045264661555565,63.0,38,43,2013-03-26 23:16:11,2013-03-26 23:17:14
41,42.0,85.12061111008711,4.4045264661555565,63.0,38,43,2013-03-26 23:16:11,2013-03-26 23:17:14
42,45.0,38.94635910309104,4.4045264661555565,63.0,38,43,2013-03-26 23:16:11,2013-03-26 23:17:14
43,45.0,8.991884199370304,3.2108419747558874,65.0,43,46,2013-03-26 23:17:14,2013-03-26 23:18:19
