,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,6.0,165.63235443451816,6.1699391051053665,65.0,0,4,2013-04-16 11:01:00,2013-04-16 11:02:05
1,1.0,46.61838460674224,6.1699391051053665,65.0,0,4,2013-04-16 11:01:00,2013-04-16 11:02:05
2,0.0,106.6411599022419,6.1699391051053665,65.0,0,4,2013-04-16 11:01:00,2013-04-16 11:02:05
3,9.0,82.15414288834654,6.1699391051053665,65.0,0,4,2013-04-16 11:01:00,2013-04-16 11:02:05
4,9.0,278.20618725385384,4.4871965686105462,62.0,4,5,2013-04-16 11:02:05,2013-04-16 11:03:07
5,9.0,6.350546168898803,5.0523768234184949,66.0,5,12,2013-04-16 11:03:07,2013-04-16 11:04:13
6,10.0,34.549815393744986,5.0523768234184949,66.0,5,12,2013-04-16 11:03:07,2013-04-16 11:04:13
7,11.0,5.045722314182898,5.0523768234184949,66.0,5,12,2013-04-16 11:03:07,2013-04-16 11:04:13
8,13.0,158.5163661065913,5.0523768234184949,66.0,5,12,2013-04-16 11:03:07,2013-04-16 11:04:13
9,18.0,20.087352318222926,5.0523768234184949,66.0,5,12,2013-04-16 11:03:07,2013-04-16 11:04:13
10,22.0,75.39020671399777,5.0523768234184949,66.0,5,12,2013-04-16 11:03:07,2013-04-16 11:04:13
11,33.0,33.516861329981964,5.0523768234184949,66.0,5,12,2013-04-16 11:03:07,2013-04-16 11:04:13
12,33.0,123.35478533322114,9.0218636238633465,64.0,12,18,2013-04-16 11:04:13,2013-04-16 11:05:17
13,36.0,30.64228545413416,9.0218636238633465,64.0,12,18,2013-04-16 11:04:13,2013-04-16 11:05:17
14,44.0,117.84672679793199,9.0218636238633465,64.0,12,18,2013-04-16 11:04:13,2013-04-16 11:05:17
15,49.0,48.4851815400175,9.0218636238633465,64.0,12,18,2013-04-16 11:04:13,2013-04-16 11:05:17
16,48.0,118.72716425943608,9.0218636238633465,64.0,12,18,2013-04-16 11:04:13,2013-04-16 11:05:17
17,52.0,138.3431285425134,9.0218636238633465,64.0,12,18,2013-04-16 11:04:13,2013-04-16 11:05:17
18,52.0,7.420265858627431,5.6226040035511105,65.0,18,25,2013-04-16 11:05:17,2013-04-16 11:06:22
19,51.0,71.84029904808705,5.6226040035511105,65.0,18,25,2013-04-16 11:05:17,2013-04-16 11:06:22
20,45.0,47.93824330246133,5.6226040035511105,65.0,18,25,2013-04-16 11:05:17,2013-04-16 11:06:22
21,42.0,85.12061111008711,5.6226040035511105,65.0,18,25,2013-04-16 11:05:17,2013-04-16 11:06:22
22,38.0,84.73285618437066,5.6226040035511105,65.0,18,25,2013-04-16 11:05:17,2013-04-16 11:06:22
23,32.0,5.1988395985706015,5.6226040035511105,65.0,18,25,2013-04-16 11:05:17,2013-04-16 11:06:22
24,31.0,63.21814512861796,5.6226040035511105,65.0,18,25,2013-04-16 11:05:17,2013-04-16 11:06:22
25,31.0,65.97753852787439,3.8124892915439661,64.0,25,30,2013-04-16 11:06:22,2013-04-16 11:07:26
26,26.0,50.999812235480974,3.8124892915439661,64.0,25,30,2013-04-16 11:06:22,2013-04-16 11:07:26
27,29.0,53.29381049579379,3.8124892915439661,64.0,25,30,2013-04-16 11:06:22,2013-04-16 11:07:26
28,35.0,38.66906066267094,3.8124892915439661,64.0,25,30,2013-04-16 11:06:22,2013-04-16 11:07:26
29,40.0,35.05909273699374,3.8124892915439661,64.0,25,30,2013-04-16 11:06:22,2013-04-16 11:07:26
30,40.0,46.27093599617635,2.9739790234831052,64.0,30,34,2013-04-16 11:07:26,2013-04-16 11:08:30
31,47.0,115.18124893532033,2.9739790234831052,64.0,30,34,2013-04-16 11:07:26,2013-04-16 11:08:30
32,50.0,21.159120614380072,2.9739790234831052,64.0,30,34,2013-04-16 11:07:26,2013-04-16 11:08:30
33,53.0,7.723351957041999,2.9739790234831052,64.0,30,34,2013-04-16 11:07:26,2013-04-16 11:08:30
34,53.0,9.097514117699255,3.2997360644942297,64.0,34,39,2013-04-16 11:08:30,2013-04-16 11:09:34
35,54.0,4.571992314594792,3.2997360644942297,64.0,34,39,2013-04-16 11:08:30,2013-04-16 11:09:34
36,55.0,40.70688476382127,3.2997360644942297,64.0,34,39,2013-04-16 11:08:30,2013-04-16 11:09:34
37,60.0,53.42188817222323,3.2997360644942297,64.0,34,39,2013-04-16 11:08:30,2013-04-16 11:09:34
38,65.0,103.38482875929216,3.2997360644942297,64.0,34,39,2013-04-16 11:08:30,2013-04-16 11:09:34
39,65.0,4.0487832226637295,5.798576570360706,64.0,39,45,2013-04-16 11:09:34,2013-04-16 11:10:38
40,81.0,113.72468836139048,5.798576570360706,64.0,39,45,2013-04-16 11:09:34,2013-04-16 11:10:38
41,80.0,35.008891151299714,5.798576570360706,64.0,39,45,2013-04-16 11:09:34,2013-04-16 11:10:38
42,73.0,49.78216954375028,5.798576570360706,64.0,39,45,2013-04-16 11:09:34,2013-04-16 11:10:38
43,92.0,136.46365356825856,5.798576570360706,64.0,39,45,2013-04-16 11:09:34,2013-04-16 11:10:38
44,99.0,32.08071465572235,5.798576570360706,64.0,39,45,2013-04-16 11:09:34,2013-04-16 11:10:38
45,99.0,19.7521491782484,4.5888940753685672,64.0,45,48,2013-04-16 11:10:38,2013-04-16 11:11:42
46,118.0,243.1051453985721,4.5888940753685672,64.0,45,48,2013-04-16 11:10:38,2013-04-16 11:11:42
47,140.0,30.831926246767807,4.5888940753685672,64.0,45,48,2013-04-16 11:10:38,2013-04-16 11:11:42
48,140.0,420.39924097623526,7.0066540162705877,60.0,48,49,2013-04-16 11:11:42,2013-04-16 11:12:42
49,140.0,0.0,0,121.0,49,51,2013-04-16 11:12:42,2013-04-16 11:14:43
50,139.0,370.27113084158765,3.0600919904263444,121.0,49,51,2013-04-16 11:12:42,2013-04-16 11:14:43
51,139.0,370.27113084158765,9.523782632978298,68.0,51,53,2013-04-16 11:14:43,2013-04-16 11:15:51
52,161.0,277.3460882009366,9.523782632978298,68.0,51,53,2013-04-16 11:14:43,2013-04-16 11:15:51
53,161.0,87.32986417923473,5.2165058431921976,115.0,53,57,2013-04-16 11:15:51,2013-04-16 11:17:46
54,162.0,129.37346500762982,5.2165058431921976,115.0,53,57,2013-04-16 11:15:51,2013-04-16 11:17:46
55,156.0,335.7489152999311,5.2165058431921976,115.0,53,57,2013-04-16 11:15:51,2013-04-16 11:17:46
56,144.0,47.44592748030698,5.2165058431921976,115.0,53,57,2013-04-16 11:15:51,2013-04-16 11:17:46
57,144.0,36.403036484027794,2.5310632710010297,58.0,57,59,2013-04-16 11:17:46,2013-04-16 11:18:44
58,157.0,110.39863323403192,2.5310632710010297,58.0,57,59,2013-04-16 11:17:46,2013-04-16 11:18:44
59,157.0,227.44964386396904,3.6103118073645879,63.0,59,60,2013-04-16 11:18:44,2013-04-16 11:19:47
60,157.0,46.07449258803607,7.3460497173863102,67.0,60,63,2013-04-16 11:19:47,2013-04-16 11:20:54
61,162.0,129.37346500762982,7.3460497173863102,67.0,60,63,2013-04-16 11:19:47,2013-04-16 11:20:54
62,161.0,316.7373734692169,7.3460497173863102,67.0,60,63,2013-04-16 11:19:47,2013-04-16 11:20:54
63,161.0,47.938578910954476,8.9122888783569447,61.0,63,66,2013-04-16 11:20:54,2013-04-16 11:21:55
64,140.0,451.2311672230032,8.9122888783569447,61.0,63,66,2013-04-16 11:20:54,2013-04-16 11:21:55
65,117.0,44.47987544581604,8.9122888783569447,61.0,63,66,2013-04-16 11:20:54,2013-04-16 11:21:55
66,117.0,76.9499754830197,4.2862137815292929,69.0,66,68,2013-04-16 11:21:55,2013-04-16 11:23:04
67,115.0,218.7987754425015,4.2862137815292929,69.0,66,68,2013-04-16 11:21:55,2013-04-16 11:23:04
68,115.0,132.81318301126356,2.0752059845509931,64.0,68,69,2013-04-16 11:23:04,2013-04-16 11:24:08
69,115.0,32.77154039459633,3.5100893803961299,56.0,69,76,2013-04-16 11:24:08,2013-04-16 11:25:04
70,82.0,6.636910214549704,3.5100893803961299,56.0,69,76,2013-04-16 11:24:08,2013-04-16 11:25:04
71,78.0,1.4407450000218316,3.5100893803961299,56.0,69,76,2013-04-16 11:24:08,2013-04-16 11:25:04
72,76.0,1.5311290621449667,3.5100893803961299,56.0,69,76,2013-04-16 11:24:08,2013-04-16 11:25:04
73,74.0,23.88149057056306,3.5100893803961299,56.0,69,76,2013-04-16 11:24:08,2013-04-16 11:25:04
74,70.0,106.49836980642992,3.5100893803961299,56.0,69,76,2013-04-16 11:24:08,2013-04-16 11:25:04
75,91.0,23.80482025387746,3.5100893803961299,56.0,69,76,2013-04-16 11:24:08,2013-04-16 11:25:04
76,91.0,230.42571586065185,4.5160802990936642,64.0,76,78,2013-04-16 11:25:04,2013-04-16 11:26:08
77,92.0,58.603423281342685,4.5160802990936642,64.0,76,78,2013-04-16 11:25:04,2013-04-16 11:26:08
78,92.0,77.86023028691585,1.5229369289673778,64.0,78,80,2013-04-16 11:26:08,2013-04-16 11:27:12
79,73.0,19.607733166996333,1.5229369289673778,64.0,78,80,2013-04-16 11:26:08,2013-04-16 11:27:12
80,73.0,30.174436376753945,3.2756693399506585,66.0,80,84,2013-04-16 11:27:12,2013-04-16 11:28:18
81,80.0,35.008891151299714,3.2756693399506585,66.0,80,84,2013-04-16 11:27:12,2013-04-16 11:28:18
82,81.0,113.72468836139048,3.2756693399506585,66.0,80,84,2013-04-16 11:27:12,2013-04-16 11:28:18
83,65.0,37.286160547299325,3.2756693399506585,66.0,80,84,2013-04-16 11:27:12,2013-04-16 11:28:18
84,65.0,70.14745143465656,2.3956030609698109,65.0,84,87,2013-04-16 11:28:18,2013-04-16 11:29:23
85,60.0,53.42188817222323,2.3956030609698109,65.0,84,87,2013-04-16 11:28:18,2013-04-16 11:29:23
86,55.0,32.14485935615792,2.3956030609698109,65.0,84,87,2013-04-16 11:28:18,2013-04-16 11:29:23
87,55.0,8.562025407663343,2.7406239032031143,64.0,87,93,2013-04-16 11:29:23,2013-04-16 11:30:27
88,54.0,4.571992314594792,2.7406239032031143,64.0,87,93,2013-04-16 11:29:23,2013-04-16 11:30:27
89,53.0,16.820866074741257,2.7406239032031143,64.0,87,93,2013-04-16 11:29:23,2013-04-16 11:30:27
90,50.0,21.159120614380072,2.7406239032031143,64.0,87,93,2013-04-16 11:29:23,2013-04-16 11:30:27
91,47.0,115.18124893532033,2.7406239032031143,64.0,87,93,2013-04-16 11:29:23,2013-04-16 11:30:27
92,40.0,9.104676458299537,2.7406239032031143,64.0,87,93,2013-04-16 11:29:23,2013-04-16 11:30:27
93,40.0,72.22535227487054,2.7064806529507308,65.0,93,97,2013-04-16 11:30:27,2013-04-16 11:31:32
94,35.0,38.66906066267094,2.7064806529507308,65.0,93,97,2013-04-16 11:30:27,2013-04-16 11:31:32
95,29.0,53.29381049579379,2.7064806529507308,65.0,93,97,2013-04-16 11:30:27,2013-04-16 11:31:32
96,26.0,11.733019008462207,2.7064806529507308,65.0,93,97,2013-04-16 11:30:27,2013-04-16 11:31:32
97,26.0,39.26679322701877,1.6038293360808027,66.0,97,99,2013-04-16 11:31:32,2013-04-16 11:32:38
98,31.0,66.5859429543142,1.6038293360808027,66.0,97,99,2013-04-16 11:31:32,2013-04-16 11:32:38
99,31.0,62.609740702178144,2.4002600277995212,115.0,99,104,2013-04-16 11:32:38,2013-04-16 11:34:33
100,32.0,5.1988395985706015,2.4002600277995212,115.0,99,104,2013-04-16 11:32:38,2013-04-16 11:34:33
101,38.0,84.73285618437066,2.4002600277995212,115.0,99,104,2013-04-16 11:32:38,2013-04-16 11:34:33
102,42.0,85.12061111008711,2.4002600277995212,115.0,99,104,2013-04-16 11:32:38,2013-04-16 11:34:33
103,45.0,38.367855601738405,2.4002600277995212,115.0,99,104,2013-04-16 11:32:38,2013-04-16 11:34:33
104,45.0,9.570387700722923,5.0501408444175251,65.0,104,108,2013-04-16 11:34:33,2013-04-16 11:35:38
105,51.0,71.84029904808705,5.0501408444175251,65.0,104,108,2013-04-16 11:34:33,2013-04-16 11:35:38
106,52.0,145.76339440114083,5.0501408444175251,65.0,104,108,2013-04-16 11:34:33,2013-04-16 11:35:38
107,48.0,101.08507373718832,5.0501408444175251,65.0,104,108,2013-04-16 11:34:33,2013-04-16 11:35:38
108,48.0,17.642090522247752,1.8250756761118674,56.0,108,111,2013-04-16 11:35:38,2013-04-16 11:36:34
109,49.0,48.4851815400175,1.8250756761118674,56.0,108,111,2013-04-16 11:35:38,2013-04-16 11:36:34
110,44.0,36.07696579999933,1.8250756761118674,56.0,108,111,2013-04-16 11:35:38,2013-04-16 11:36:34
111,44.0,81.76976099793269,4.8551209821556824,64.0,111,115,2013-04-16 11:36:34,2013-04-16 11:37:38
112,36.0,30.64228545413416,4.8551209821556824,64.0,111,115,2013-04-16 11:36:34,2013-04-16 11:37:38
113,33.0,156.87164666320308,4.8551209821556824,64.0,111,115,2013-04-16 11:36:34,2013-04-16 11:37:38
114,22.0,41.444049742693785,4.8551209821556824,64.0,111,115,2013-04-16 11:36:34,2013-04-16 11:37:38
115,22.0,0.0,0,64.0,115,116,2013-04-16 11:37:38,2013-04-16 11:38:42
116,22.0,33.946156971303985,6.7183157328898426,65.0,116,123,2013-04-16 11:38:42,2013-04-16 11:39:47
117,18.0,20.087352318222926,6.7183157328898426,65.0,116,123,2013-04-16 11:38:42,2013-04-16 11:39:47
118,13.0,158.5163661065913,6.7183157328898426,65.0,116,123,2013-04-16 11:38:42,2013-04-16 11:39:47
119,11.0,5.045722314182898,6.7183157328898426,65.0,116,123,2013-04-16 11:38:42,2013-04-16 11:39:47
120,10.0,34.549815393744986,6.7183157328898426,65.0,116,123,2013-04-16 11:38:42,2013-04-16 11:39:47
121,8.0,124.93368161043936,6.7183157328898426,65.0,116,123,2013-04-16 11:38:42,2013-04-16 11:39:47
122,6.0,59.61142792335429,6.7183157328898426,65.0,116,123,2013-04-16 11:38:42,2013-04-16 11:39:47
123,6.0,38.53736390788643,0.64228939846477384,60.0,123,124,2013-04-16 11:39:47,2013-04-16 11:40:47
