,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,81,16.772936871988946,3.1801129131689754,63.0,0,4,2013-04-18 11:00:56,2013-04-18 11:01:59
1,65,107.43361198195588,3.1801129131689754,63.0,0,4,2013-04-18 11:00:56,2013-04-18 11:01:59
2,60,53.42188817222323,3.1801129131689754,63.0,0,4,2013-04-18 11:00:56,2013-04-18 11:01:59
3,55,22.718676503477386,3.1801129131689754,63.0,0,4,2013-04-18 11:00:56,2013-04-18 11:01:59
4,55,17.988208260343878,5.3792843637240244,65.0,4,13,2013-04-18 11:01:59,2013-04-18 11:03:04
5,54,4.571992314594792,5.3792843637240244,65.0,4,13,2013-04-18 11:01:59,2013-04-18 11:03:04
6,53,16.820866074741257,5.3792843637240244,65.0,4,13,2013-04-18 11:01:59,2013-04-18 11:03:04
7,50,21.159120614380072,5.3792843637240244,65.0,4,13,2013-04-18 11:01:59,2013-04-18 11:03:04
8,47,115.18124893532033,5.3792843637240244,65.0,4,13,2013-04-18 11:01:59,2013-04-18 11:03:04
9,40,81.33002873317008,5.3792843637240244,65.0,4,13,2013-04-18 11:01:59,2013-04-18 11:03:04
10,35,38.66906066267094,5.3792843637240244,65.0,4,13,2013-04-18 11:01:59,2013-04-18 11:03:04
11,29,53.29381049579379,5.3792843637240244,65.0,4,13,2013-04-18 11:01:59,2013-04-18 11:03:04
12,26,0.6391475510464701,5.3792843637240244,65.0,4,13,2013-04-18 11:01:59,2013-04-18 11:03:04
13,26,50.36066468443451,3.522994407813667,65.0,13,17,2013-04-18 11:03:04,2013-04-18 11:04:09
14,31,129.19568365649238,3.522994407813667,65.0,13,17,2013-04-18 11:03:04,2013-04-18 11:04:09
15,32,5.1988395985706015,3.522994407813667,65.0,13,17,2013-04-18 11:03:04,2013-04-18 11:04:09
16,38,44.239448568390856,3.522994407813667,65.0,13,17,2013-04-18 11:03:04,2013-04-18 11:04:09
17,38,40.49340761597977,2.5653355242685341,65.0,17,20,2013-04-18 11:04:09,2013-04-18 11:05:14
18,42,85.12061111008711,2.5653355242685341,65.0,17,20,2013-04-18 11:04:09,2013-04-18 11:05:14
19,45,41.13279035138783,2.5653355242685341,65.0,17,20,2013-04-18 11:04:09,2013-04-18 11:05:14
20,45,6.805452951073505,3.8675052019965386,65.0,20,24,2013-04-18 11:05:14,2013-04-18 11:06:19
21,51,71.84029904808705,3.8675052019965386,65.0,20,24,2013-04-18 11:05:14,2013-04-18 11:06:19
22,52,145.76339440114083,3.8675052019965386,65.0,20,24,2013-04-18 11:05:14,2013-04-18 11:06:19
23,48,26.97869172947364,3.8675052019965386,65.0,20,24,2013-04-18 11:05:14,2013-04-18 11:06:19
24,48,72.55831906523535,1.1162818317728516,65.0,24,25,2013-04-18 11:06:19,2013-04-18 11:07:24
25,48,19.190153464727093,1.5792660050386955,64.0,25,27,2013-04-18 11:07:24,2013-04-18 11:08:28
26,56,81.88287085774942,1.5792660050386955,64.0,25,27,2013-04-18 11:07:24,2013-04-18 11:08:28
27,56,5.762965196953218,6.5290748115174821,66.0,27,34,2013-04-18 11:08:28,2013-04-18 11:09:34
28,62,63.805045486109,6.5290748115174821,66.0,27,34,2013-04-18 11:08:28,2013-04-18 11:09:34
29,86,157.81149383159942,6.5290748115174821,66.0,27,34,2013-04-18 11:08:28,2013-04-18 11:09:34
30,88,45.02078124498265,6.5290748115174821,66.0,27,34,2013-04-18 11:08:28,2013-04-18 11:09:34
31,101,120.21775326594316,6.5290748115174821,66.0,27,34,2013-04-18 11:08:28,2013-04-18 11:09:34
32,103,19.47464451933768,6.5290748115174821,66.0,27,34,2013-04-18 11:08:28,2013-04-18 11:09:34
33,114,18.826254015228685,6.5290748115174821,66.0,27,34,2013-04-18 11:08:28,2013-04-18 11:09:34
34,114,130.00447403212377,4.1093295772967409,56.0,34,37,2013-04-18 11:09:34,2013-04-18 11:10:30
35,116,56.64729671752383,4.1093295772967409,56.0,34,37,2013-04-18 11:09:34,2013-04-18 11:10:30
36,123,43.470685578969906,4.1093295772967409,56.0,34,37,2013-04-18 11:09:34,2013-04-18 11:10:30
