,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,92,51.784213849580915,5.6721067909325118,61.0,0,5,2013-04-16 11:00:08,2013-04-16 11:01:09
1,73,49.78216954375028,5.6721067909325118,61.0,0,5,2013-04-16 11:00:08,2013-04-16 11:01:09
2,80,35.008891151299714,5.6721067909325118,61.0,0,5,2013-04-16 11:00:08,2013-04-16 11:01:09
3,81,113.72468836139048,5.6721067909325118,61.0,0,5,2013-04-16 11:00:08,2013-04-16 11:01:09
4,65,95.69855134086187,5.6721067909325118,61.0,0,5,2013-04-16 11:00:08,2013-04-16 11:01:09
5,65,11.735060641094007,4.6368841043754552,60.0,5,13,2013-04-16 11:01:09,2013-04-16 11:02:09
6,60,53.42188817222323,4.6368841043754552,60.0,5,13,2013-04-16 11:01:09,2013-04-16 11:02:09
7,55,40.70688476382127,4.6368841043754552,60.0,5,13,2013-04-16 11:01:09,2013-04-16 11:02:09
8,54,4.571992314594792,4.6368841043754552,60.0,5,13,2013-04-16 11:01:09,2013-04-16 11:02:09
9,53,16.820866074741257,4.6368841043754552,60.0,5,13,2013-04-16 11:01:09,2013-04-16 11:02:09
10,50,21.159120614380072,4.6368841043754552,60.0,5,13,2013-04-16 11:01:09,2013-04-16 11:02:09
11,47,115.18124893532033,4.6368841043754552,60.0,5,13,2013-04-16 11:01:09,2013-04-16 11:02:09
12,40,14.615984746352394,4.6368841043754552,60.0,5,13,2013-04-16 11:01:09,2013-04-16 11:02:09
13,40,66.71404398681769,4.2791168853217023,49.0,13,18,2013-04-16 11:02:09,2013-04-16 11:02:58
14,35,38.66906066267094,4.2791168853217023,49.0,13,18,2013-04-16 11:02:09,2013-04-16 11:02:58
15,29,53.29381049579379,4.2791168853217023,49.0,13,18,2013-04-16 11:02:09,2013-04-16 11:02:58
16,26,50.999812235480974,4.2791168853217023,49.0,13,18,2013-04-16 11:02:09,2013-04-16 11:02:58
17,26,0.0,0,49.0,13,18,2013-04-16 11:02:09,2013-04-16 11:02:58
18,26,0.0,0,60.0,18,25,2013-04-16 11:02:58,2013-04-16 11:03:58
19,31,129.19568365649238,6.1803459515512902,60.0,18,25,2013-04-16 11:02:58,2013-04-16 11:03:58
20,32,5.1988395985706015,6.1803459515512902,60.0,18,25,2013-04-16 11:02:58,2013-04-16 11:03:58
21,38,84.73285618437066,6.1803459515512902,60.0,18,25,2013-04-16 11:02:58,2013-04-16 11:03:58
22,42,85.12061111008711,6.1803459515512902,60.0,18,25,2013-04-16 11:02:58,2013-04-16 11:03:58
23,45,47.93824330246133,6.1803459515512902,60.0,18,25,2013-04-16 11:02:58,2013-04-16 11:03:58
24,51,18.634523241095312,6.1803459515512902,60.0,18,25,2013-04-16 11:02:58,2013-04-16 11:03:58
25,51,53.20577580699174,5.7516539622378549,51.0,25,28,2013-04-16 11:03:58,2013-04-16 11:04:49
26,52,145.76339440114083,5.7516539622378549,51.0,25,28,2013-04-16 11:03:58,2013-04-16 11:04:49
27,48,94.36518186599804,5.7516539622378549,51.0,25,28,2013-04-16 11:03:58,2013-04-16 11:04:49
28,48,24.361982393438023,2.2152930028548208,60.0,28,31,2013-04-16 11:04:49,2013-04-16 11:05:49
29,56,87.64583605470264,2.2152930028548208,60.0,28,31,2013-04-16 11:04:49,2013-04-16 11:05:49
30,62,20.909761723148588,2.2152930028548208,60.0,28,31,2013-04-16 11:04:49,2013-04-16 11:05:49
31,62,42.8952837629604,8.9594462573372304,59.0,31,37,2013-04-16 11:05:49,2013-04-16 11:06:48
32,86,157.81149383159942,8.9594462573372304,59.0,31,37,2013-04-16 11:05:49,2013-04-16 11:06:48
33,88,45.02078124498265,8.9594462573372304,59.0,31,37,2013-04-16 11:05:49,2013-04-16 11:06:48
34,101,120.21775326594316,8.9594462573372304,59.0,31,37,2013-04-16 11:05:49,2013-04-16 11:06:48
35,103,19.47464451933768,8.9594462573372304,59.0,31,37,2013-04-16 11:05:49,2013-04-16 11:06:48
36,114,143.18737255807332,8.9594462573372304,59.0,31,37,2013-04-16 11:05:49,2013-04-16 11:06:48
37,114,5.643355489279145,10.476091363109385,57.0,37,42,2013-04-16 11:06:48,2013-04-16 11:07:45
38,116,56.64729671752383,10.476091363109385,57.0,37,42,2013-04-16 11:06:48,2013-04-16 11:07:45
39,123,103.17593118563885,10.476091363109385,57.0,37,42,2013-04-16 11:06:48,2013-04-16 11:07:45
40,137,372.8089989039277,10.476091363109385,57.0,37,42,2013-04-16 11:06:48,2013-04-16 11:07:45
