,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,116,22.08935181458034,2.2313217771696889,50.0,0,2,2013-03-27 11:15:05,2013-03-27 11:15:55
1,125,89.47673704390411,2.2313217771696889,50.0,0,2,2013-03-27 11:15:05,2013-03-27 11:15:55
2,125,0.0,0,60.0,2,3,2013-03-27 11:15:55,2013-03-27 11:16:55
3,125,22.12497876378756,5.9983792638174034,50.0,3,7,2013-03-27 11:16:55,2013-03-27 11:17:45
4,124,80.90212024401272,5.9983792638174034,50.0,3,7,2013-03-27 11:16:55,2013-03-27 11:17:45
5,121,50.70965259865239,5.9983792638174034,50.0,3,7,2013-03-27 11:16:55,2013-03-27 11:17:45
6,122,146.18221158441747,5.9983792638174034,50.0,3,7,2013-03-27 11:16:55,2013-03-27 11:17:45
7,122,298.4404558810024,6.150972162595,60.0,7,9,2013-03-27 11:17:45,2013-03-27 11:18:45
8,113,70.61787387469764,6.150972162595,60.0,7,9,2013-03-27 11:17:45,2013-03-27 11:18:45
9,113,0.0,0,60.0,9,10,2013-03-27 11:18:45,2013-03-27 11:19:45
10,113,44.60522785753631,5.1781227753086867,50.0,10,15,2013-03-27 11:19:45,2013-03-27 11:20:35
11,110,89.73950401042083,5.1781227753086867,50.0,10,15,2013-03-27 11:19:45,2013-03-27 11:20:35
12,104,30.125103386418715,5.1781227753086867,50.0,10,15,2013-03-27 11:19:45,2013-03-27 11:20:35
13,102,45.97104322505972,5.1781227753086867,50.0,10,15,2013-03-27 11:19:45,2013-03-27 11:20:35
14,99,48.46526028599871,5.1781227753086867,50.0,10,15,2013-03-27 11:19:45,2013-03-27 11:20:35
15,99,3.3676035479720587,3.7922685331996182,50.0,15,19,2013-03-27 11:20:35,2013-03-27 11:21:25
16,92,136.46365356825856,3.7922685331996182,50.0,15,19,2013-03-27 11:20:35,2013-03-27 11:21:25
17,73,49.78216954375028,3.7922685331996182,50.0,15,19,2013-03-27 11:20:35,2013-03-27 11:21:25
18,73,0.0,0,50.0,15,19,2013-03-27 11:20:35,2013-03-27 11:21:25
19,73,0.0,0,61.0,19,21,2013-03-27 11:21:25,2013-03-27 11:22:26
20,80,3.388949235775752,0.055556544848782821,61.0,19,21,2013-03-27 11:21:25,2013-03-27 11:22:26
21,80,31.619941915523963,5.706254260042039,60.0,21,26,2013-03-27 11:22:26,2013-03-27 11:23:26
22,81,113.72468836139048,5.706254260042039,60.0,21,26,2013-03-27 11:22:26,2013-03-27 11:23:26
23,65,107.43361198195588,5.706254260042039,60.0,21,26,2013-03-27 11:22:26,2013-03-27 11:23:26
24,60,53.42188817222323,5.706254260042039,60.0,21,26,2013-03-27 11:22:26,2013-03-27 11:23:26
25,55,36.17512517142879,5.706254260042039,60.0,21,26,2013-03-27 11:22:26,2013-03-27 11:23:26
26,55,0.0,0,60.0,26,27,2013-03-27 11:23:26,2013-03-27 11:24:26
27,55,0.0,0,60.0,27,28,2013-03-27 11:24:26,2013-03-27 11:25:26
28,55,0.0,0,61.0,28,29,2013-03-27 11:25:26,2013-03-27 11:26:27
29,55,4.531759592392471,4.1143542057455837,59.0,29,35,2013-03-27 11:26:27,2013-03-27 11:27:26
30,54,4.571992314594792,4.1143542057455837,59.0,29,35,2013-03-27 11:26:27,2013-03-27 11:27:26
31,53,16.820866074741257,4.1143542057455837,59.0,29,35,2013-03-27 11:26:27,2013-03-27 11:27:26
32,50,21.159120614380072,4.1143542057455837,59.0,29,35,2013-03-27 11:26:27,2013-03-27 11:27:26
