,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,41,106.50425666749365,2.5759598612636929,65.0,0,2,2013-04-11 12:31:21,2013-04-11 12:32:26
1,64,60.933134314646395,2.5759598612636929,65.0,0,2,2013-04-11 12:31:21,2013-04-11 12:32:26
2,64,266.034847099606,12.514197495669734,63.0,2,6,2013-04-11 12:32:26,2013-04-11 12:33:29
3,75,157.5722730742944,12.514197495669734,63.0,2,6,2013-04-11 12:32:26,2013-04-11 12:33:29
4,96,229.75835435134468,12.514197495669734,63.0,2,6,2013-04-11 12:32:26,2013-04-11 12:33:29
5,98,135.02896770194818,12.514197495669734,63.0,2,6,2013-04-11 12:32:26,2013-04-11 12:33:29
6,98,11.693341468466027,4.50515761603162,66.0,6,12,2013-04-11 12:33:29,2013-04-11 12:34:35
7,102,45.97104322505972,4.50515761603162,66.0,6,12,2013-04-11 12:33:29,2013-04-11 12:34:35
8,104,30.125103386418715,4.50515761603162,66.0,6,12,2013-04-11 12:33:29,2013-04-11 12:34:35
9,110,89.73950401042083,4.50515761603162,66.0,6,12,2013-04-11 12:33:29,2013-04-11 12:34:35
10,113,115.22310173223394,4.50515761603162,66.0,6,12,2013-04-11 12:33:29,2013-04-11 12:34:35
11,122,4.588308835487668,4.50515761603162,66.0,6,12,2013-04-11 12:33:29,2013-04-11 12:34:35
12,122,400.94867887055017,7.2899759794645487,55.0,12,13,2013-04-11 12:34:35,2013-04-11 12:35:30
13,122,39.085679759381954,2.4431133553029136,64.0,13,16,2013-04-11 12:35:30,2013-04-11 12:36:34
14,121,50.70965259865239,2.4431133553029136,64.0,13,16,2013-04-11 12:35:30,2013-04-11 12:36:34
15,124,66.56392238135214,2.4431133553029136,64.0,13,16,2013-04-11 12:35:30,2013-04-11 12:36:34
16,124,14.33819786266058,3.1492840473737438,64.0,16,19,2013-04-11 12:36:34,2013-04-11 12:37:38
17,125,111.60171580769163,3.1492840473737438,64.0,16,19,2013-04-11 12:36:34,2013-04-11 12:37:38
18,114,75.61426536156738,3.1492840473737438,64.0,16,19,2013-04-11 12:36:34,2013-04-11 12:37:38
19,114,0.0,0,65.0,19,20,2013-04-11 12:37:38,2013-04-11 12:38:43
20,114,73.21646268578509,12.224552881451725,64.0,20,29,2013-04-11 12:38:43,2013-04-11 12:39:47
21,103,19.47464451933768,12.224552881451725,64.0,20,29,2013-04-11 12:38:43,2013-04-11 12:39:47
22,101,120.21775326594316,12.224552881451725,64.0,20,29,2013-04-11 12:38:43,2013-04-11 12:39:47
23,88,45.02078124498265,12.224552881451725,64.0,20,29,2013-04-11 12:38:43,2013-04-11 12:39:47
24,86,157.81149383159942,12.224552881451725,64.0,20,29,2013-04-11 12:38:43,2013-04-11 12:39:47
25,62,63.805045486109,12.224552881451725,64.0,20,29,2013-04-11 12:38:43,2013-04-11 12:39:47
26,56,87.64583605470264,12.224552881451725,64.0,20,29,2013-04-11 12:38:43,2013-04-11 12:39:47
27,48,118.72716425943608,12.224552881451725,64.0,20,29,2013-04-11 12:38:43,2013-04-11 12:39:47
28,52,96.45220306501469,12.224552881451725,64.0,20,29,2013-04-11 12:38:43,2013-04-11 12:39:47
29,52,49.31119133612616,4.3271119911884783,63.0,29,34,2013-04-11 12:39:47,2013-04-11 12:40:50
30,51,71.84029904808705,4.3271119911884783,63.0,29,34,2013-04-11 12:39:47,2013-04-11 12:40:50
31,45,47.93824330246133,4.3271119911884783,63.0,29,34,2013-04-11 12:39:47,2013-04-11 12:40:50
32,42,85.12061111008711,4.3271119911884783,63.0,29,34,2013-04-11 12:39:47,2013-04-11 12:40:50
33,38,18.39771064811248,4.3271119911884783,63.0,29,34,2013-04-11 12:39:47,2013-04-11 12:40:50
34,38,66.33514553625817,2.90200619009893,62.0,34,37,2013-04-11 12:40:50,2013-04-11 12:41:52
35,32,5.1988395985706015,2.90200619009893,62.0,34,37,2013-04-11 12:40:50,2013-04-11 12:41:52
36,31,108.3903986513049,2.90200619009893,62.0,34,37,2013-04-11 12:40:50,2013-04-11 12:41:52
37,31,20.805285005187443,3.8946964887679769,51.0,37,42,2013-04-11 12:41:52,2013-04-11 12:42:43
38,26,50.999812235480974,3.8946964887679769,51.0,37,42,2013-04-11 12:41:52,2013-04-11 12:42:43
39,29,53.29381049579379,3.8946964887679769,51.0,37,42,2013-04-11 12:41:52,2013-04-11 12:42:43
