,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,147,129.0542823816749,8.4360127824657738,65.0,0,7,2013-04-18 11:00:16,2013-04-18 11:01:21
1,148,1.135947834481573,8.4360127824657738,65.0,0,7,2013-04-18 11:00:16,2013-04-18 11:01:21
2,158,183.65978390089592,8.4360127824657738,65.0,0,7,2013-04-18 11:00:16,2013-04-18 11:01:21
3,167,67.18663417911597,8.4360127824657738,65.0,0,7,2013-04-18 11:00:16,2013-04-18 11:01:21
4,168,19.50775465934546,8.4360127824657738,65.0,0,7,2013-04-18 11:00:16,2013-04-18 11:01:21
5,169,107.30937391256128,8.4360127824657738,65.0,0,7,2013-04-18 11:00:16,2013-04-18 11:01:21
6,166,40.48705399220019,8.4360127824657738,65.0,0,7,2013-04-18 11:00:16,2013-04-18 11:01:21
7,166,8.981186737120767,1.0039369954560531,56.0,7,10,2013-04-18 11:01:21,2013-04-18 11:02:17
8,160,47.23928500841821,1.0039369954560531,56.0,7,10,2013-04-18 11:01:21,2013-04-18 11:02:17
9,160,0.0,0,56.0,7,10,2013-04-18 11:01:21,2013-04-18 11:02:17
10,160,0.0,0,65.0,10,15,2013-04-18 11:02:17,2013-04-18 11:03:22
11,159,186.5447984199036,7.2273116752505597,65.0,10,15,2013-04-18 11:02:17,2013-04-18 11:03:22
12,149,147.2937137705204,7.2273116752505597,65.0,10,15,2013-04-18 11:02:17,2013-04-18 11:03:22
13,143,68.17111848071697,7.2273116752505597,65.0,10,15,2013-04-18 11:02:17,2013-04-18 11:03:22
14,138,67.76562822014543,7.2273116752505597,65.0,10,15,2013-04-18 11:02:17,2013-04-18 11:03:22
15,138,13.102957534414037,3.019447445993249,57.0,15,18,2013-04-18 11:03:22,2013-04-18 11:04:19
16,133,44.478359950157746,3.019447445993249,57.0,15,18,2013-04-18 11:03:22,2013-04-18 11:04:19
17,134,114.5271869370434,3.019447445993249,57.0,15,18,2013-04-18 11:03:22,2013-04-18 11:04:19
18,134,33.320520929043106,5.847771428860697,64.0,18,23,2013-04-18 11:04:19,2013-04-18 11:05:23
19,135,198.64555072279487,5.847771428860697,64.0,18,23,2013-04-18 11:04:19,2013-04-18 11:05:23
20,130,85.02183316533896,5.847771428860697,64.0,18,23,2013-04-18 11:04:19,2013-04-18 11:05:23
21,126,23.55383863899959,5.847771428860697,64.0,18,23,2013-04-18 11:04:19,2013-04-18 11:05:23
22,124,33.71562799090803,5.847771428860697,64.0,18,23,2013-04-18 11:04:19,2013-04-18 11:05:23
23,124,47.18649225310469,5.175216263559089,64.0,23,29,2013-04-18 11:05:23,2013-04-18 11:06:27
24,121,50.70965259865239,5.175216263559089,64.0,23,29,2013-04-18 11:05:23,2013-04-18 11:06:27
25,119,113.44139428481772,5.175216263559089,64.0,23,29,2013-04-18 11:05:23,2013-04-18 11:06:27
26,112,74.30123629783394,5.175216263559089,64.0,23,29,2013-04-18 11:05:23,2013-04-18 11:06:27
27,111,29.97705812337736,5.175216263559089,64.0,23,29,2013-04-18 11:05:23,2013-04-18 11:06:27
28,109,15.598007309995566,5.175216263559089,64.0,23,29,2013-04-18 11:05:23,2013-04-18 11:06:27
29,109,5.791704023797733,3.7808771846248277,64.0,29,35,2013-04-18 11:06:27,2013-04-18 11:07:31
30,108,14.246214786088672,3.7808771846248277,64.0,29,35,2013-04-18 11:06:27,2013-04-18 11:07:31
31,105,40.87079300991758,3.7808771846248277,64.0,29,35,2013-04-18 11:06:27,2013-04-18 11:07:31
32,100,63.2420451263762,3.7808771846248277,64.0,29,35,2013-04-18 11:06:27,2013-04-18 11:07:31
33,93,68.85396962197481,3.7808771846248277,64.0,29,35,2013-04-18 11:06:27,2013-04-18 11:07:31
34,87,48.97141324783399,3.7808771846248277,64.0,29,35,2013-04-18 11:06:27,2013-04-18 11:07:31
35,87,4.7960796674459845,1.6367921472282039,64.0,35,39,2013-04-18 11:07:31,2013-04-18 11:08:35
36,85,12.493472341092213,1.6367921472282039,64.0,35,39,2013-04-18 11:07:31,2013-04-18 11:08:35
37,79,7.600636519212181,1.6367921472282039,64.0,35,39,2013-04-18 11:07:31,2013-04-18 11:08:35
38,77,79.86450889485467,1.6367921472282039,64.0,35,39,2013-04-18 11:07:31,2013-04-18 11:08:35
39,77,14.336183378611054,3.6274631211206798,57.0,39,43,2013-04-18 11:08:35,2013-04-18 11:09:32
40,65,107.43361198195588,3.6274631211206798,57.0,39,43,2013-04-18 11:08:35,2013-04-18 11:09:32
41,60,53.42188817222323,3.6274631211206798,57.0,39,43,2013-04-18 11:08:35,2013-04-18 11:09:32
42,55,31.57371437108857,3.6274631211206798,57.0,39,43,2013-04-18 11:08:35,2013-04-18 11:09:32
43,55,9.133170392732696,7.6403089711567587,56.0,43,52,2013-04-18 11:09:32,2013-04-18 11:10:28
44,54,4.571992314594792,7.6403089711567587,56.0,43,52,2013-04-18 11:09:32,2013-04-18 11:10:28
45,53,16.820866074741257,7.6403089711567587,56.0,43,52,2013-04-18 11:09:32,2013-04-18 11:10:28
46,50,21.159120614380072,7.6403089711567587,56.0,43,52,2013-04-18 11:09:32,2013-04-18 11:10:28
47,47,115.18124893532033,7.6403089711567587,56.0,43,52,2013-04-18 11:09:32,2013-04-18 11:10:28
48,39,69.66982264264902,7.6403089711567587,56.0,43,52,2013-04-18 11:09:32,2013-04-18 11:10:28
49,37,119.77706421997559,7.6403089711567587,56.0,43,52,2013-04-18 11:09:32,2013-04-18 11:10:28
50,28,0.742875914468895,7.6403089711567587,56.0,43,52,2013-04-18 11:09:32,2013-04-18 11:10:28
51,27,70.80114127591584,7.6403089711567587,56.0,43,52,2013-04-18 11:09:32,2013-04-18 11:10:28
52,27,95.30009466365252,7.3308524496730456,64.0,52,57,2013-04-18 11:10:28,2013-04-18 11:11:32
53,15,97.25806938140207,7.3308524496730456,64.0,52,57,2013-04-18 11:10:28,2013-04-18 11:11:32
54,12,153.10876097121226,7.3308524496730456,64.0,52,57,2013-04-18 11:10:28,2013-04-18 11:11:32
55,7,59.932628780285775,7.3308524496730456,64.0,52,57,2013-04-18 11:10:28,2013-04-18 11:11:32
56,5,63.57500298252228,7.3308524496730456,64.0,52,57,2013-04-18 11:10:28,2013-04-18 11:11:32
57,5,16.990167253858992,3.5477342864774397,56.0,57,60,2013-04-18 11:11:32,2013-04-18 11:12:28
58,2,46.39654331952561,3.5477342864774397,56.0,57,60,2013-04-18 11:11:32,2013-04-18 11:12:28
59,4,135.286409469352,3.5477342864774397,56.0,57,60,2013-04-18 11:11:32,2013-04-18 11:12:28
60,4,135.286409469352,3.7598206792661966,60.0,60,63,2013-04-18 11:12:28,2013-04-18 11:13:28
61,2,46.39654331952561,3.7598206792661966,60.0,60,63,2013-04-18 11:12:28,2013-04-18 11:13:28
62,5,43.906287967094144,3.7598206792661966,60.0,60,63,2013-04-18 11:12:28,2013-04-18 11:13:28
63,5,36.65888226928711,6.1169424530871277,57.0,63,68,2013-04-18 11:13:28,2013-04-18 11:14:25
64,7,59.932628780285775,6.1169424530871277,57.0,63,68,2013-04-18 11:13:28,2013-04-18 11:14:25
65,12,153.10876097121226,6.1169424530871277,57.0,63,68,2013-04-18 11:13:28,2013-04-18 11:14:25
66,15,97.25806938140207,6.1169424530871277,57.0,63,68,2013-04-18 11:13:28,2013-04-18 11:14:25
67,27,1.7073784237790863,6.1169424530871277,57.0,63,68,2013-04-18 11:13:28,2013-04-18 11:14:25
68,27,1.7073784237790863,7.6193105665714587,52.0,68,74,2013-04-18 11:14:25,2013-04-18 11:15:17
