,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,24,12.986985575508552,5.0594722959700382,66.0,0,4,2013-03-26 20:54:44,2013-03-26 20:55:50
1,25,17.94416853991589,5.0594722959700382,66.0,0,4,2013-03-26 20:54:44,2013-03-26 20:55:50
2,43,234.07127942711503,5.0594722959700382,66.0,0,4,2013-03-26 20:54:44,2013-03-26 20:55:50
3,59,68.92273799148306,5.0594722959700382,66.0,0,4,2013-03-26 20:54:44,2013-03-26 20:55:50
4,59,111.16858830293569,5.5607661055507922,74.0,4,10,2013-03-26 20:55:50,2013-03-26 20:57:04
5,61,23.18422917674395,5.5607661055507922,74.0,4,10,2013-03-26 20:55:50,2013-03-26 20:57:04
6,72,134.7595872130023,5.5607661055507922,74.0,4,10,2013-03-26 20:55:50,2013-03-26 20:57:04
7,73,49.78216954375028,5.5607661055507922,74.0,4,10,2013-03-26 20:55:50,2013-03-26 20:57:04
8,80,35.008891151299714,5.5607661055507922,74.0,4,10,2013-03-26 20:55:50,2013-03-26 20:57:04
9,81,57.59322642302666,5.5607661055507922,74.0,4,10,2013-03-26 20:55:50,2013-03-26 20:57:04
10,81,56.13146193836385,2.7103828001232886,67.0,10,15,2013-03-26 20:57:04,2013-03-26 20:58:11
11,77,94.2006922734657,2.7103828001232886,67.0,10,15,2013-03-26 20:57:04,2013-03-26 20:58:11
12,79,7.600636519212181,2.7103828001232886,67.0,10,15,2013-03-26 20:57:04,2013-03-26 20:58:11
13,85,12.493472341092213,2.7103828001232886,67.0,10,15,2013-03-26 20:57:04,2013-03-26 20:58:11
14,87,11.16938453612639,2.7103828001232886,67.0,10,15,2013-03-26 20:57:04,2013-03-26 20:58:11
15,87,42.5981083791536,3.9175495884034679,62.0,15,21,2013-03-26 20:58:11,2013-03-26 20:59:13
16,93,68.85396962197481,3.9175495884034679,62.0,15,21,2013-03-26 20:58:11,2013-03-26 20:59:13
17,100,63.2420451263762,3.9175495884034679,62.0,15,21,2013-03-26 20:58:11,2013-03-26 20:59:13
18,105,40.87079300991758,3.9175495884034679,62.0,15,21,2013-03-26 20:58:11,2013-03-26 20:59:13
19,108,14.246214786088672,3.9175495884034679,62.0,15,21,2013-03-26 20:58:11,2013-03-26 20:59:13
20,109,13.076943557504125,3.9175495884034679,62.0,15,21,2013-03-26 20:58:11,2013-03-26 20:59:13
21,109,8.312767776289173,1.9976309592677632,65.0,21,25,2013-03-26 20:59:13,2013-03-26 21:00:18
22,111,29.97705812337736,1.9976309592677632,65.0,21,25,2013-03-26 20:59:13,2013-03-26 21:00:18
23,112,74.30123629783394,1.9976309592677632,65.0,21,25,2013-03-26 20:59:13,2013-03-26 21:00:18
24,119,17.25495015490416,1.9976309592677632,65.0,21,25,2013-03-26 20:59:13,2013-03-26 21:00:18
25,119,96.18644412991355,3.9964599468873447,57.0,25,28,2013-03-26 21:00:18,2013-03-26 21:01:15
26,121,50.70965259865239,3.9964599468873447,57.0,25,28,2013-03-26 21:00:18,2013-03-26 21:01:15
27,124,80.90212024401272,3.9964599468873447,57.0,25,28,2013-03-26 21:00:18,2013-03-26 21:01:15
28,124,0.0,0,64.0,28,36,2013-03-26 21:01:15,2013-03-26 21:02:19
29,126,23.55383863899959,9.7020182341132131,64.0,28,36,2013-03-26 21:01:15,2013-03-26 21:02:19
30,130,85.02183316533896,9.7020182341132131,64.0,28,36,2013-03-26 21:01:15,2013-03-26 21:02:19
31,135,198.64555072279487,9.7020182341132131,64.0,28,36,2013-03-26 21:01:15,2013-03-26 21:02:19
32,136,0.9645199779180958,9.7020182341132131,64.0,28,36,2013-03-26 21:01:15,2013-03-26 21:02:19
33,147,228.22913150548527,9.7020182341132131,64.0,28,36,2013-03-26 21:01:15,2013-03-26 21:02:19
34,148,1.135947834481573,9.7020182341132131,64.0,28,36,2013-03-26 21:01:15,2013-03-26 21:02:19
35,158,83.37834513822725,9.7020182341132131,64.0,28,36,2013-03-26 21:01:15,2013-03-26 21:02:19
36,158,100.28143876266864,5.635302331852662,61.0,36,42,2013-03-26 21:02:19,2013-03-26 21:03:20
37,167,67.18663417911597,5.635302331852662,61.0,36,42,2013-03-26 21:02:19,2013-03-26 21:03:20
38,168,19.50775465934546,5.635302331852662,61.0,36,42,2013-03-26 21:02:19,2013-03-26 21:03:20
39,169,107.30937391256128,5.635302331852662,61.0,36,42,2013-03-26 21:02:19,2013-03-26 21:03:20
40,166,49.46824072932097,5.635302331852662,61.0,36,42,2013-03-26 21:02:19,2013-03-26 21:03:20
41,166,0.0,0,61.0,36,42,2013-03-26 21:02:19,2013-03-26 21:03:20
42,166,0.0,0,59.0,42,46,2013-03-26 21:03:20,2013-03-26 21:04:19
43,160,47.23928500841821,4.4949196874433222,59.0,42,46,2013-03-26 21:03:20,2013-03-26 21:04:19
44,159,186.5447984199036,4.4949196874433222,59.0,42,46,2013-03-26 21:03:20,2013-03-26 21:04:19
45,149,31.416178130834183,4.4949196874433222,59.0,42,46,2013-03-26 21:03:20,2013-03-26 21:04:19
46,149,115.87753563968624,3.5228395545233724,71.0,46,49,2013-03-26 21:04:19,2013-03-26 21:05:30
47,143,68.17111848071697,3.5228395545233724,71.0,46,49,2013-03-26 21:04:19,2013-03-26 21:05:30
48,138,66.07295425075623,3.5228395545233724,71.0,46,49,2013-03-26 21:04:19,2013-03-26 21:05:30
49,138,14.79563150380326,3.5829654406870706,74.0,49,53,2013-03-26 21:05:30,2013-03-26 21:06:44
50,133,44.478359950157746,3.5829654406870706,74.0,49,53,2013-03-26 21:05:30,2013-03-26 21:06:44
51,134,147.84770786608655,3.5829654406870706,74.0,49,53,2013-03-26 21:05:30,2013-03-26 21:06:44
52,135,58.01774329079566,3.5829654406870706,74.0,49,53,2013-03-26 21:05:30,2013-03-26 21:06:44
53,135,140.62780743199932,7.6039484055972411,65.0,53,60,2013-03-26 21:06:44,2013-03-26 21:07:49
54,130,85.02183316533896,7.6039484055972411,65.0,53,60,2013-03-26 21:06:44,2013-03-26 21:07:49
55,126,23.55383863899959,7.6039484055972411,65.0,53,60,2013-03-26 21:06:44,2013-03-26 21:07:49
56,124,80.90212024401272,7.6039484055972411,65.0,53,60,2013-03-26 21:06:44,2013-03-26 21:07:49
57,121,50.70965259865239,7.6039484055972411,65.0,53,60,2013-03-26 21:06:44,2013-03-26 21:07:49
58,119,113.44139428481772,7.6039484055972411,65.0,53,60,2013-03-26 21:06:44,2013-03-26 21:07:49
59,119,0.0,0,65.0,53,60,2013-03-26 21:06:44,2013-03-26 21:07:49
60,119,0.0,0,66.0,60,69,2013-03-26 21:07:49,2013-03-26 21:08:55
61,112,74.30123629783394,5.4779257980049003,66.0,60,69,2013-03-26 21:07:49,2013-03-26 21:08:55
62,111,29.97705812337736,5.4779257980049003,66.0,60,69,2013-03-26 21:07:49,2013-03-26 21:08:55
63,109,21.389711333793297,5.4779257980049003,66.0,60,69,2013-03-26 21:07:49,2013-03-26 21:08:55
64,108,14.246214786088672,5.4779257980049003,66.0,60,69,2013-03-26 21:07:49,2013-03-26 21:08:55
65,105,40.87079300991758,5.4779257980049003,66.0,60,69,2013-03-26 21:07:49,2013-03-26 21:08:55
66,100,63.2420451263762,5.4779257980049003,66.0,60,69,2013-03-26 21:07:49,2013-03-26 21:08:55
67,93,68.85396962197481,5.4779257980049003,66.0,60,69,2013-03-26 21:07:49,2013-03-26 21:08:55
68,87,48.66207436896159,5.4779257980049003,66.0,60,69,2013-03-26 21:07:49,2013-03-26 21:08:55
69,87,5.105418546318393,3.8939883272812574,71.0,69,75,2013-03-26 21:08:55,2013-03-26 21:10:06
70,85,12.493472341092213,3.8939883272812574,71.0,69,75,2013-03-26 21:08:55,2013-03-26 21:10:06
71,79,7.600636519212181,3.8939883272812574,71.0,69,75,2013-03-26 21:08:55,2013-03-26 21:10:06
72,77,94.2006922734657,3.8939883272812574,71.0,69,75,2013-03-26 21:08:55,2013-03-26 21:10:06
73,65,107.43361198195588,3.8939883272812574,71.0,69,75,2013-03-26 21:08:55,2013-03-26 21:10:06
74,60,49.63933957492489,3.8939883272812574,71.0,69,75,2013-03-26 21:08:55,2013-03-26 21:10:06
75,60,3.7825485972983457,0.49929473735538354,70.0,75,77,2013-03-26 21:10:06,2013-03-26 21:11:16
76,55,31.168083017578503,0.49929473735538354,70.0,75,77,2013-03-26 21:10:06,2013-03-26 21:11:16
77,55,9.53880174624276,2.4584956638250497,61.0,77,82,2013-03-26 21:11:16,2013-03-26 21:12:17
78,54,4.571992314594792,2.4584956638250497,61.0,77,82,2013-03-26 21:11:16,2013-03-26 21:12:17
79,53,16.820866074741257,2.4584956638250497,61.0,77,82,2013-03-26 21:11:16,2013-03-26 21:12:17
80,50,21.159120614380072,2.4584956638250497,61.0,77,82,2013-03-26 21:11:16,2013-03-26 21:12:17
