,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,77,5.028321166749381,2.787266068093003,70.0,0,4,2013-03-27 16:01:43,2013-03-27 16:02:53
1,65,107.43361198195588,2.787266068093003,70.0,0,4,2013-03-27 16:01:43,2013-03-27 16:02:53
2,60,53.42188817222323,2.787266068093003,70.0,0,4,2013-03-27 16:01:43,2013-03-27 16:02:53
3,55,29.22480344558173,2.787266068093003,70.0,0,4,2013-03-27 16:01:43,2013-03-27 16:02:53
4,55,11.48208131823953,2.2937814617570242,67.0,4,9,2013-03-27 16:02:53,2013-03-27 16:04:00
5,54,4.571992314594792,2.2937814617570242,67.0,4,9,2013-03-27 16:02:53,2013-03-27 16:04:00
6,53,16.820866074741257,2.2937814617570242,67.0,4,9,2013-03-27 16:02:53,2013-03-27 16:04:00
7,50,21.159120614380072,2.2937814617570242,67.0,4,9,2013-03-27 16:02:53,2013-03-27 16:04:00
8,47,99.64929761576497,2.2937814617570242,67.0,4,9,2013-03-27 16:02:53,2013-03-27 16:04:00
9,47,15.53195131955538,4.9321052068644855,66.0,9,14,2013-03-27 16:04:00,2013-03-27 16:05:06
10,39,69.66982264264902,4.9321052068644855,66.0,9,14,2013-03-27 16:04:00,2013-03-27 16:05:06
11,37,119.77706421997559,4.9321052068644855,66.0,9,14,2013-03-27 16:04:00,2013-03-27 16:05:06
12,28,0.742875914468895,4.9321052068644855,66.0,9,14,2013-03-27 16:04:00,2013-03-27 16:05:06
13,27,119.7972295564072,4.9321052068644855,66.0,9,14,2013-03-27 16:04:00,2013-03-27 16:05:06
14,27,46.30400638316118,6.6128876685485167,66.0,14,19,2013-03-27 16:05:06,2013-03-27 16:06:12
15,15,97.25806938140207,6.6128876685485167,66.0,14,19,2013-03-27 16:05:06,2013-03-27 16:06:12
16,12,153.10876097121226,6.6128876685485167,66.0,14,19,2013-03-27 16:05:06,2013-03-27 16:06:12
17,7,59.932628780285775,6.6128876685485167,66.0,14,19,2013-03-27 16:05:06,2013-03-27 16:06:12
18,5,79.84712060814083,6.6128876685485167,66.0,14,19,2013-03-27 16:05:06,2013-03-27 16:06:12
19,5,0.7180496282404406,1.821957856543281,64.0,19,22,2013-03-27 16:06:12,2013-03-27 16:07:16
20,2,46.39654331952561,1.821957856543281,64.0,19,22,2013-03-27 16:06:12,2013-03-27 16:07:16
21,3,69.49070987100393,1.821957856543281,64.0,19,22,2013-03-27 16:06:12,2013-03-27 16:07:16
22,3,69.49070987100393,2.0404646931917241,56.0,22,24,2013-03-27 16:07:16,2013-03-27 16:08:12
23,2,44.77531294773264,2.0404646931917241,56.0,22,24,2013-03-27 16:07:16,2013-03-27 16:08:12
24,2,1.621230371792986,6.2100694499079543,60.0,24,29,2013-03-27 16:08:12,2013-03-27 16:09:12
25,5,80.56517023638126,6.2100694499079543,60.0,24,29,2013-03-27 16:08:12,2013-03-27 16:09:12
26,7,59.932628780285775,6.2100694499079543,60.0,24,29,2013-03-27 16:08:12,2013-03-27 16:09:12
27,12,153.10876097121226,6.2100694499079543,60.0,24,29,2013-03-27 16:08:12,2013-03-27 16:09:12
28,15,77.37637663480498,6.2100694499079543,60.0,24,29,2013-03-27 16:08:12,2013-03-27 16:09:12
29,15,19.881692746597096,5.0424057347536797,61.0,29,32,2013-03-27 16:09:12,2013-03-27 16:10:13
30,14,140.5320896530477,5.0424057347536797,61.0,29,32,2013-03-27 16:09:12,2013-03-27 16:10:13
31,24,147.17296742032968,5.0424057347536797,61.0,29,32,2013-03-27 16:09:12,2013-03-27 16:10:13
32,24,5.899492251164105,5.434352446277793,70.0,32,37,2013-03-27 16:10:13,2013-03-27 16:11:23
33,23,69.16164577556178,5.434352446277793,70.0,32,37,2013-03-27 16:10:13,2013-03-27 16:11:23
34,21,31.730575937833446,5.434352446277793,70.0,32,37,2013-03-27 16:10:13,2013-03-27 16:11:23
35,19,6.2893467729072965,5.434352446277793,70.0,32,37,2013-03-27 16:10:13,2013-03-27 16:11:23
36,17,267.32361050197886,5.434352446277793,70.0,32,37,2013-03-27 16:10:13,2013-03-27 16:11:23
37,17,32.423942527022874,4.7407492591338896,66.0,37,39,2013-03-27 16:11:23,2013-03-27 16:12:29
38,16,280.46550857581383,4.7407492591338896,66.0,37,39,2013-03-27 16:11:23,2013-03-27 16:12:29
39,16,29.79605127570932,4.9714398935626649,66.0,39,45,2013-03-27 16:12:29,2013-03-27 16:13:35
40,20,53.99611118178011,4.9714398935626649,66.0,39,45,2013-03-27 16:12:29,2013-03-27 16:13:35
41,21,31.730575937833446,4.9714398935626649,66.0,39,45,2013-03-27 16:12:29,2013-03-27 16:13:35
42,23,69.16164577556178,4.9714398935626649,66.0,39,45,2013-03-27 16:12:29,2013-03-27 16:13:35
43,25,17.94416853991589,4.9714398935626649,66.0,39,45,2013-03-27 16:12:29,2013-03-27 16:13:35
44,43,125.48648026433534,4.9714398935626649,66.0,39,45,2013-03-27 16:12:29,2013-03-27 16:13:35
45,43,108.58479916277972,6.4288707538346239,65.0,45,49,2013-03-27 16:13:35,2013-03-27 16:14:40
46,59,180.09132629441876,6.4288707538346239,65.0,45,49,2013-03-27 16:13:35,2013-03-27 16:14:40
47,61,23.18422917674395,6.4288707538346239,65.0,45,49,2013-03-27 16:13:35,2013-03-27 16:14:40
48,72,106.01624436530813,6.4288707538346239,65.0,45,49,2013-03-27 16:13:35,2013-03-27 16:14:40
49,72,28.743342847694176,2.8462495635610625,75.0,49,53,2013-03-27 16:14:40,2013-03-27 16:15:55
50,73,49.78216954375028,2.8462495635610625,75.0,49,53,2013-03-27 16:14:40,2013-03-27 16:15:55
51,80,35.008891151299714,2.8462495635610625,75.0,49,53,2013-03-27 16:14:40,2013-03-27 16:15:55
52,81,99.9343137243355,2.8462495635610625,75.0,49,53,2013-03-27 16:14:40,2013-03-27 16:15:55
53,81,13.790374637055011,3.1867759696100091,70.0,53,59,2013-03-27 16:15:55,2013-03-27 16:17:05
54,77,94.2006922734657,3.1867759696100091,70.0,53,59,2013-03-27 16:15:55,2013-03-27 16:17:05
55,79,7.600636519212181,3.1867759696100091,70.0,53,59,2013-03-27 16:15:55,2013-03-27 16:17:05
56,85,12.493472341092213,3.1867759696100091,70.0,53,59,2013-03-27 16:15:55,2013-03-27 16:17:05
57,87,53.76749291527999,3.1867759696100091,70.0,53,59,2013-03-27 16:15:55,2013-03-27 16:17:05
58,93,41.22164918659554,3.1867759696100091,70.0,53,59,2013-03-27 16:15:55,2013-03-27 16:17:05
59,93,27.63232043537927,5.0907987734869948,63.0,59,67,2013-03-27 16:17:05,2013-03-27 16:18:08
60,100,63.2420451263762,5.0907987734869948,63.0,59,67,2013-03-27 16:17:05,2013-03-27 16:18:08
61,105,40.87079300991758,5.0907987734869948,63.0,59,67,2013-03-27 16:17:05,2013-03-27 16:18:08
62,108,14.246214786088672,5.0907987734869948,63.0,59,67,2013-03-27 16:17:05,2013-03-27 16:18:08
63,109,21.389711333793297,5.0907987734869948,63.0,59,67,2013-03-27 16:17:05,2013-03-27 16:18:08
64,111,29.97705812337736,5.0907987734869948,63.0,59,67,2013-03-27 16:17:05,2013-03-27 16:18:08
65,112,74.30123629783394,5.0907987734869948,63.0,59,67,2013-03-27 16:17:05,2013-03-27 16:18:08
66,119,49.060943616914386,5.0907987734869948,63.0,59,67,2013-03-27 16:17:05,2013-03-27 16:18:08
67,119,64.38045066790332,1.8867230043697656,61.0,67,69,2013-03-27 16:18:08,2013-03-27 16:19:09
68,121,50.70965259865239,1.8867230043697656,61.0,67,69,2013-03-27 16:18:08,2013-03-27 16:19:09
69,121,0.0,0,62.0,69,78,2013-03-27 16:19:09,2013-03-27 16:20:11
70,124,80.90212024401272,10.437444995949319,62.0,69,78,2013-03-27 16:19:09,2013-03-27 16:20:11
71,126,23.55383863899959,10.437444995949319,62.0,69,78,2013-03-27 16:19:09,2013-03-27 16:20:11
72,130,85.02183316533896,10.437444995949319,62.0,69,78,2013-03-27 16:19:09,2013-03-27 16:20:11
73,135,198.64555072279487,10.437444995949319,62.0,69,78,2013-03-27 16:19:09,2013-03-27 16:20:11
74,136,0.9645199779180958,10.437444995949319,62.0,69,78,2013-03-27 16:19:09,2013-03-27 16:20:11
75,147,228.22913150548527,10.437444995949319,62.0,69,78,2013-03-27 16:19:09,2013-03-27 16:20:11
76,148,1.135947834481573,10.437444995949319,62.0,69,78,2013-03-27 16:19:09,2013-03-27 16:20:11
77,158,28.668647659826732,10.437444995949319,62.0,69,78,2013-03-27 16:19:09,2013-03-27 16:20:11
78,158,154.99113624106909,6.0373202988092842,66.0,78,84,2013-03-27 16:20:11,2013-03-27 16:21:17
79,167,67.18663417911597,6.0373202988092842,66.0,78,84,2013-03-27 16:20:11,2013-03-27 16:21:17
