,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,125,4.754638908701673,5.171429602492533,56.0,0,4,2013-04-18 11:20:16,2013-04-18 11:21:12
1,114,148.83072804735247,5.171429602492533,56.0,0,4,2013-04-18 11:20:16,2013-04-18 11:21:12
2,103,19.47464451933768,5.171429602492533,56.0,0,4,2013-04-18 11:20:16,2013-04-18 11:21:12
3,101,116.54004626419004,5.171429602492533,56.0,0,4,2013-04-18 11:20:16,2013-04-18 11:21:12
4,101,3.67770700175313,7.7340831275431769,64.0,4,11,2013-04-18 11:21:12,2013-04-18 11:22:16
5,88,45.02078124498265,7.7340831275431769,64.0,4,11,2013-04-18 11:21:12,2013-04-18 11:22:16
6,86,157.81149383159942,7.7340831275431769,64.0,4,11,2013-04-18 11:21:12,2013-04-18 11:22:16
7,62,63.805045486109,7.7340831275431769,64.0,4,11,2013-04-18 11:21:12,2013-04-18 11:22:16
8,56,87.64583605470264,7.7340831275431769,64.0,4,11,2013-04-18 11:21:12,2013-04-18 11:22:16
9,49,48.4851815400175,7.7340831275431769,64.0,4,11,2013-04-18 11:21:12,2013-04-18 11:22:16
10,44,88.53527500359901,7.7340831275431769,64.0,4,11,2013-04-18 11:21:12,2013-04-18 11:22:16
11,44,29.311451794333,3.9738084407198433,66.0,11,15,2013-04-18 11:22:16,2013-04-18 11:23:22
12,36,30.64228545413416,3.9738084407198433,66.0,11,15,2013-04-18 11:22:16,2013-04-18 11:23:22
13,33,156.87164666320308,3.9738084407198433,66.0,11,15,2013-04-18 11:22:16,2013-04-18 11:23:22
14,22,45.445973175839406,3.9738084407198433,66.0,11,15,2013-04-18 11:22:16,2013-04-18 11:23:22
15,22,29.94423353815835,2.5810554516412587,64.0,15,18,2013-04-18 11:23:22,2013-04-18 11:24:26
16,18,20.087352318222926,2.5810554516412587,64.0,15,18,2013-04-18 11:23:22,2013-04-18 11:24:26
17,13,115.15596304865929,2.5810554516412587,64.0,15,18,2013-04-18 11:23:22,2013-04-18 11:24:26
18,13,43.360403057932025,7.6289958559017048,65.0,18,25,2013-04-18 11:24:26,2013-04-18 11:25:31
