,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,80,0.5276968881734732,0.0081184136642072791,65.0,0,2,2013-04-09 11:15:31,2013-04-09 11:16:36
1,73,0.0,0,65.0,0,2,2013-04-09 11:15:31,2013-04-09 11:16:36
2,73,0.0,0,64.0,2,8,2013-04-09 11:16:36,2013-04-09 11:17:40
3,80,35.008891151299714,4.1098184476009418,64.0,2,8,2013-04-09 11:16:36,2013-04-09 11:17:40
4,81,113.72468836139048,4.1098184476009418,64.0,2,8,2013-04-09 11:16:36,2013-04-09 11:17:40
5,77,94.2006922734657,4.1098184476009418,64.0,2,8,2013-04-09 11:16:36,2013-04-09 11:17:40
6,79,7.600636519212181,4.1098184476009418,64.0,2,8,2013-04-09 11:16:36,2013-04-09 11:17:40
7,85,12.493472341092213,4.1098184476009418,64.0,2,8,2013-04-09 11:16:36,2013-04-09 11:17:40
8,85,0.0,0,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
9,87,53.76749291527999,5.9439279126457674,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
10,93,68.85396962197481,5.9439279126457674,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
11,100,63.2420451263762,5.9439279126457674,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
12,105,40.87079300991758,5.9439279126457674,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
13,108,14.246214786088672,5.9439279126457674,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
14,109,21.389711333793297,5.9439279126457674,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
15,111,29.97705812337736,5.9439279126457674,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
16,112,74.30123629783394,5.9439279126457674,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
17,119,13.76286519468724,5.9439279126457674,64.0,8,18,2013-04-09 11:17:40,2013-04-09 11:18:44
18,119,99.67852909013048,3.8548383655465934,60.0,18,21,2013-04-09 11:18:44,2013-04-09 11:19:44
19,121,50.70965259865239,3.8548383655465934,60.0,18,21,2013-04-09 11:18:44,2013-04-09 11:19:44
20,124,80.90212024401272,3.8548383655465934,60.0,18,21,2013-04-09 11:18:44,2013-04-09 11:19:44
21,124,0.0,0,62.0,21,29,2013-04-09 11:19:44,2013-04-09 11:20:46
22,125,111.60171580769163,10.312762870986841,62.0,21,29,2013-04-09 11:19:44,2013-04-09 11:20:46
23,114,148.83072804735247,10.312762870986841,62.0,21,29,2013-04-09 11:19:44,2013-04-09 11:20:46
24,103,19.47464451933768,10.312762870986841,62.0,21,29,2013-04-09 11:19:44,2013-04-09 11:20:46
25,101,120.21775326594316,10.312762870986841,62.0,21,29,2013-04-09 11:19:44,2013-04-09 11:20:46
26,88,45.02078124498265,10.312762870986841,62.0,21,29,2013-04-09 11:19:44,2013-04-09 11:20:46
27,86,157.81149383159942,10.312762870986841,62.0,21,29,2013-04-09 11:19:44,2013-04-09 11:20:46
28,62,36.43418128427726,10.312762870986841,62.0,21,29,2013-04-09 11:19:44,2013-04-09 11:20:46
29,62,27.370864201831733,1.3331682862666754,64.0,29,31,2013-04-09 11:20:46,2013-04-09 11:21:50
30,56,57.951906119235495,1.3331682862666754,64.0,29,31,2013-04-09 11:20:46,2013-04-09 11:21:50
31,56,29.693929935467143,4.5637703040580204,64.0,31,36,2013-04-09 11:21:50,2013-04-09 11:22:54
32,49,48.4851815400175,4.5637703040580204,64.0,31,36,2013-04-09 11:21:50,2013-04-09 11:22:54
33,44,117.84672679793199,4.5637703040580204,64.0,31,36,2013-04-09 11:21:50,2013-04-09 11:22:54
34,36,30.64228545413416,4.5637703040580204,64.0,31,36,2013-04-09 11:21:50,2013-04-09 11:22:54
35,33,65.4131757321625,4.5637703040580204,64.0,31,36,2013-04-09 11:21:50,2013-04-09 11:22:54
36,33,91.45847093104065,4.5901329934656525,64.0,36,40,2013-04-09 11:22:54,2013-04-09 11:23:58
37,22,75.39020671399777,4.5901329934656525,64.0,36,40,2013-04-09 11:22:54,2013-04-09 11:23:58
