,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,118,165.5520414976056,3.2093230582425663,63.0,0,2,2013-03-27 16:01:41,2013-03-27 16:02:44
1,99,36.635311171676065,3.2093230582425663,63.0,0,2,2013-03-27 16:01:41,2013-03-27 16:02:44
2,99,15.197552662294688,4.9901509264828627,65.0,2,7,2013-03-27 16:02:44,2013-03-27 16:03:49
3,92,136.46365356825856,4.9901509264828627,65.0,2,7,2013-03-27 16:02:44,2013-03-27 16:03:49
4,73,49.78216954375028,4.9901509264828627,65.0,2,7,2013-03-27 16:02:44,2013-03-27 16:03:49
5,80,35.008891151299714,4.9901509264828627,65.0,2,7,2013-03-27 16:02:44,2013-03-27 16:03:49
6,81,87.9075432957828,4.9901509264828627,65.0,2,7,2013-03-27 16:02:44,2013-03-27 16:03:49
7,81,25.817145065607704,3.514778268666229,66.0,7,13,2013-03-27 16:03:49,2013-03-27 16:04:55
8,77,94.2006922734657,3.514778268666229,66.0,7,13,2013-03-27 16:03:49,2013-03-27 16:04:55
9,79,7.600636519212181,3.514778268666229,66.0,7,13,2013-03-27 16:03:49,2013-03-27 16:04:55
10,85,12.493472341092213,3.514778268666229,66.0,7,13,2013-03-27 16:03:49,2013-03-27 16:04:55
11,87,53.76749291527999,3.514778268666229,66.0,7,13,2013-03-27 16:03:49,2013-03-27 16:04:55
12,93,38.09592661731336,3.514778268666229,66.0,7,13,2013-03-27 16:03:49,2013-03-27 16:04:55
13,93,30.75804300466145,6.0275143375871147,63.0,13,21,2013-03-27 16:04:55,2013-03-27 16:05:58
14,100,63.2420451263762,6.0275143375871147,63.0,13,21,2013-03-27 16:04:55,2013-03-27 16:05:58
15,105,40.87079300991758,6.0275143375871147,63.0,13,21,2013-03-27 16:04:55,2013-03-27 16:05:58
16,108,14.246214786088672,6.0275143375871147,63.0,13,21,2013-03-27 16:04:55,2013-03-27 16:05:58
17,109,21.389711333793297,6.0275143375871147,63.0,13,21,2013-03-27 16:04:55,2013-03-27 16:05:58
18,111,29.97705812337736,6.0275143375871147,63.0,13,21,2013-03-27 16:04:55,2013-03-27 16:05:58
19,112,74.30123629783394,6.0275143375871147,63.0,13,21,2013-03-27 16:04:55,2013-03-27 16:05:58
20,119,104.94830158593979,6.0275143375871147,63.0,13,21,2013-03-27 16:04:55,2013-03-27 16:05:58
21,119,8.493092698877902,3.2714356116580929,64.0,21,25,2013-03-27 16:05:58,2013-03-27 16:07:02
22,121,50.70965259865239,3.2714356116580929,64.0,21,25,2013-03-27 16:05:58,2013-03-27 16:07:02
