,road_id,length,speed_mps,ts_delta_sec,ts_idx_prev,ts_idx_next,ts_prev,ts_next
0,119,110.72135203527046,3.5266416349473091,65.0,0,3,2013-03-27 20:35:15,2013-03-27 20:36:20
1,121,50.70965259865239,3.5266416349473091,65.0,0,3,2013-03-27 20:35:15,2013-03-27 20:36:20
2,124,67.80070163765227,3.5266416349473091,65.0,0,3,2013-03-27 20:35:15,2013-03-27 20:36:20
3,124,13.101418606360454,4.6035618576381383,67.0,3,8,2013-03-27 20:36:20,2013-03-27 20:37:27
4,125,111.60171580769163,4.6035618576381383,67.0,3,8,2013-03-27 20:36:20,2013-03-27 20:37:27
5,114,148.83072804735247,4.6035618576381383,67.0,3,8,2013-03-27 20:36:20,2013-03-27 20:37:27
6,103,19.47464451933768,4.6035618576381383,67.0,3,8,2013-03-27 20:36:20,2013-03-27 20:37:27
7,101,15.430137481012965,4.6035618576381383,67.0,3,8,2013-03-27 20:36:20,2013-03-27 20:37:27
8,101,104.78761578493021,5.57272029273134,64.0,8,12,2013-03-27 20:37:27,2013-03-27 20:38:31
9,88,45.02078124498265,5.57272029273134,64.0,8,12,2013-03-27 20:37:27,2013-03-27 20:38:31
10,86,157.81149383159942,5.57272029273134,64.0,8,12,2013-03-27 20:37:27,2013-03-27 20:38:31
11,62,49.03420787329347,5.57272029273134,64.0,8,12,2013-03-27 20:37:27,2013-03-27 20:38:31
12,62,0.0,0,64.0,12,13,2013-03-27 20:38:31,2013-03-27 20:39:35
13,62,14.770837612815525,6.3938050222408034,65.0,13,19,2013-03-27 20:39:35,2013-03-27 20:40:40
14,56,87.64583605470264,6.3938050222408034,65.0,13,19,2013-03-27 20:39:35,2013-03-27 20:40:40
15,49,48.4851815400175,6.3938050222408034,65.0,13,19,2013-03-27 20:39:35,2013-03-27 20:40:40
16,44,117.84672679793199,6.3938050222408034,65.0,13,19,2013-03-27 20:39:35,2013-03-27 20:40:40
17,36,30.64228545413416,6.3938050222408034,65.0,13,19,2013-03-27 20:39:35,2013-03-27 20:40:40
18,33,116.20645898605042,6.3938050222408034,65.0,13,19,2013-03-27 20:39:35,2013-03-27 20:40:40
19,33,40.66518767715271,8.8859040095321831,64.0,19,27,2013-03-27 20:40:40,2013-03-27 20:41:44
20,22,75.39020671399777,8.8859040095321831,64.0,19,27,2013-03-27 20:40:40,2013-03-27 20:41:44
21,18,20.087352318222926,8.8859040095321831,64.0,19,27,2013-03-27 20:40:40,2013-03-27 20:41:44
22,13,158.5163661065913,8.8859040095321831,64.0,19,27,2013-03-27 20:40:40,2013-03-27 20:41:44
23,11,5.045722314182898,8.8859040095321831,64.0,19,27,2013-03-27 20:40:40,2013-03-27 20:41:44
24,10,34.549815393744986,8.8859040095321831,64.0,19,27,2013-03-27 20:40:40,2013-03-27 20:41:44
25,8,124.93368161043936,8.8859040095321831,64.0,19,27,2013-03-27 20:40:40,2013-03-27 20:41:44
26,6,109.50952447572777,8.8859040095321831,64.0,19,27,2013-03-27 20:40:40,2013-03-27 20:41:44
27,6,77.19689397425823,5.1630013628054865,64.0,27,31,2013-03-27 20:41:44,2013-03-27 20:42:48
28,1,46.61838460674224,5.1630013628054865,64.0,27,31,2013-03-27 20:41:44,2013-03-27 20:42:48
